timestamp_sec,avg_ear,left_ear,right_ear,is_blinking_frame,closed_frame_counter,blink_count_total,blink_rate_bps,left_pupil_diameter,right_pupil_diameter,head_pitch,head_yaw,head_roll,nose_z
0.070,0.3827,0.3101,0.4554,0,0,0,0.0000,36.4009,34.2265,10.25,30.25,174.23,-0.0539
0.155,0.3914,0.3392,0.4436,0,0,0,0.0000,39.5148,32.5591,10.18,30.62,174.59,-0.0533
0.175,0.3815,0.3233,0.4396,0,0,0,0.0000,39.3652,30.7575,11.22,31.28,174.82,-0.0531
0.195,0.3859,0.3401,0.4316,0,0,0,0.0000,37.9196,33.3844,10.70,30.73,174.53,-0.0538
0.214,0.3770,0.3208,0.4333,0,0,0,0.0000,41.6158,37.4280,11.86,31.07,174.74,-0.0539
0.233,0.3780,0.3162,0.4397,0,0,0,0.0000,47.3248,42.7074,10.72,30.38,174.21,-0.0541
0.252,0.3941,0.3317,0.4564,0,0,0,0.0000,47.3908,42.6058,10.33,30.49,174.32,-0.0541
0.271,0.3868,0.3274,0.4463,0,0,0,0.0000,46.8562,43.5008,10.45,29.73,174.25,-0.0548
0.291,0.3874,0.3347,0.4401,0,0,0,0.0000,47.2317,42.8981,10.83,29.47,174.86,-0.0550
0.310,0.3806,0.3362,0.4249,0,0,0,0.0000,47.2836,41.5061,9.74,29.43,174.88,-0.0559
0.329,0.3926,0.3433,0.4419,0,0,0,0.0000,46.4247,42.1833,9.93,28.96,175.06,-0.0564
0.349,0.3816,0.3367,0.4265,0,0,0,0.0000,45.9106,41.0707,9.27,28.81,175.11,-0.0569
0.368,0.3815,0.3286,0.4344,0,0,0,0.0000,46.9049,41.4222,8.86,28.16,174.93,-0.0570
0.388,0.3749,0.3275,0.4223,0,0,0,0.0000,47.8795,40.5726,7.93,29.43,174.75,-0.0570
0.407,0.3835,0.3269,0.4402,0,0,0,0.0000,46.1684,40.9965,8.07,28.27,174.59,-0.0573
0.425,0.3798,0.3199,0.4398,0,0,0,0.0000,48.0356,41.3106,6.47,29.03,174.17,-0.0573
0.445,0.3890,0.3167,0.4612,0,0,0,0.0000,46.0371,41.1503,6.49,29.27,174.26,-0.0576
0.465,0.3669,0.3171,0.4168,0,0,0,0.0000,47.7850,40.9268,5.64,29.28,174.11,-0.0574
0.486,0.3801,0.3248,0.4353,0,0,0,0.0000,43.5604,40.8746,6.38,28.75,174.39,-0.0578
0.505,0.3676,0.3150,0.4203,0,0,0,0.0000,46.0677,39.9338,6.26,29.20,174.47,-0.0577
0.524,0.3660,0.3219,0.4100,0,0,0,0.0000,46.9367,40.7819,6.58,28.39,174.43,-0.0581
0.543,0.3585,0.3119,0.4050,0,0,0,0.0000,44.2944,39.8437,6.18,28.75,174.55,-0.0580
0.562,0.3682,0.3193,0.4171,0,0,0,0.0000,44.2346,40.2405,6.12,28.83,174.56,-0.0579
0.582,0.3726,0.3193,0.4259,0,0,0,0.0000,44.8168,40.4941,4.82,29.02,174.25,-0.0579
0.600,0.3724,0.3154,0.4295,0,0,0,0.0000,46.1327,40.6726,4.35,29.00,174.25,-0.0577
0.619,0.3841,0.3138,0.4544,0,0,0,0.0000,46.4862,39.8204,3.90,29.42,174.33,-0.0572
0.640,0.3822,0.3108,0.4536,0,0,0,0.0000,48.7850,39.1135,3.99,29.71,174.44,-0.0573
0.661,0.3833,0.3083,0.4582,0,0,0,0.0000,47.2455,39.9819,3.16,29.91,174.20,-0.0573
0.680,0.3777,0.3086,0.4467,0,0,0,0.0000,48.0419,40.0381,3.25,30.06,174.33,-0.0569
0.700,0.3757,0.3046,0.4468,0,0,0,0.0000,46.2920,39.2155,3.20,30.61,174.22,-0.0577
0.718,0.3712,0.3037,0.4388,0,0,0,0.0000,46.9650,41.3003,3.88,29.69,174.47,-0.0574
0.738,0.3816,0.3075,0.4558,0,0,0,0.0000,46.0244,39.5419,3.25,30.19,174.20,-0.0577
0.756,0.3953,0.3038,0.4868,0,0,0,0.0000,47.5053,39.9591,3.47,30.62,174.14,-0.0569
0.776,0.3841,0.3043,0.4638,0,0,0,0.0000,47.2448,39.9196,3.31,30.21,174.20,-0.0567
0.795,0.3723,0.3048,0.4399,0,0,0,0.0000,47.3665,38.9866,3.26,30.58,173.95,-0.0573
0.814,0.3851,0.3143,0.4560,0,0,0,0.0000,45.7073,41.3696,3.27,29.83,174.19,-0.0574
0.833,0.3729,0.3077,0.4381,0,0,0,0.0000,45.3529,40.0432,3.69,30.18,174.55,-0.0576
0.851,0.3672,0.3083,0.4260,0,0,0,0.0000,46.0171,40.1889,3.94,29.36,174.64,-0.0575
0.870,0.3680,0.3165,0.4196,0,0,0,0.0000,46.2931,39.5478,3.75,29.54,174.77,-0.0578
0.888,0.3564,0.3121,0.4007,0,0,0,0.0000,46.6689,40.4068,4.25,28.82,174.77,-0.0583
0.907,0.3613,0.3152,0.4074,0,0,0,0.0000,43.4000,40.1374,3.67,29.00,174.83,-0.0581
0.927,0.3658,0.3092,0.4224,0,0,0,0.0000,46.8173,39.6978,4.46,28.59,175.13,-0.0580
0.945,0.3687,0.3224,0.4149,0,0,0,0.0000,44.7295,39.4803,4.25,29.14,175.15,-0.0581
0.963,0.3740,0.3135,0.4346,0,0,0,0.0000,47.3848,39.8888,4.51,29.08,175.40,-0.0577
0.980,0.3715,0.3139,0.4291,0,0,0,0.0000,45.6970,39.4698,4.67,28.98,175.30,-0.0576
0.998,0.3732,0.3154,0.4309,0,0,0,0.0000,45.2880,40.5705,4.56,28.46,175.34,-0.0580
1.016,0.3660,0.3138,0.4181,0,0,0,0.0000,46.1394,40.9963,4.14,28.31,175.23,-0.0584
