timestamp_sec,avg_ear,left_ear,right_ear,is_blinking_frame,closed_frame_counter,blink_count_total,blink_rate_bps,left_pupil_diameter,right_pupil_diameter,head_pitch,head_yaw,head_roll,nose_z
0.052,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000
0.069,0.3250,0.2619,0.3881,0,0,0,0.0000,59.5124,53.7903,14.88,33.63,-176.61,-0.0645
0.085,0.3328,0.2987,0.3670,0,0,0,0.0000,56.7974,54.6370,14.43,33.22,-175.34,-0.0686
0.112,0.3381,0.2968,0.3794,0,0,0,0.0000,59.0287,55.6472,7.97,35.49,-176.75,-0.0679
0.124,0.3320,0.3037,0.3603,0,0,0,0.0000,56.9394,53.8068,3.35,35.53,-177.37,-0.0688
0.151,0.3501,0.3060,0.3942,0,0,0,0.0000,59.4080,50.7569,1.42,37.15,-178.35,-0.0676
0.164,0.3356,0.2759,0.3953,0,0,0,0.0000,57.0190,48.8718,0.16,38.13,-178.23,-0.0680
0.179,0.3432,0.2916,0.3947,0,0,0,0.0000,55.3079,48.5406,0.04,38.91,-178.55,-0.0678
0.223,0.3337,0.2976,0.3698,0,0,0,0.0000,55.7890,49.4577,-0.65,39.15,-178.57,-0.0679
0.229,0.3345,0.2903,0.3786,0,0,0,0.0000,55.5257,48.8738,1.63,38.50,-178.97,-0.0681
0.244,0.3483,0.2950,0.4015,0,0,0,0.0000,57.6255,47.2529,-1.90,39.97,-179.63,-0.0681
0.269,0.3469,0.2957,0.3982,0,0,0,0.0000,56.6960,46.8819,-1.43,39.00,179.99,-0.0683
0.293,0.3417,0.3016,0.3817,0,0,0,0.0000,56.5801,47.1218,-0.52,39.87,179.83,-0.0684
0.322,0.3376,0.2987,0.3764,0,0,0,0.0000,57.6498,47.0513,-2.29,40.15,179.35,-0.0695
0.356,0.3486,0.2911,0.4062,0,0,0,0.0000,56.9450,47.4900,-1.61,39.57,179.16,-0.0691
0.386,0.3484,0.2964,0.4005,0,0,0,0.0000,56.5073,46.9630,-1.32,39.96,178.95,-0.0689
0.415,0.3461,0.2813,0.4110,0,0,0,0.0000,52.2601,43.3264,-7.44,28.87,-5.59,-0.0674
0.434,0.3382,0.2808,0.3956,0,0,0,0.0000,54.6541,43.6824,-1.14,39.97,179.45,-0.0688
0.473,0.3467,0.2704,0.4231,0,0,0,0.0000,55.3967,43.3978,-1.83,40.62,179.64,-0.0686
0.512,0.3416,0.2644,0.4188,0,0,0,0.0000,56.3675,44.3892,-1.24,40.00,179.31,-0.0701
0.535,0.3316,0.2655,0.3977,0,0,0,0.0000,57.5899,43.1676,-2.21,41.18,-179.56,-0.0689
0.575,0.3250,0.2605,0.3894,0,0,0,0.0000,58.8533,44.5112,-1.46,40.05,-179.50,-0.0709
0.598,0.3310,0.2646,0.3973,0,0,0,0.0000,55.8942,46.8147,-1.35,39.77,-179.23,-0.0716
0.628,0.3247,0.2629,0.3866,0,0,0,0.0000,52.5213,44.2839,-3.21,39.44,-179.94,-0.0713
0.654,0.3276,0.2538,0.4014,0,0,0,0.0000,55.3653,42.2511,-2.08,40.21,-179.42,-0.0699
0.668,0.3030,0.2463,0.3598,0,0,0,0.0000,57.1080,43.8064,-3.20,40.01,-179.81,-0.0699
0.694,0.3002,0.2509,0.3494,0,0,0,0.0000,53.5546,41.4666,-2.34,39.77,179.79,-0.0694
0.716,0.3053,0.2468,0.3638,0,0,0,0.0000,57.1131,42.5621,-2.20,39.41,179.94,-0.0698
0.754,0.3051,0.2467,0.3636,0,0,0,0.0000,52.7792,40.2198,-2.42,39.83,179.89,-0.0687
0.767,0.2843,0.2414,0.3271,0,0,0,0.0000,58.2691,40.9893,-1.52,39.68,179.66,-0.0694
0.796,0.3015,0.2413,0.3617,0,0,0,0.0000,50.2304,41.1945,0.58,39.67,-179.31,-0.0689
0.836,0.2653,0.2289,0.3017,0,0,0,0.0000,60.0359,41.8950,-1.34,39.50,179.58,-0.0705
0.866,0.2926,0.2406,0.3447,0,0,0,0.0000,56.6870,42.1981,-0.32,39.90,-179.96,-0.0700
0.885,0.2947,0.2351,0.3543,0,0,0,0.0000,60.5276,42.6056,-0.35,39.36,-179.75,-0.0698
0.911,0.2801,0.2341,0.3262,0,0,0,0.0000,59.8562,46.0404,-0.66,38.57,179.66,-0.0701
0.930,0.2753,0.2346,0.3160,0,0,0,0.0000,57.7506,46.8536,1.70,38.04,179.75,-0.0695
0.952,0.2704,0.2319,0.3090,0,0,0,0.0000,57.4213,46.9024,1.67,37.89,179.59,-0.0700
0.979,0.2716,0.2375,0.3057,0,0,0,0.0000,56.9118,46.3710,1.62,37.89,179.51,-0.0687
1.003,0.2722,0.2286,0.3157,0,0,0,0.0000,56.7527,46.3112,1.72,37.19,179.85,-0.0696
1.023,0.2865,0.2349,0.3382,0,0,0,0.0000,57.8993,46.5887,2.00,37.18,-179.90,-0.0691
1.046,0.2970,0.2327,0.3613,0,0,0,0.0000,57.4048,44.2492,0.72,37.35,-179.51,-0.0708
1.068,0.2844,0.2270,0.3418,0,0,0,0.0000,59.1715,42.7458,1.18,37.75,-179.03,-0.0697
1.104,0.2864,0.2156,0.3571,0,0,0,0.0000,59.2934,43.7680,0.78,37.51,-179.87,-0.0705
1.124,0.2666,0.2220,0.3112,0,0,0,0.0000,59.2548,47.7736,-0.32,37.71,-179.93,-0.0694
1.147,0.2768,0.2161,0.3375,0,0,0,0.0000,59.7761,46.5362,1.76,37.14,-179.98,-0.0695
1.180,0.2853,0.2115,0.3592,0,0,0,0.0000,59.2189,47.9749,1.43,37.79,-179.04,-0.0702
1.203,0.2974,0.2238,0.3711,0,0,0,0.0000,59.2836,48.1544,1.28,37.90,-178.98,-0.0711
1.223,0.2757,0.2148,0.3366,0,0,0,0.0000,59.8321,47.8443,2.73,37.07,-179.76,-0.0698
1.244,0.2762,0.2194,0.3329,0,0,0,0.0000,59.3194,47.7591,2.83,37.04,-179.49,-0.0703
1.265,0.2914,0.2220,0.3609,0,0,0,0.0000,58.7269,46.1061,2.70,37.33,-178.75,-0.0698
1.282,0.2874,0.2192,0.3555,0,0,0,0.0000,60.2452,47.3051,2.54,36.84,-178.67,-0.0705
1.299,0.2927,0.2283,0.3571,0,0,0,0.0000,59.8298,45.2276,1.45,38.10,-178.82,-0.0707
1.322,0.2922,0.2295,0.3549,0,0,0,0.0000,60.5422,46.6272,2.69,37.69,-178.90,-0.0697
1.340,0.2915,0.2310,0.3521,0,0,0,0.0000,61.3243,47.2016,2.57,38.24,-178.44,-0.0697
1.362,0.3013,0.2319,0.3707,0,0,0,0.0000,61.1661,45.4812,5.77,37.88,-178.07,-0.0686
1.380,0.3059,0.2430,0.3688,0,0,0,0.0000,59.5259,45.8651,3.78,37.57,-178.01,-0.0698
1.402,0.2993,0.2284,0.3701,0,0,0,0.0000,59.2000,48.1927,4.16,38.76,-178.16,-0.0700
1.422,0.3053,0.2462,0.3644,0,0,0,0.0000,59.4980,46.1388,7.22,37.15,-178.27,-0.0711
1.441,0.3085,0.2507,0.3663,0,0,0,0.0000,59.6468,46.8116,6.73,37.03,-178.40,-0.0711
1.462,0.3055,0.2410,0.3701,0,0,0,0.0000,58.4162,47.5301,5.82,37.72,-178.88,-0.0707
1.482,0.3032,0.2402,0.3662,0,0,0,0.0000,58.2961,47.2188,4.55,37.47,-179.09,-0.0709
1.503,0.3048,0.2305,0.3791,0,0,0,0.0000,59.5775,46.6071,2.57,37.83,-179.02,-0.0708
1.529,0.3002,0.2344,0.3660,0,0,0,0.0000,60.4107,44.3552,3.88,37.16,-179.06,-0.0707
1.549,0.3022,0.2360,0.3683,0,0,0,0.0000,61.0931,48.0239,4.34,37.07,-179.11,-0.0709
1.572,0.3076,0.2341,0.3810,0,0,0,0.0000,60.3856,45.5571,3.80,36.97,-179.04,-0.0709
1.590,0.3052,0.2415,0.3690,0,0,0,0.0000,60.0480,45.8883,4.94,36.65,-178.87,-0.0713
1.611,0.3067,0.2397,0.3736,0,0,0,0.0000,61.2521,46.9562,3.07,36.55,-179.04,-0.0725
1.633,0.2988,0.2401,0.3574,0,0,0,0.0000,60.9862,46.8737,4.78,36.37,-178.57,-0.0721
1.656,0.3065,0.2417,0.3713,0,0,0,0.0000,62.0732,48.5156,4.33,36.78,-179.06,-0.0720
1.691,0.3051,0.2312,0.3789,0,0,0,0.0000,61.0263,50.8325,5.55,35.08,-178.71,-0.0720
1.722,0.3017,0.2468,0.3567,0,0,0,0.0000,59.8495,46.2545,6.04,35.10,-178.43,-0.0725
1.753,0.3027,0.2433,0.3622,0,0,0,0.0000,60.5005,47.1601,5.35,34.77,-178.42,-0.0720
1.785,0.3016,0.2395,0.3637,0,0,0,0.0000,61.1728,49.7102,6.77,34.46,-178.59,-0.0716
1.816,0.2947,0.2263,0.3630,0,0,0,0.0000,61.0163,49.3745,5.60,34.99,-178.36,-0.0709
1.847,0.2995,0.2355,0.3636,0,0,0,0.0000,60.6231,50.0878,8.10,34.16,-177.64,-0.0711
1.877,0.3011,0.2378,0.3643,0,0,0,0.0000,59.4872,50.9342,5.02,34.46,-177.67,-0.0721
1.909,0.3109,0.2342,0.3876,0,0,0,0.0000,60.9558,51.0365,4.98,34.48,-177.24,-0.0722
1.939,0.3049,0.2354,0.3745,0,0,0,0.0000,58.7155,50.9765,5.77,34.24,-177.12,-0.0724
