timestamp_sec,avg_ear,left_ear,right_ear,is_blinking_frame,closed_frame_counter,blink_count_total,blink_rate_bps,left_pupil_diameter,right_pupil_diameter,head_pitch,head_yaw,head_roll,nose_z
0.050,0.2956,0.2908,0.3003,0,0,0,0.0000,48.6165,44.2185,4.09,33.64,170.00,-0.0632
0.067,0.3147,0.2930,0.3365,0,0,0,0.0000,48.0641,43.8729,2.76,31.40,170.39,-0.0636
0.084,0.3153,0.3081,0.3224,0,0,0,0.0000,47.5071,43.8069,2.06,31.73,170.76,-0.0640
0.114,0.3108,0.3046,0.3171,0,0,0,0.0000,47.9464,44.0627,2.42,30.73,171.08,-0.0641
0.146,0.3098,0.2957,0.3238,0,0,0,0.0000,47.7676,44.2654,1.83,30.74,171.44,-0.0645
0.176,0.3029,0.2845,0.3212,0,0,0,0.0000,47.5258,43.6994,1.13,30.74,171.14,-0.0643
0.208,0.2964,0.2886,0.3043,0,0,0,0.0000,48.2321,43.9312,2.43,29.89,171.55,-0.0640
0.238,0.3050,0.2939,0.3161,0,0,0,0.0000,47.2743,44.1708,0.94,30.50,171.37,-0.0642
0.254,0.2987,0.2901,0.3073,0,0,0,0.0000,47.7417,43.3238,1.93,29.61,171.27,-0.0640
0.269,0.2989,0.2876,0.3103,0,0,0,0.0000,47.1279,42.7040,1.39,30.26,171.17,-0.0640
0.286,0.3003,0.2892,0.3115,0,0,0,0.0000,48.4472,40.2224,3.40,29.79,171.46,-0.0637
0.317,0.3210,0.2934,0.3486,0,0,0,0.0000,45.9766,37.9614,2.63,30.45,171.25,-0.0641
0.349,0.3242,0.2930,0.3554,0,0,0,0.0000,45.7726,37.4622,2.25,31.08,171.18,-0.0637
0.381,0.3165,0.2868,0.3462,0,0,0,0.0000,46.4046,37.9304,2.02,31.15,171.02,-0.0636
0.412,0.3183,0.2912,0.3454,0,0,0,0.0000,45.7274,36.7307,0.92,31.81,171.09,-0.0633
0.442,0.3159,0.2911,0.3406,0,0,0,0.0000,46.8538,37.5895,0.42,31.85,171.06,-0.0635
0.474,0.3122,0.2881,0.3362,0,0,0,0.0000,47.7057,37.1418,-0.51,32.21,170.81,-0.0633
0.505,0.3137,0.2842,0.3433,0,0,0,0.0000,45.7820,36.4724,0.24,32.01,170.92,-0.0629
0.536,0.3190,0.2853,0.3526,0,0,0,0.0000,45.5378,36.1675,0.07,32.30,170.99,-0.0628
0.568,0.3098,0.2841,0.3356,0,0,0,0.0000,45.9981,36.5615,-0.02,31.57,170.77,-0.0632
0.597,0.3176,0.2863,0.3489,0,0,0,0.0000,45.6118,36.3901,0.03,31.84,170.73,-0.0636
0.613,0.3256,0.2945,0.3567,0,0,0,0.0000,46.1397,36.8517,0.47,31.11,170.71,-0.0637
0.644,0.3132,0.2840,0.3424,0,0,0,0.0000,45.9548,37.3845,0.10,31.13,170.44,-0.0642
0.675,0.3290,0.2978,0.3601,0,0,0,0.0000,47.2172,38.0297,-0.41,30.54,170.12,-0.0642
0.706,0.3288,0.3016,0.3560,0,0,0,0.0000,48.5681,38.2606,-0.69,30.37,169.89,-0.0644
0.737,0.3294,0.3038,0.3549,0,0,0,0.0000,48.4208,38.7094,-1.07,30.57,169.73,-0.0646
0.769,0.3244,0.2993,0.3496,0,0,0,0.0000,47.6943,38.0639,-1.41,30.74,169.85,-0.0645
0.798,0.3172,0.2867,0.3477,0,0,0,0.0000,46.6604,38.1142,-1.07,30.92,170.16,-0.0645
