timestamp_sec,avg_ear,left_ear,right_ear,is_blinking_frame,closed_frame_counter,blink_count_total,blink_rate_bps,left_pupil_diameter,right_pupil_diameter,head_pitch,head_yaw,head_roll,nose_z
0.051,0.4220,0.3605,0.4835,0,0,0,0.0000,38.1541,27.4313,0.01,35.29,163.28,-0.0518
0.082,0.3969,0.3145,0.4793,0,0,0,0.0000,40.0923,24.6595,-4.12,39.35,163.32,-0.0500
0.097,0.3853,0.3254,0.4451,0,0,0,0.0000,40.3378,25.6297,-1.94,38.17,164.52,-0.0513
0.112,0.3842,0.3290,0.4393,0,0,0,0.0000,40.7946,23.5387,-2.36,37.29,164.67,-0.0517
0.126,0.3876,0.3217,0.4535,0,0,0,0.0000,41.7584,23.9030,-3.07,37.54,164.62,-0.0514
0.142,0.3956,0.3305,0.4606,0,0,0,0.0000,40.7883,24.4632,-4.04,37.68,164.50,-0.0515
0.159,0.3723,0.3076,0.4370,0,0,0,0.0000,41.3023,25.5018,-3.66,37.65,165.10,-0.0518
0.191,0.3588,0.2942,0.4234,0,0,0,0.0000,43.3276,30.2248,-4.22,37.58,165.29,-0.0518
0.221,0.3590,0.2966,0.4215,0,0,0,0.0000,43.5742,31.2852,-4.33,37.40,165.82,-0.0522
0.251,0.3571,0.3003,0.4138,0,0,0,0.0000,44.1817,31.6837,-3.78,36.85,166.59,-0.0525
0.267,0.3639,0.2893,0.4385,0,0,0,0.0000,42.2338,33.2298,-5.02,37.10,165.86,-0.0533
0.296,0.3419,0.2883,0.3956,0,0,0,0.0000,42.3677,33.5143,-5.11,37.25,165.78,-0.0531
0.312,0.2848,0.2277,0.3419,0,0,0,0.0000,41.1269,31.3107,-5.73,36.94,165.40,-0.0536
0.328,0.0894,0.0466,0.1322,1,1,0,0.0000,29.3019,33.2132,-3.47,40.82,-13.05,-0.0520
0.345,0.0782,0.0535,0.1030,1,2,0,0.0000,28.1661,35.1664,-2.01,40.98,-12.16,-0.0522
0.362,0.2474,0.1956,0.2991,0,0,0,0.0000,43.1669,37.9453,-6.42,37.03,166.27,-0.0537
0.392,0.2966,0.2359,0.3574,0,0,0,0.0000,48.1787,37.6361,-5.69,37.02,166.52,-0.0538
0.409,0.3322,0.2570,0.4073,0,0,0,0.0000,46.4932,39.8870,-5.98,36.95,166.53,-0.0530
0.439,0.3423,0.2773,0.4073,0,0,0,0.0000,44.3840,41.6358,-5.62,35.93,166.44,-0.0538
0.472,0.3470,0.2924,0.4017,0,0,0,0.0000,45.3770,40.9933,-5.94,34.76,166.55,-0.0544
