timestamp_sec,avg_ear,left_ear,right_ear,is_blinking_frame,closed_frame_counter,blink_count_total,blink_rate_bps,left_pupil_diameter,right_pupil_diameter,head_pitch,head_yaw,head_roll,nose_z
0.053,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000
0.079,0.1646,0.1682,0.1611,1,1,0,0.0000,50.0620,29.5551,20.07,23.02,1.26,-0.0574
0.096,0.1895,0.1794,0.1996,1,2,0,0.0000,48.8981,31.1541,12.41,41.21,178.58,-0.0572
0.120,0.1609,0.1502,0.1717,1,3,0,0.0000,51.0728,32.3011,9.70,41.38,177.65,-0.0575
0.144,0.1636,0.1904,0.1369,1,4,0,0.0000,47.9721,36.0286,18.32,23.79,0.27,-0.0569
0.175,0.1592,0.1686,0.1498,1,5,0,0.0000,50.0802,35.5277,17.86,23.72,0.44,-0.0572
0.193,0.1606,0.1588,0.1623,1,6,0,0.0000,48.6320,35.2546,16.80,23.71,0.13,-0.0569
0.222,0.1604,0.1542,0.1666,1,7,0,0.0000,49.7974,33.6374,16.64,22.50,0.26,-0.0587
0.259,0.1699,0.1783,0.1616,1,8,0,0.0000,51.0329,35.0317,16.25,22.90,-0.25,-0.0585
0.291,0.1732,0.1612,0.1852,1,9,0,0.0000,49.2262,35.2270,14.19,22.44,-0.74,-0.0598
0.323,0.1784,0.1550,0.2017,1,10,0,0.0000,49.3991,32.8609,14.53,22.46,-0.67,-0.0599
0.352,0.2064,0.1557,0.2570,1,11,0,0.0000,50.5002,33.6708,4.29,42.11,175.30,-0.0593
0.388,0.1975,0.1659,0.2291,1,12,0,0.0000,50.6795,37.0480,14.11,22.33,-1.54,-0.0605
0.418,0.2055,0.1652,0.2459,1,13,0,0.0000,49.6848,35.8688,5.26,42.88,175.49,-0.0593
0.450,0.1965,0.1686,0.2244,1,14,0,0.0000,49.4936,35.0245,13.39,23.49,-2.17,-0.0593
0.482,0.1687,0.1573,0.1802,1,15,0,0.0000,48.0023,31.2939,14.58,24.79,-1.80,-0.0573
0.514,0.1998,0.1756,0.2240,1,16,0,0.0000,46.6578,35.0130,6.05,43.55,174.79,-0.0576
0.535,0.1541,0.1392,0.1690,1,17,0,0.0000,45.4060,34.2022,5.30,43.67,174.73,-0.0575
0.557,0.1718,0.1503,0.1933,1,18,0,0.0000,41.8893,34.4089,6.85,43.48,174.63,-0.0575
0.592,0.1676,0.1534,0.1819,1,19,0,0.0000,44.8297,33.9118,14.89,24.58,-1.78,-0.0573
0.619,0.1872,0.1507,0.2236,1,20,0,0.0000,47.7529,34.8205,5.84,44.25,174.78,-0.0576
0.635,0.1329,0.1375,0.1284,1,21,0,0.0000,47.4717,33.6580,15.77,24.94,-1.11,-0.0578
