timestamp_sec,avg_ear,left_ear,right_ear,is_blinking_frame,closed_frame_counter,blink_count_total,blink_rate_bps,left_pupil_diameter,right_pupil_diameter,head_pitch,head_yaw,head_roll,nose_z
0.048,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000
0.069,0.3283,0.3078,0.3488,0,0,0,0.0000,43.5565,39.1189,13.65,43.54,175.68,-0.0541
0.096,0.3697,0.3320,0.4074,0,0,0,0.0000,46.7096,36.0804,15.06,42.56,177.80,-0.0554
0.114,0.3497,0.3282,0.3712,0,0,0,0.0000,46.7564,36.9651,14.62,42.26,177.24,-0.0561
0.143,0.3515,0.3296,0.3734,0,0,0,0.0000,46.7186,36.6611,13.66,42.36,176.65,-0.0563
0.158,0.3528,0.3315,0.3741,0,0,0,0.0000,46.9539,39.5157,12.00,42.71,175.76,-0.0565
0.174,0.3566,0.3301,0.3832,0,0,0,0.0000,47.7377,38.8750,10.67,42.74,175.09,-0.0563
0.191,0.3627,0.3291,0.3962,0,0,0,0.0000,48.1497,37.3729,9.15,42.66,174.28,-0.0563
0.207,0.3475,0.3174,0.3775,0,0,0,0.0000,47.5624,36.5682,7.32,43.03,173.27,-0.0560
0.223,0.3490,0.3074,0.3906,0,0,0,0.0000,46.6244,34.5099,5.58,43.72,172.63,-0.0557
0.238,0.3634,0.3275,0.3993,0,0,0,0.0000,48.3633,33.6176,4.98,43.76,172.13,-0.0559
0.255,0.3441,0.3116,0.3765,0,0,0,0.0000,46.2993,31.4199,3.85,44.22,171.02,-0.0562
0.288,0.3336,0.3119,0.3553,0,0,0,0.0000,44.6579,31.7045,-0.65,45.07,168.85,-0.0559
0.316,0.3443,0.3142,0.3744,0,0,0,0.0000,45.4990,35.4269,2.71,26.51,-11.08,-0.0563
0.348,0.3323,0.3388,0.3257,0,0,0,0.0000,43.3694,33.9070,0.22,26.19,-13.30,-0.0563
0.378,0.3167,0.3085,0.3249,0,0,0,0.0000,43.1895,36.0736,-3.61,24.00,-17.42,-0.0589
0.409,0.2962,0.3027,0.2897,0,0,0,0.0000,44.9024,37.1266,-7.33,22.31,-20.93,-0.0602
0.438,0.2988,0.2927,0.3049,0,0,0,0.0000,45.1354,36.0229,-7.40,22.59,-22.39,-0.0597
0.453,0.3028,0.2995,0.3061,0,0,0,0.0000,45.8013,34.4305,-7.24,22.02,-23.46,-0.0612
0.470,0.3090,0.3123,0.3057,0,0,0,0.0000,45.5178,32.6440,-7.09,21.90,-24.13,-0.0620
0.485,0.2970,0.2789,0.3152,0,0,0,0.0000,47.7890,32.9128,-6.66,21.51,-24.80,-0.0620
0.501,0.3018,0.2834,0.3201,0,0,0,0.0000,47.8700,32.3839,-5.01,21.88,-25.41,-0.0633
