timestamp_sec,avg_ear,left_ear,right_ear,is_blinking_frame,closed_frame_counter,blink_count_total,blink_rate_bps,left_pupil_diameter,right_pupil_diameter,head_pitch,head_yaw,head_roll,nose_z
0.055,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000
0.084,0.3492,0.3076,0.3907,0,0,0,0.0000,45.8581,43.8340,-22.04,49.66,149.80,-0.0650
0.113,0.3533,0.3083,0.3983,0,0,0,0.0000,49.1451,48.2461,-21.16,49.76,150.99,-0.0626
0.130,0.3505,0.3040,0.3970,0,0,0,0.0000,48.3623,45.3169,-22.88,49.48,150.21,-0.0621
0.160,0.3462,0.3040,0.3884,0,0,0,0.0000,46.6906,45.9621,-21.10,49.07,151.21,-0.0624
0.174,0.3558,0.2974,0.4142,0,0,0,0.0000,49.8063,47.2849,-19.75,49.10,151.81,-0.0626
0.191,0.3548,0.2965,0.4130,0,0,0,0.0000,48.8087,44.6628,-19.22,49.67,152.30,-0.0625
0.207,0.3639,0.3075,0.4203,0,0,0,0.0000,49.0626,45.1892,-17.82,49.70,153.41,-0.0619
0.237,0.3582,0.2928,0.4237,0,0,0,0.0000,47.6519,43.9529,-19.36,49.76,152.75,-0.0624
0.252,0.3705,0.3062,0.4348,0,0,0,0.0000,50.0794,43.8508,-19.05,50.15,153.05,-0.0615
0.268,0.3830,0.3150,0.4510,0,0,0,0.0000,48.5046,44.7550,-18.26,50.01,153.44,-0.0618
0.286,0.3755,0.3019,0.4491,0,0,0,0.0000,47.9117,44.0007,-17.90,49.86,153.95,-0.0620
0.301,0.3777,0.3015,0.4539,0,0,0,0.0000,50.4224,44.3942,-17.41,49.71,154.36,-0.0627
0.332,0.3808,0.3075,0.4542,0,0,0,0.0000,49.5987,43.8097,-17.18,49.67,154.22,-0.0623
0.349,0.3833,0.3155,0.4511,0,0,0,0.0000,46.6763,41.8740,-16.44,49.75,154.75,-0.0616
0.380,0.3685,0.3055,0.4314,0,0,0,0.0000,48.8268,43.2431,-16.38,49.22,154.79,-0.0623
0.411,0.3804,0.3071,0.4536,0,0,0,0.0000,50.8006,43.2882,-15.38,49.56,155.08,-0.0619
0.442,0.3731,0.3136,0.4327,0,0,0,0.0000,50.1765,42.6541,-14.38,49.27,155.70,-0.0628
0.473,0.3603,0.3072,0.4133,0,0,0,0.0000,51.4749,45.5145,-14.72,48.53,155.11,-0.0632
0.504,0.3534,0.3099,0.3969,0,0,0,0.0000,48.3906,44.9016,-15.39,48.16,155.15,-0.0628
0.535,0.3167,0.2938,0.3395,0,0,0,0.0000,47.2944,48.4365,-15.14,47.48,155.09,-0.0633
0.566,0.2575,0.2381,0.2769,0,0,0,0.0000,44.2862,49.3499,-15.92,48.35,154.47,-0.0626
0.583,0.1396,0.0874,0.1918,1,1,0,0.0000,40.9600,43.9663,-18.56,46.95,154.29,-0.0624
0.614,0.1922,0.1323,0.2521,1,2,0,0.0000,40.9367,44.0884,-17.01,48.03,154.40,-0.0627
0.644,0.2837,0.2298,0.3376,0,0,0,0.0000,42.2279,44.3786,-14.84,49.50,154.93,-0.0620
0.675,0.2964,0.2688,0.3240,0,0,0,0.0000,46.7475,44.1820,-13.38,48.77,155.50,-0.0626
0.706,0.3148,0.2838,0.3458,0,0,0,0.0000,48.5075,44.3478,-13.23,48.48,156.16,-0.0619
0.738,0.3656,0.2944,0.4368,0,0,0,0.0000,47.6599,44.0794,-13.67,47.77,156.01,-0.0623
0.769,0.3732,0.2974,0.4490,0,0,0,0.0000,49.0024,44.1038,-13.43,48.31,156.53,-0.0622
0.799,0.3962,0.3246,0.4677,0,0,0,0.0000,46.9792,41.2612,-13.84,48.63,156.25,-0.0613
0.815,0.3929,0.3171,0.4686,0,0,0,0.0000,45.9613,43.6792,-12.77,48.16,156.95,-0.0616
0.847,0.3973,0.3145,0.4801,0,0,0,0.0000,47.9757,42.5025,-13.00,48.64,156.73,-0.0613
0.877,0.3815,0.3142,0.4488,0,0,0,0.0000,48.1079,42.2501,-13.38,48.70,156.52,-0.0623
0.908,0.3922,0.3093,0.4751,0,0,0,0.0000,46.4658,43.3026,-12.08,48.72,157.04,-0.0619
0.938,0.3810,0.3095,0.4526,0,0,0,0.0000,47.9799,41.7892,-12.97,48.86,156.66,-0.0622
0.971,0.3806,0.3086,0.4527,0,0,0,0.0000,48.3090,43.8963,-11.84,48.16,157.46,-0.0626
1.001,0.3816,0.3199,0.4434,0,0,0,0.0000,47.6144,43.1738,-11.40,48.27,157.72,-0.0627
1.031,0.3745,0.3197,0.4293,0,0,0,0.0000,48.4931,49.2206,-12.36,49.04,156.98,-0.0638
1.047,0.4004,0.3261,0.4748,0,0,0,0.0000,49.4375,51.8731,-11.75,48.41,157.47,-0.0624
1.079,0.3937,0.3237,0.4636,0,0,0,0.0000,50.4412,51.7994,-12.38,49.45,156.77,-0.0630
1.110,0.3982,0.3306,0.4659,0,0,0,0.0000,49.8513,51.0778,-12.45,49.09,157.25,-0.0624
