timestamp_sec,avg_ear,left_ear,right_ear,is_blinking_frame,closed_frame_counter,blink_count_total,blink_rate_bps,left_pupil_diameter,right_pupil_diameter,head_pitch,head_yaw,head_roll,nose_z
0.048,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000
0.067,0.4120,0.3393,0.4847,0,0,0,0.0000,42.4375,37.5838,3.15,44.79,-6.04,-0.0520
0.096,0.3869,0.3220,0.4518,0,0,0,0.0000,43.2046,37.8187,-4.72,32.25,170.67,-0.0496
0.129,0.4258,0.3395,0.5122,0,0,0,0.0000,42.4394,37.0810,-5.77,32.68,170.48,-0.0499
0.160,0.4301,0.3522,0.5079,0,0,0,0.0000,43.0318,36.1378,-6.79,33.10,170.19,-0.0496
0.189,0.4294,0.3540,0.5048,0,0,0,0.0000,44.0554,36.1314,-6.63,33.35,170.02,-0.0493
0.205,0.4274,0.3485,0.5062,0,0,0,0.0000,43.6656,36.1366,-6.66,33.62,169.99,-0.0492
0.236,0.4307,0.3537,0.5077,0,0,0,0.0000,43.6834,36.8597,2.47,46.29,-5.11,-0.0494
0.267,0.4266,0.3502,0.5031,0,0,0,0.0000,44.4100,37.4712,-7.12,33.34,169.77,-0.0500
0.298,0.4142,0.3374,0.4910,0,0,0,0.0000,44.2443,39.3562,1.73,44.88,-5.65,-0.0503
0.329,0.4174,0.3360,0.4988,0,0,0,0.0000,44.1559,39.4842,-6.40,32.71,169.80,-0.0504
0.362,0.4111,0.3405,0.4816,0,0,0,0.0000,44.3674,38.9114,-6.45,32.70,169.44,-0.0505
0.391,0.4082,0.3324,0.4840,0,0,0,0.0000,42.8158,39.5673,-5.98,32.25,169.39,-0.0507
0.424,0.4100,0.3335,0.4865,0,0,0,0.0000,43.3841,38.9742,-5.99,32.61,169.11,-0.0502
0.454,0.4050,0.3294,0.4807,0,0,0,0.0000,42.5940,39.7122,-5.55,31.90,169.25,-0.0507
0.484,0.3739,0.2988,0.4489,0,0,0,0.0000,43.8650,39.0041,-5.71,32.65,168.89,-0.0505
0.517,0.1865,0.1367,0.2363,1,1,0,0.0000,40.6174,40.8856,-0.47,41.71,-8.35,-0.0522
0.549,0.1268,0.0952,0.1584,1,2,0,0.0000,38.8834,37.7806,0.86,42.19,-7.52,-0.0522
0.583,0.2420,0.1715,0.3124,0,0,0,0.0000,42.7537,38.8304,2.07,43.21,-7.08,-0.0518
0.608,0.3056,0.2321,0.3791,0,0,0,0.0000,43.2667,40.8422,2.41,42.64,-6.98,-0.0519
0.640,0.3408,0.2563,0.4254,0,0,0,0.0000,44.8269,40.8816,-5.05,31.82,169.36,-0.0518
0.672,0.3550,0.2797,0.4304,0,0,0,0.0000,43.2921,41.3216,2.34,43.12,-7.01,-0.0516
0.701,0.3732,0.2899,0.4566,0,0,0,0.0000,43.5007,40.7169,-5.40,31.55,169.25,-0.0516
0.733,0.3732,0.2972,0.4492,0,0,0,0.0000,43.2050,40.3171,-4.89,31.36,169.39,-0.0515
0.764,0.3838,0.3038,0.4638,0,0,0,0.0000,43.3308,40.6794,-5.14,31.43,169.39,-0.0514
0.795,0.3696,0.3009,0.4382,0,0,0,0.0000,42.3562,40.2154,2.65,42.53,-6.53,-0.0519
0.826,0.3916,0.3097,0.4734,0,0,0,0.0000,42.8308,40.6086,-5.17,30.58,170.16,-0.0521
0.856,0.3938,0.3134,0.4743,0,0,0,0.0000,42.2688,40.3978,-5.33,30.47,170.20,-0.0520
0.872,0.3865,0.3164,0.4565,0,0,0,0.0000,42.3205,40.4195,-4.69,30.33,170.54,-0.0518
0.904,0.3948,0.3225,0.4670,0,0,0,0.0000,42.4970,38.4500,-4.62,29.83,170.26,-0.0523
0.934,0.3864,0.3113,0.4616,0,0,0,0.0000,43.9138,38.9068,-4.15,29.17,170.57,-0.0521
0.950,0.3593,0.3090,0.4096,0,0,0,0.0000,46.4861,43.2171,-5.17,29.62,169.99,-0.0518
0.982,0.3755,0.3191,0.4320,0,0,0,0.0000,45.2424,43.3690,-5.05,28.80,170.21,-0.0518
1.012,0.3711,0.3228,0.4193,0,0,0,0.0000,45.5534,43.1755,-5.18,28.86,170.17,-0.0519
1.043,0.3830,0.3275,0.4384,0,0,0,0.0000,45.6854,43.1055,-5.25,28.61,170.28,-0.0521
1.074,0.3756,0.3388,0.4125,0,0,0,0.0000,45.2143,43.7784,-4.99,28.76,170.37,-0.0518
1.091,0.3742,0.3370,0.4114,0,0,0,0.0000,45.4732,44.1071,-5.40,28.77,170.32,-0.0519
1.122,0.3800,0.3387,0.4214,0,0,0,0.0000,45.5614,44.1126,-5.78,28.64,170.26,-0.0519
1.154,0.3722,0.3377,0.4067,0,0,0,0.0000,45.1812,43.8910,-5.51,28.54,170.24,-0.0520
1.187,0.3634,0.3288,0.3980,0,0,0,0.0000,45.4106,43.4003,-5.93,28.40,170.24,-0.0521
1.217,0.3617,0.3102,0.4132,0,0,0,0.0000,45.9834,43.9724,-5.93,28.37,170.38,-0.0525
1.248,0.3536,0.3107,0.3964,0,0,0,0.0000,46.0211,44.2053,-5.98,28.19,170.39,-0.0526
1.278,0.3548,0.3156,0.3941,0,0,0,0.0000,46.1121,43.8047,-5.75,28.11,170.27,-0.0525
1.310,0.3578,0.3224,0.3933,0,0,0,0.0000,45.8914,43.9228,-5.42,27.85,170.27,-0.0523
1.341,0.3564,0.3256,0.3873,0,0,0,0.0000,45.7842,44.3377,-5.54,27.81,170.31,-0.0526
1.372,0.3547,0.3257,0.3837,0,0,0,0.0000,46.0455,45.2258,-5.32,27.79,170.44,-0.0525
1.405,0.3584,0.3240,0.3928,0,0,0,0.0000,46.1571,45.9011,-5.34,27.64,170.69,-0.0523
1.436,0.3529,0.3230,0.3828,0,0,0,0.0000,46.1738,45.7558,-5.14,27.45,170.79,-0.0521
