timestamp_sec,avg_ear,left_ear,right_ear,is_blinking_frame,closed_frame_counter,blink_count_total,blink_rate_bps,left_pupil_diameter,right_pupil_diameter,head_pitch,head_yaw,head_roll,nose_z
0.073,0.4100,0.3192,0.5007,0,0,0,0.0000,47.1145,39.9234,1.80,30.07,172.88,-0.0558
0.159,0.3962,0.3350,0.4574,0,0,0,0.0000,43.3670,41.8027,0.88,29.54,172.85,-0.0581
0.179,0.3657,0.2875,0.4438,0,0,0,0.0000,46.0756,41.8193,0.93,29.01,172.74,-0.0590
0.199,0.1647,0.0975,0.2319,1,1,0,0.0000,41.9784,42.4289,-2.71,27.19,171.26,-0.0581
0.220,0.0571,0.0693,0.0448,1,2,0,0.0000,38.9742,36.8357,-8.45,28.10,169.11,-0.0555
0.240,0.0770,0.0531,0.1010,1,3,0,0.0000,37.7514,34.4724,-5.98,40.23,-10.55,-0.0550
0.260,0.0665,0.0397,0.0932,1,4,0,0.0000,35.5965,37.5755,-9.31,27.47,168.80,-0.0560
0.281,0.0892,0.0566,0.1219,1,5,0,0.0000,37.2581,35.8664,-6.58,39.98,-10.82,-0.0554
0.300,0.0688,0.0503,0.0873,1,6,0,0.0000,35.4704,36.0607,-5.95,40.34,-10.60,-0.0549
0.320,0.0544,0.0379,0.0708,1,7,0,0.0000,34.8448,36.1103,-7.89,28.50,169.63,-0.0546
0.340,0.0409,0.0363,0.0456,1,8,0,0.0000,37.0982,38.0385,-8.61,28.41,169.33,-0.0549
0.361,0.0553,0.0522,0.0585,1,9,0,0.0000,38.1191,36.9120,-7.66,28.81,169.48,-0.0548
0.381,0.0493,0.0300,0.0687,1,10,0,0.0000,38.1149,37.1361,-8.94,29.10,169.29,-0.0541
0.401,0.0553,0.0362,0.0744,1,11,0,0.0000,38.6005,38.4539,-8.82,28.93,169.19,-0.0540
0.421,0.0482,0.0293,0.0670,1,12,0,0.0000,38.1534,36.5391,-9.25,29.60,169.16,-0.0538
0.440,0.0643,0.0412,0.0873,1,13,0,0.0000,36.7704,36.5296,-9.75,30.37,168.72,-0.0533
0.460,0.0700,0.0483,0.0917,1,14,0,0.0000,37.9354,36.1658,-10.64,30.07,168.37,-0.0540
