timestamp_sec,avg_ear,left_ear,right_ear,is_blinking_frame,closed_frame_counter,blink_count_total,blink_rate_bps,left_pupil_diameter,right_pupil_diameter,head_pitch,head_yaw,head_roll,nose_z
0.049,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000
0.069,0.3674,0.3516,0.3832,0,0,0,0.0000,50.9504,45.1171,13.46,33.40,-3.34,-0.0633
0.090,0.3577,0.3443,0.3712,0,0,0,0.0000,51.1480,44.2206,11.35,31.69,-3.74,-0.0645
0.110,0.3614,0.3497,0.3730,0,0,0,0.0000,50.0740,44.3589,9.04,31.07,-4.56,-0.0649
0.135,0.3551,0.3435,0.3667,0,0,0,0.0000,50.1395,44.2514,8.17,30.04,-4.67,-0.0651
0.163,0.3406,0.3204,0.3607,0,0,0,0.0000,50.9438,44.7333,7.92,30.38,-4.64,-0.0650
0.192,0.3142,0.2983,0.3302,0,0,0,0.0000,49.6094,45.9841,7.49,30.89,-4.92,-0.0645
0.196,0.3139,0.3034,0.3244,0,0,0,0.0000,45.9728,41.0574,8.15,33.07,-4.57,-0.0641
0.211,0.3140,0.3055,0.3226,0,0,0,0.0000,45.6017,35.7417,6.25,35.61,-5.01,-0.0641
0.248,0.3489,0.3279,0.3700,0,0,0,0.0000,47.5225,33.9065,6.88,37.34,-4.97,-0.0628
0.258,0.3542,0.3204,0.3879,0,0,0,0.0000,46.5533,33.4259,7.40,38.42,-4.77,-0.0626
0.287,0.3462,0.3102,0.3822,0,0,0,0.0000,47.5401,31.9468,7.02,40.24,-4.20,-0.0623
0.302,0.3459,0.3148,0.3769,0,0,0,0.0000,48.1689,33.1877,8.39,41.67,-3.23,-0.0618
0.334,0.3451,0.3227,0.3675,0,0,0,0.0000,47.2125,33.4019,8.42,41.32,-2.94,-0.0620
0.369,0.3541,0.3264,0.3818,0,0,0,0.0000,47.1963,30.3770,7.96,40.64,-3.36,-0.0619
0.410,0.3491,0.3194,0.3788,0,0,0,0.0000,47.4289,32.1657,7.01,39.74,-4.10,-0.0620
0.444,0.3533,0.3197,0.3868,0,0,0,0.0000,46.9264,31.7549,7.14,39.76,-4.33,-0.0618
0.476,0.3479,0.3147,0.3811,0,0,0,0.0000,47.6502,33.6415,7.12,39.75,-4.35,-0.0612
0.507,0.3501,0.3134,0.3869,0,0,0,0.0000,47.8211,33.5732,6.49,39.28,-4.57,-0.0613
0.521,0.3475,0.3220,0.3730,0,0,0,0.0000,47.0580,36.5930,-6.97,14.44,169.52,-0.0610
0.538,0.3370,0.3018,0.3723,0,0,0,0.0000,47.1428,37.5518,6.62,38.57,-4.90,-0.0611
0.562,0.3374,0.3024,0.3724,0,0,0,0.0000,46.8901,37.5373,-6.30,14.09,169.47,-0.0611
0.587,0.3412,0.3091,0.3734,0,0,0,0.0000,47.2213,37.5497,-6.54,13.98,169.53,-0.0613
0.605,0.3439,0.3142,0.3736,0,0,0,0.0000,46.0715,38.4963,-7.10,13.81,169.30,-0.0611
0.624,0.3422,0.3182,0.3662,0,0,0,0.0000,46.8414,38.3886,-7.14,13.95,169.23,-0.0612
0.637,0.3395,0.3142,0.3648,0,0,0,0.0000,47.2105,38.3637,-6.97,13.99,169.18,-0.0609
0.655,0.3323,0.3106,0.3539,0,0,0,0.0000,48.4700,38.9848,-6.48,13.58,169.13,-0.0610
0.683,0.3286,0.3073,0.3499,0,0,0,0.0000,48.1138,38.3051,-6.68,13.98,168.96,-0.0607
