timestamp_sec,avg_ear,left_ear,right_ear,is_blinking_frame,closed_frame_counter,blink_count_total,blink_rate_bps,left_pupil_diameter,right_pupil_diameter,head_pitch,head_yaw,head_roll,nose_z
0.035,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000
0.086,0.3281,0.3193,0.3370,0,0,0,0.0000,51.7781,37.4853,5.39,18.73,179.59,-0.0618
0.107,0.3251,0.3258,0.3245,0,0,0,0.0000,54.6620,39.6991,3.42,20.56,178.59,-0.0617
0.130,0.3293,0.3293,0.3294,0,0,0,0.0000,51.3443,36.6629,4.35,20.33,178.87,-0.0621
0.147,0.3315,0.3340,0.3290,0,0,0,0.0000,52.2010,37.4171,4.52,20.22,179.02,-0.0622
0.173,0.3303,0.3218,0.3389,0,0,0,0.0000,52.9225,37.1593,4.18,20.16,178.92,-0.0622
0.194,0.3246,0.3299,0.3193,0,0,0,0.0000,50.6186,38.2105,4.45,20.25,179.08,-0.0620
0.205,0.3128,0.2938,0.3317,0,0,0,0.0000,50.6590,41.7342,3.86,20.20,178.79,-0.0624
0.218,0.3174,0.2946,0.3403,0,0,0,0.0000,51.2838,40.9997,3.50,20.66,178.93,-0.0619
0.252,0.3145,0.2983,0.3306,0,0,0,0.0000,50.1175,41.8899,3.69,20.51,178.70,-0.0624
0.272,0.3224,0.3020,0.3428,0,0,0,0.0000,50.8108,41.2773,3.92,20.05,178.75,-0.0621
0.299,0.3179,0.3016,0.3343,0,0,0,0.0000,50.4873,42.7263,3.28,21.12,178.62,-0.0621
0.334,0.3269,0.3013,0.3524,0,0,0,0.0000,50.7899,41.4208,3.64,20.87,178.56,-0.0622
0.366,0.3257,0.3083,0.3430,0,0,0,0.0000,49.5060,41.9740,3.21,20.87,178.42,-0.0621
0.397,0.3271,0.3073,0.3469,0,0,0,0.0000,50.1823,42.4189,3.37,21.07,178.41,-0.0621
0.427,0.3297,0.3092,0.3502,0,0,0,0.0000,51.0038,42.1442,3.15,21.34,178.16,-0.0620
