timestamp_sec,avg_ear,left_ear,right_ear,is_blinking_frame,closed_frame_counter,blink_count_total,blink_rate_bps,left_pupil_diameter,right_pupil_diameter,head_pitch,head_yaw,head_roll,nose_z
0.051,0.2501,0.1166,0.3836,0,0,0,0.0000,48.6504,20.6224,-13.83,30.88,168.82,-0.0529
0.074,0.3512,0.3251,0.3772,0,0,0,0.0000,45.5747,38.4037,0.96,29.25,170.44,-0.0625
0.095,0.3479,0.3213,0.3745,0,0,0,0.0000,43.6105,37.7165,0.38,30.60,171.82,-0.0654
0.114,0.3508,0.3195,0.3821,0,0,0,0.0000,47.0292,41.4153,0.06,30.52,172.22,-0.0648
0.142,0.3490,0.3174,0.3807,0,0,0,0.0000,45.5741,41.5082,0.37,29.58,172.34,-0.0658
0.172,0.3539,0.3205,0.3874,0,0,0,0.0000,46.8291,42.7325,1.01,28.94,172.80,-0.0662
0.202,0.3534,0.3204,0.3863,0,0,0,0.0000,45.3120,42.4126,1.23,29.16,172.86,-0.0662
0.232,0.3529,0.3170,0.3887,0,0,0,0.0000,45.8187,42.5238,1.48,28.80,173.04,-0.0661
0.268,0.3534,0.3179,0.3889,0,0,0,0.0000,44.8849,42.8187,1.87,29.08,173.02,-0.0658
0.299,0.3509,0.3180,0.3839,0,0,0,0.0000,45.3934,43.2044,2.12,28.78,173.07,-0.0658
0.331,0.3487,0.3122,0.3853,0,0,0,0.0000,45.0858,42.4694,1.91,29.25,173.06,-0.0660
0.362,0.3350,0.3048,0.3652,0,0,0,0.0000,49.4733,42.7057,1.14,28.79,173.08,-0.0658
0.396,0.3475,0.3033,0.3918,0,0,0,0.0000,46.6698,44.0102,0.80,28.75,172.99,-0.0669
0.428,0.3354,0.3069,0.3639,0,0,0,0.0000,49.4321,42.5951,0.50,28.80,173.13,-0.0656
0.458,0.3448,0.3036,0.3860,0,0,0,0.0000,48.9233,43.0701,0.87,29.02,173.37,-0.0663
0.491,0.3437,0.3076,0.3799,0,0,0,0.0000,48.4653,41.8715,1.02,28.99,173.52,-0.0660
0.506,0.3488,0.3071,0.3906,0,0,0,0.0000,48.4657,41.7383,1.02,28.78,173.80,-0.0665
0.551,0.3407,0.3009,0.3805,0,0,0,0.0000,48.0431,42.4947,0.62,28.78,173.57,-0.0665
0.585,0.3476,0.2992,0.3959,0,0,0,0.0000,49.0932,42.1665,0.77,29.24,173.92,-0.0663
0.611,0.3405,0.2997,0.3812,0,0,0,0.0000,47.5353,42.0704,0.35,29.10,173.76,-0.0667
0.631,0.3413,0.2933,0.3893,0,0,0,0.0000,50.3266,42.2645,0.51,28.84,173.97,-0.0665
0.666,0.3433,0.2974,0.3892,0,0,0,0.0000,48.6330,41.7492,0.08,28.97,173.79,-0.0666
0.691,0.3372,0.2915,0.3829,0,0,0,0.0000,49.4728,42.3435,0.31,29.37,173.92,-0.0664
0.720,0.3412,0.3017,0.3808,0,0,0,0.0000,48.3034,42.6059,0.12,29.26,173.92,-0.0662
0.743,0.3377,0.2968,0.3786,0,0,0,0.0000,48.5308,42.8114,0.32,29.26,173.93,-0.0664
0.761,0.3383,0.2970,0.3795,0,0,0,0.0000,48.4346,43.5967,0.66,29.08,174.10,-0.0665
0.787,0.3085,0.2683,0.3486,0,0,0,0.0000,46.0963,42.8525,0.58,30.15,174.14,-0.0667
0.803,0.2445,0.1966,0.2925,0,0,0,0.0000,48.3504,46.5979,-0.77,30.45,173.79,-0.0671
0.821,0.2465,0.1908,0.3021,0,0,0,0.0000,49.5882,47.7567,-1.17,31.06,173.76,-0.0671
0.841,0.3106,0.2390,0.3823,0,0,0,0.0000,50.7823,47.7731,0.73,31.67,174.53,-0.0666
0.863,0.3406,0.2686,0.4125,0,0,0,0.0000,53.1904,47.7724,0.19,32.17,174.49,-0.0668
0.881,0.3459,0.2718,0.4200,0,0,0,0.0000,53.5559,48.1934,0.24,32.33,174.19,-0.0661
0.916,0.3646,0.2854,0.4437,0,0,0,0.0000,53.6529,48.0912,0.51,32.72,173.96,-0.0661
0.931,0.3717,0.2829,0.4606,0,0,0,0.0000,53.5692,47.6165,-0.10,33.50,173.70,-0.0654
0.953,0.3745,0.2923,0.4567,0,0,0,0.0000,52.4450,47.7115,0.27,33.14,173.67,-0.0663
0.973,0.3737,0.2936,0.4538,0,0,0,0.0000,52.7313,46.7377,0.63,33.34,173.66,-0.0660
0.991,0.3516,0.2785,0.4247,0,0,0,0.0000,53.7909,46.4999,1.06,33.33,173.59,-0.0657
1.023,0.3503,0.2873,0.4133,0,0,0,0.0000,53.1871,46.4602,0.02,31.89,173.71,-0.0673
1.047,0.3579,0.2978,0.4180,0,0,0,0.0000,51.9180,46.5261,0.44,29.79,174.18,-0.0669
1.061,0.3623,0.2953,0.4293,0,0,0,0.0000,51.5318,46.8728,1.50,29.32,174.34,-0.0673
1.088,0.3431,0.2879,0.3983,0,0,0,0.0000,51.2613,46.7905,0.40,29.49,174.16,-0.0660
1.111,0.3449,0.2893,0.4006,0,0,0,0.0000,50.8416,47.7987,-0.26,28.63,174.23,-0.0664
1.138,0.3476,0.2898,0.4055,0,0,0,0.0000,51.7116,48.7922,-0.34,28.60,174.18,-0.0668
1.151,0.3501,0.2876,0.4127,0,0,0,0.0000,51.3530,48.6870,0.46,28.61,174.49,-0.0671
1.173,0.3448,0.2812,0.4084,0,0,0,0.0000,51.2582,48.1161,0.18,28.92,174.13,-0.0669
1.194,0.3413,0.2770,0.4056,0,0,0,0.0000,51.9999,46.0046,-0.24,29.47,174.02,-0.0670
