timestamp_sec,avg_ear,left_ear,right_ear,is_blinking_frame,closed_frame_counter,blink_count_total,blink_rate_bps,left_pupil_diameter,right_pupil_diameter,head_pitch,head_yaw,head_roll,nose_z
0.048,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000
0.068,0.3572,0.3343,0.3801,0,0,0,0.0000,36.5985,36.8150,-0.80,40.25,-4.73,-0.0483
0.097,0.3067,0.2971,0.3163,0,0,0,0.0000,39.4865,33.0970,-3.25,37.28,-5.54,-0.0505
0.127,0.3168,0.2951,0.3384,0,0,0,0.0000,39.6550,32.7800,-3.11,37.41,-5.17,-0.0495
0.156,0.3003,0.2970,0.3036,0,0,0,0.0000,39.1141,33.1678,-3.91,38.15,-5.43,-0.0484
0.172,0.2930,0.2794,0.3065,0,0,0,0.0000,38.2192,33.5557,-4.22,37.77,-5.74,-0.0484
0.189,0.3045,0.2817,0.3272,0,0,0,0.0000,36.3325,33.1039,-3.85,38.40,-5.04,-0.0480
0.220,0.2965,0.2729,0.3202,0,0,0,0.0000,38.7317,31.9659,-4.85,38.53,-5.81,-0.0484
0.252,0.2976,0.2856,0.3095,0,0,0,0.0000,36.0936,33.1777,-4.15,38.25,-5.49,-0.0484
0.280,0.3074,0.2873,0.3274,0,0,0,0.0000,40.5170,36.8242,-3.21,39.02,-4.80,-0.0478
0.296,0.2981,0.2866,0.3097,0,0,0,0.0000,43.7933,37.9250,-4.07,39.50,-5.04,-0.0483
0.312,0.3074,0.2908,0.3240,0,0,0,0.0000,44.0733,37.6799,-4.03,39.55,-5.15,-0.0485
0.328,0.3045,0.2933,0.3158,0,0,0,0.0000,43.4343,38.2718,-3.93,39.26,-5.35,-0.0485
0.359,0.3016,0.2893,0.3139,0,0,0,0.0000,43.8362,38.9814,-3.35,38.93,-5.16,-0.0485
0.390,0.2996,0.2885,0.3107,0,0,0,0.0000,44.3960,40.3253,-3.98,39.55,-5.02,-0.0481
0.406,0.2980,0.2915,0.3045,0,0,0,0.0000,44.0474,40.8150,-3.89,39.81,-4.94,-0.0482
0.437,0.2946,0.2925,0.2966,0,0,0,0.0000,43.6455,40.5063,-3.91,39.66,-4.82,-0.0485
0.469,0.2898,0.2933,0.2863,0,0,0,0.0000,43.6667,40.1514,-4.36,39.29,-4.81,-0.0490
0.501,0.2946,0.2877,0.3016,0,0,0,0.0000,43.4162,40.1398,-4.04,39.57,-4.83,-0.0493
0.530,0.2961,0.2783,0.3138,0,0,0,0.0000,43.0654,39.5632,-3.49,39.32,-4.66,-0.0492
0.561,0.2724,0.2490,0.2958,0,0,0,0.0000,40.0958,33.1667,-5.16,37.81,-5.70,-0.0493
0.593,0.2608,0.2211,0.3006,0,0,0,0.0000,36.2294,33.0420,-6.98,37.16,-6.56,-0.0489
0.623,0.2585,0.1808,0.3363,0,0,0,0.0000,37.1922,33.2221,-7.40,36.54,-6.50,-0.0494
0.654,0.2479,0.1890,0.3068,0,0,0,0.0000,37.3387,31.7902,-6.45,35.70,-6.59,-0.0500
0.685,0.2406,0.1773,0.3040,0,0,0,0.0000,39.0817,31.1801,-6.82,35.49,-6.62,-0.0501
0.700,0.2307,0.1257,0.3358,0,0,0,0.0000,35.9584,33.4420,-5.12,36.71,-6.18,-0.0493
0.717,0.2383,0.1596,0.3170,0,0,0,0.0000,36.8877,31.8739,-4.67,36.74,-6.27,-0.0498
0.733,0.2105,0.1100,0.3110,1,1,0,0.0000,32.7215,31.5070,-3.49,36.33,-5.95,-0.0499
0.749,0.2124,0.1262,0.2985,1,2,0,0.0000,32.6102,31.2470,-1.93,35.73,-5.70,-0.0504
0.764,0.2039,0.1186,0.2892,1,3,0,0.0000,32.7463,31.1896,-1.32,35.81,-5.87,-0.0510
0.780,0.2117,0.1241,0.2993,1,4,0,0.0000,34.2462,30.0587,-0.05,35.46,-5.49,-0.0512
0.795,0.1958,0.1083,0.2832,1,5,0,0.0000,37.3394,29.8256,-0.01,36.15,-5.31,-0.0512
0.811,0.2089,0.1275,0.2903,1,6,0,0.0000,34.5788,30.9820,-0.04,35.77,-5.60,-0.0521
0.841,0.2173,0.1464,0.2882,1,7,0,0.0000,35.5117,29.4700,-0.71,35.60,-5.92,-0.0524
0.856,0.2006,0.1354,0.2658,1,8,0,0.0000,36.6939,29.1358,-1.19,34.83,-6.18,-0.0528
0.888,0.2112,0.1549,0.2674,1,9,0,0.0000,37.0748,30.0532,-1.91,35.08,-5.70,-0.0522
0.904,0.2104,0.1664,0.2545,1,10,0,0.0000,36.2779,31.1474,-2.08,35.61,-5.29,-0.0514
0.935,0.2029,0.1520,0.2538,1,11,0,0.0000,36.8822,31.2822,-1.40,35.64,-5.15,-0.0513
0.967,0.1800,0.1005,0.2595,1,12,0,0.0000,34.5589,32.1834,-2.18,33.87,-5.52,-0.0510
0.997,0.1845,0.1214,0.2477,1,13,0,0.0000,36.8037,31.9633,-1.29,34.78,-5.29,-0.0497
1.013,0.1821,0.1312,0.2329,1,14,0,0.0000,37.3173,32.3539,-1.43,34.22,-5.85,-0.0499
1.045,0.1603,0.1119,0.2087,1,15,0,0.0000,37.6231,33.0221,-1.56,33.07,-5.48,-0.0506
1.076,0.1701,0.1389,0.2014,1,16,0,0.0000,38.1294,32.7658,-1.13,33.01,-5.52,-0.0501
1.106,0.1645,0.1365,0.1925,1,17,0,0.0000,34.4426,32.9330,-0.56,32.85,-4.98,-0.0503
1.140,0.1832,0.1369,0.2295,1,18,0,0.0000,35.8070,32.4230,-0.55,33.07,-4.90,-0.0504
1.169,0.1737,0.1243,0.2231,1,19,0,0.0000,36.7726,32.2925,-1.14,33.00,-5.20,-0.0505
1.202,0.1782,0.1369,0.2195,1,20,0,0.0000,37.2063,32.4297,-0.27,33.04,-5.36,-0.0509
1.231,0.1694,0.1306,0.2081,1,21,0,0.0000,36.8560,33.3899,-8.54,34.65,170.21,-0.0515
1.262,0.1720,0.1312,0.2128,1,22,0,0.0000,36.0125,34.0670,-7.68,34.51,170.28,-0.0523
1.292,0.1818,0.1396,0.2240,1,23,0,0.0000,37.2092,32.2679,-7.31,34.46,170.27,-0.0526
1.323,0.1736,0.1306,0.2167,1,24,0,0.0000,36.5870,33.1441,0.95,32.14,-6.01,-0.0529
1.354,0.1823,0.1457,0.2189,1,25,0,0.0000,35.9362,31.0392,-7.21,33.88,170.39,-0.0529
1.370,0.1686,0.1292,0.2080,1,26,0,0.0000,36.6485,32.9860,-6.73,33.23,170.30,-0.0534
1.399,0.1607,0.1175,0.2038,1,27,0,0.0000,35.6869,32.1895,1.11,30.34,-6.16,-0.0537
1.415,0.1502,0.0922,0.2082,1,28,0,0.0000,32.8455,31.8377,1.64,30.58,-6.16,-0.0538
1.446,0.1574,0.0930,0.2219,1,29,0,0.0000,34.3150,31.1605,1.09,30.52,-6.10,-0.0536
1.460,0.1648,0.1086,0.2210,1,30,0,0.0000,32.3886,31.9573,2.16,31.60,-6.07,-0.0532
1.476,0.1680,0.1133,0.2228,1,31,0,0.0000,34.8577,31.5038,-6.74,32.84,170.36,-0.0535
1.492,0.1825,0.1086,0.2565,1,32,0,0.0000,33.7464,30.7780,-5.78,33.52,170.18,-0.0532
1.507,0.1871,0.1429,0.2313,1,33,0,0.0000,36.5800,31.3067,-6.56,33.65,170.31,-0.0532
1.537,0.1803,0.1180,0.2426,1,34,0,0.0000,36.7273,31.9867,-6.21,33.73,170.15,-0.0532
1.570,0.1635,0.1195,0.2076,1,35,0,0.0000,33.9205,33.6542,-6.42,33.10,170.36,-0.0531
1.600,0.0788,0.0412,0.1165,1,36,0,0.0000,30.4265,33.7179,-6.77,34.55,170.48,-0.0524
1.631,0.0657,0.0321,0.0993,1,37,0,0.0000,31.2771,32.3543,1.49,32.84,-5.49,-0.0520
1.662,0.1260,0.1164,0.1356,1,38,0,0.0000,36.0102,32.4920,-5.13,34.63,171.15,-0.0543
1.692,0.2295,0.2490,0.2100,0,0,1,0.5910,41.6017,32.9931,-4.55,35.96,170.95,-0.0550
1.709,0.2836,0.2709,0.2962,0,0,1,0.5851,40.7710,33.2934,-4.94,36.79,170.94,-0.0549
1.740,0.2990,0.2877,0.3104,0,0,1,0.5748,41.1555,33.4741,-4.45,36.79,171.42,-0.0552
1.771,0.3011,0.2994,0.3028,0,0,1,0.5648,41.3820,33.7428,-4.15,35.32,171.26,-0.0552
