timestamp_sec,avg_ear,left_ear,right_ear,is_blinking_frame,closed_frame_counter,blink_count_total,blink_rate_bps,left_pupil_diameter,right_pupil_diameter,head_pitch,head_yaw,head_roll,nose_z
0.049,0.3450,0.2686,0.4215,0,0,0,0.0000,40.4559,36.0581,1.68,28.83,173.04,-0.0566
0.138,0.3473,0.2907,0.4038,0,0,0,0.0000,39.0661,36.8131,1.18,28.46,173.58,-0.0576
0.152,0.3457,0.2885,0.4030,0,0,0,0.0000,38.1374,38.4926,0.63,28.42,173.49,-0.0577
0.169,0.3369,0.2636,0.4102,0,0,0,0.0000,39.2805,37.7502,0.87,29.37,173.52,-0.0574
0.192,0.3453,0.2802,0.4103,0,0,0,0.0000,40.2240,38.9416,0.29,29.15,173.33,-0.0579
0.209,0.3475,0.2706,0.4243,0,0,0,0.0000,40.6775,37.7893,0.56,29.89,173.38,-0.0575
0.231,0.3463,0.2766,0.4160,0,0,0,0.0000,41.1073,38.3857,0.12,30.03,173.22,-0.0573
0.256,0.3469,0.2710,0.4228,0,0,0,0.0000,41.2747,37.4015,-0.05,30.54,173.12,-0.0569
0.269,0.3400,0.2601,0.4199,0,0,0,0.0000,41.6661,36.6567,-0.37,30.51,173.09,-0.0572
0.289,0.3347,0.2718,0.3975,0,0,0,0.0000,42.2498,37.2824,-0.52,30.56,172.99,-0.0566
0.309,0.3356,0.2692,0.4021,0,0,0,0.0000,42.7824,37.0094,-0.44,30.94,173.08,-0.0568
0.329,0.3392,0.2663,0.4122,0,0,0,0.0000,42.7453,36.3150,-0.92,30.80,173.04,-0.0572
0.351,0.3388,0.2640,0.4135,0,0,0,0.0000,42.1317,36.0749,-0.94,30.70,173.05,-0.0573
0.371,0.3370,0.2587,0.4153,0,0,0,0.0000,41.9415,36.0300,-1.24,30.70,173.03,-0.0572
0.393,0.3436,0.2650,0.4221,0,0,0,0.0000,40.7546,34.0775,-1.92,30.37,172.78,-0.0571
0.409,0.3449,0.2639,0.4260,0,0,0,0.0000,40.3811,34.4877,-1.82,30.46,172.85,-0.0569
0.431,0.3535,0.2728,0.4343,0,0,0,0.0000,41.2238,34.3221,-1.75,30.40,172.79,-0.0573
0.449,0.3527,0.2739,0.4316,0,0,0,0.0000,39.6418,34.7930,-1.88,30.33,172.66,-0.0568
0.469,0.3482,0.2668,0.4297,0,0,0,0.0000,42.1360,35.1675,-1.75,30.67,172.87,-0.0568
0.489,0.3578,0.2776,0.4381,0,0,0,0.0000,40.2931,35.3416,-1.36,30.27,172.86,-0.0569
0.509,0.3650,0.2795,0.4505,0,0,0,0.0000,40.6801,34.8676,-1.20,31.01,172.90,-0.0564
0.528,0.3576,0.2846,0.4305,0,0,0,0.0000,40.7901,36.2069,-1.28,30.52,172.94,-0.0566
0.543,0.3437,0.2770,0.4104,0,0,0,0.0000,42.4537,35.7523,-1.23,30.85,173.01,-0.0568
0.562,0.3420,0.2839,0.4001,0,0,0,0.0000,42.4025,36.0728,-0.15,31.06,173.33,-0.0565
