timestamp_sec,avg_ear,left_ear,right_ear,is_blinking_frame,closed_frame_counter,blink_count_total,blink_rate_bps,left_pupil_diameter,right_pupil_diameter,head_pitch,head_yaw,head_roll,nose_z
0.054,0.2697,0.2284,0.3111,0,0,0,0.0000,36.5966,33.8587,6.10,27.01,178.41,-0.0474
0.071,0.2394,0.2123,0.2665,0,0,0,0.0000,38.7847,32.2871,9.18,44.08,-6.13,-0.0441
0.092,0.2554,0.2154,0.2955,0,0,0,0.0000,37.1731,33.2807,11.08,29.12,175.22,-0.0442
0.115,0.2421,0.2128,0.2714,0,0,0,0.0000,37.6515,31.9885,10.77,28.39,174.87,-0.0442
0.158,0.2467,0.2124,0.2810,0,0,0,0.0000,37.8924,32.2696,10.65,28.67,174.63,-0.0441
0.191,0.2437,0.2195,0.2680,0,0,0,0.0000,35.7993,33.3752,10.99,28.33,174.80,-0.0439
0.242,0.2466,0.2137,0.2794,0,0,0,0.0000,35.9068,33.2356,11.13,27.96,174.73,-0.0438
0.298,0.2593,0.2173,0.3013,0,0,0,0.0000,35.5894,32.6711,10.83,28.12,174.67,-0.0439
0.332,0.2623,0.2138,0.3107,0,0,0,0.0000,35.5634,32.6106,11.06,28.51,174.75,-0.0434
0.367,0.2492,0.2180,0.2803,0,0,0,0.0000,35.7256,31.3153,11.34,28.31,174.99,-0.0438
0.394,0.2622,0.2251,0.2993,0,0,0,0.0000,36.2954,31.4226,11.59,29.09,174.72,-0.0431
0.423,0.2712,0.2278,0.3145,0,0,0,0.0000,35.9434,32.1835,11.30,29.05,174.63,-0.0433
0.458,0.2693,0.2269,0.3117,0,0,0,0.0000,35.5394,31.5581,11.47,29.42,174.56,-0.0429
0.477,0.2764,0.2311,0.3216,0,0,0,0.0000,37.3288,32.6058,11.50,29.13,174.71,-0.0431
0.509,0.2592,0.2114,0.3071,0,0,0,0.0000,35.6416,31.2883,11.73,29.27,174.76,-0.0430
0.533,0.2665,0.2154,0.3175,0,0,0,0.0000,35.7111,29.6317,11.77,29.24,174.63,-0.0429
0.567,0.2685,0.2221,0.3149,0,0,0,0.0000,35.6949,30.3254,12.90,29.61,174.33,-0.0423
0.591,0.2648,0.2136,0.3160,0,0,0,0.0000,35.8818,28.8891,13.24,29.49,173.85,-0.0423
0.613,0.2643,0.2189,0.3096,0,0,0,0.0000,34.8921,29.6941,13.39,29.82,173.60,-0.0422
0.629,0.2532,0.2173,0.2891,0,0,0,0.0000,34.8520,29.5404,13.21,30.38,173.42,-0.0420
0.654,0.2671,0.2364,0.2978,0,0,0,0.0000,35.3957,30.6807,13.40,30.53,173.40,-0.0415
0.675,0.2551,0.2206,0.2895,0,0,0,0.0000,35.7993,30.9113,14.51,30.49,173.64,-0.0414
0.702,0.2725,0.2299,0.3152,0,0,0,0.0000,35.0209,31.2175,14.48,31.26,173.32,-0.0412
0.721,0.2682,0.2304,0.3061,0,0,0,0.0000,35.6117,31.5599,14.41,31.34,173.13,-0.0414
0.742,0.2659,0.2349,0.2969,0,0,0,0.0000,35.8895,31.9524,13.54,31.50,173.04,-0.0420
0.757,0.2733,0.2481,0.2984,0,0,0,0.0000,37.7793,29.6416,12.73,31.08,172.79,-0.0419
0.777,0.2656,0.2468,0.2844,0,0,0,0.0000,35.8972,28.8748,13.17,30.71,173.16,-0.0424
0.799,0.2699,0.2502,0.2895,0,0,0,0.0000,37.4714,28.9258,12.45,30.81,172.69,-0.0422
0.818,0.2654,0.2505,0.2804,0,0,0,0.0000,35.2937,29.8029,13.06,29.87,172.94,-0.0429
0.841,0.2636,0.2440,0.2833,0,0,0,0.0000,36.3074,30.3776,12.24,30.13,172.61,-0.0426
0.861,0.2526,0.2404,0.2647,0,0,0,0.0000,37.7633,30.6800,12.36,30.09,172.70,-0.0426
0.881,0.2524,0.2464,0.2585,0,0,0,0.0000,38.0302,30.6462,12.85,29.73,172.94,-0.0425
0.901,0.2599,0.2469,0.2728,0,0,0,0.0000,37.0364,30.8273,13.15,29.60,173.01,-0.0427
0.921,0.2669,0.2428,0.2910,0,0,0,0.0000,38.2554,30.3516,13.07,29.95,173.08,-0.0425
0.942,0.2570,0.2386,0.2753,0,0,0,0.0000,38.1000,30.8913,12.66,29.71,173.06,-0.0423
0.962,0.2575,0.2456,0.2693,0,0,0,0.0000,36.9157,29.7332,12.45,29.77,173.06,-0.0427
0.977,0.2645,0.2406,0.2884,0,0,0,0.0000,36.0092,31.0910,12.73,29.15,173.07,-0.0430
0.998,0.2545,0.2337,0.2754,0,0,0,0.0000,36.5119,29.6746,12.46,28.84,172.91,-0.0432
1.021,0.2606,0.2346,0.2866,0,0,0,0.0000,37.1048,30.0670,12.99,28.66,173.19,-0.0433
1.037,0.2555,0.2323,0.2787,0,0,0,0.0000,35.3243,30.5982,13.17,28.39,173.28,-0.0433
1.058,0.2506,0.2291,0.2721,0,0,0,0.0000,35.9442,30.2757,12.99,27.91,173.38,-0.0437
1.077,0.2498,0.2302,0.2694,0,0,0,0.0000,36.1321,30.9005,13.26,27.49,173.57,-0.0436
1.097,0.2459,0.2270,0.2649,0,0,0,0.0000,35.8396,31.3012,12.89,27.39,174.06,-0.0442
1.117,0.2438,0.2267,0.2610,0,0,0,0.0000,36.3425,31.0661,12.90,27.35,174.31,-0.0440
1.137,0.2446,0.2302,0.2590,0,0,0,0.0000,35.5204,31.6321,13.33,27.02,174.26,-0.0444
1.162,0.2381,0.2282,0.2480,0,0,0,0.0000,35.9148,31.9780,12.55,27.81,174.09,-0.0444
1.182,0.2486,0.2263,0.2709,0,0,0,0.0000,36.7266,32.6028,11.81,28.34,173.95,-0.0441
1.201,0.2460,0.2212,0.2708,0,0,0,0.0000,36.7435,33.1582,12.28,28.39,173.80,-0.0439
1.223,0.2253,0.2149,0.2357,0,0,0,0.0000,36.7954,31.5261,12.25,28.08,173.80,-0.0443
1.241,0.2225,0.2170,0.2281,0,0,0,0.0000,37.0868,31.4976,12.41,27.32,173.82,-0.0444
1.264,0.2161,0.2172,0.2150,1,1,0,0.0000,37.4726,32.7378,12.88,25.63,174.03,-0.0454
1.287,0.2182,0.2194,0.2169,1,2,0,0.0000,38.2725,32.3819,13.78,24.83,174.16,-0.0455
1.314,0.2191,0.2161,0.2221,1,3,0,0.0000,38.3832,32.0754,14.04,24.17,174.30,-0.0457
1.328,0.2181,0.2199,0.2164,1,4,0,0.0000,38.1646,31.6250,14.28,24.23,174.38,-0.0456
1.349,0.2193,0.2207,0.2180,1,5,0,0.0000,38.7806,31.7155,14.31,23.75,174.16,-0.0460
1.371,0.2266,0.2178,0.2355,0,0,1,0.7294,38.5945,30.3766,14.65,23.74,174.25,-0.0459
1.392,0.2268,0.2116,0.2421,0,0,1,0.7184,39.7290,31.6642,14.23,23.59,174.13,-0.0459
1.411,0.2288,0.2113,0.2463,0,0,1,0.7088,39.7136,30.8833,14.70,22.83,174.29,-0.0464
1.430,0.2301,0.2103,0.2499,0,0,1,0.6991,40.1868,31.8536,13.23,22.87,174.05,-0.0462
1.451,0.2349,0.2148,0.2550,0,0,1,0.6894,40.2137,32.7656,12.91,22.81,174.21,-0.0462
