timestamp_sec,avg_ear,left_ear,right_ear,is_blinking_frame,closed_frame_counter,blink_count_total,blink_rate_bps,left_pupil_diameter,right_pupil_diameter,head_pitch,head_yaw,head_roll,nose_z
0.053,0.3660,0.3344,0.3975,0,0,0,0.0000,55.8299,37.7008,3.84,29.86,176.80,-0.0502
0.069,0.3681,0.3389,0.3973,0,0,0,0.0000,51.9702,46.4532,9.32,20.73,178.24,-0.0660
0.099,0.3724,0.3191,0.4257,0,0,0,0.0000,51.5912,46.2512,8.83,24.58,178.12,-0.0666
0.116,0.3508,0.3070,0.3946,0,0,0,0.0000,52.0164,47.5870,5.59,27.39,177.00,-0.0661
0.146,0.3572,0.2941,0.4203,0,0,0,0.0000,54.5980,49.6454,2.48,28.75,175.80,-0.0662
0.162,0.3483,0.3038,0.3929,0,0,0,0.0000,53.5319,50.5867,0.73,29.25,174.41,-0.0665
0.193,0.3432,0.3065,0.3798,0,0,0,0.0000,53.7141,50.3161,-0.18,29.89,173.18,-0.0668
0.225,0.3577,0.3199,0.3955,0,0,0,0.0000,50.6408,49.5646,-0.04,30.02,172.13,-0.0666
0.255,0.3541,0.3120,0.3962,0,0,0,0.0000,53.2392,49.2057,-0.61,29.80,171.37,-0.0658
0.271,0.3483,0.3029,0.3936,0,0,0,0.0000,53.0463,49.2557,-2.47,29.20,170.53,-0.0657
0.301,0.3477,0.3081,0.3872,0,0,0,0.0000,55.5738,49.1863,-2.19,29.36,170.31,-0.0655
0.317,0.3447,0.3113,0.3781,0,0,0,0.0000,55.4428,49.5201,-2.51,29.15,170.54,-0.0649
0.350,0.3402,0.3112,0.3692,0,0,0,0.0000,55.4506,49.5025,-2.74,29.27,170.64,-0.0653
0.380,0.3476,0.3154,0.3798,0,0,0,0.0000,54.9813,49.1010,-2.50,28.49,171.18,-0.0656
0.412,0.3454,0.3183,0.3724,0,0,0,0.0000,55.1949,48.5786,-2.36,28.24,170.99,-0.0657
0.441,0.3409,0.3090,0.3728,0,0,0,0.0000,55.4442,48.3274,-2.39,27.75,171.00,-0.0661
0.472,0.3466,0.3133,0.3800,0,0,0,0.0000,54.3162,48.5501,-1.55,27.51,171.31,-0.0658
0.503,0.3406,0.3083,0.3730,0,0,0,0.0000,54.4506,49.6576,-1.33,27.10,171.59,-0.0659
0.536,0.3436,0.3104,0.3768,0,0,0,0.0000,55.0972,49.4415,-0.82,26.51,171.70,-0.0663
0.566,0.3415,0.3027,0.3804,0,0,0,0.0000,53.9066,49.5122,-1.79,27.04,171.63,-0.0668
0.597,0.3430,0.3099,0.3761,0,0,0,0.0000,54.1780,49.0664,-1.16,26.74,172.07,-0.0663
0.630,0.3441,0.3000,0.3881,0,0,0,0.0000,54.8725,48.4747,-1.38,26.58,171.78,-0.0669
0.660,0.3351,0.2952,0.3750,0,0,0,0.0000,54.6530,47.9077,-1.21,26.77,172.27,-0.0663
0.690,0.3309,0.2949,0.3668,0,0,0,0.0000,55.0214,47.7723,-1.17,26.84,172.67,-0.0656
0.722,0.3094,0.2710,0.3477,0,0,0,0.0000,52.2535,46.9471,-0.16,26.97,172.71,-0.0662
0.752,0.2332,0.1988,0.2676,0,0,0,0.0000,53.4406,45.7806,-2.16,27.66,172.24,-0.0659
0.783,0.1950,0.1582,0.2317,1,1,0,0.0000,51.9477,47.0802,-2.57,26.64,172.72,-0.0662
0.799,0.2236,0.1820,0.2651,0,0,0,0.0000,52.4245,47.2030,-1.69,27.64,172.99,-0.0660
0.831,0.2778,0.2308,0.3248,0,0,0,0.0000,53.1724,48.1270,-0.62,27.32,172.88,-0.0658
