timestamp_sec,avg_ear,left_ear,right_ear,is_blinking_frame,closed_frame_counter,blink_count_total,blink_rate_bps,left_pupil_diameter,right_pupil_diameter,head_pitch,head_yaw,head_roll,nose_z
0.044,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000
0.068,0.3103,0.2447,0.3759,0,0,0,0.0000,36.6089,32.1416,4.19,41.29,-10.95,-0.0500
0.087,0.3019,0.2698,0.3340,0,0,0,0.0000,36.2474,32.8434,5.89,41.15,-9.09,-0.0502
0.109,0.2810,0.2397,0.3223,0,0,0,0.0000,37.2936,33.2332,5.33,41.31,-8.99,-0.0496
0.132,0.2848,0.2509,0.3187,0,0,0,0.0000,35.4737,31.9186,4.68,41.27,-9.10,-0.0503
0.165,0.2790,0.2390,0.3190,0,0,0,0.0000,34.4162,31.1982,5.05,41.16,-8.70,-0.0501
0.196,0.2752,0.2274,0.3230,0,0,0,0.0000,34.7429,30.3476,4.70,41.19,-8.76,-0.0501
0.214,0.2764,0.2195,0.3332,0,0,0,0.0000,37.2208,31.1989,4.76,41.00,-8.64,-0.0500
0.240,0.2762,0.2296,0.3228,0,0,0,0.0000,37.1075,31.1411,5.86,41.18,-8.35,-0.0497
0.272,0.2468,0.1822,0.3115,0,0,0,0.0000,39.0242,33.8398,5.30,40.05,-8.23,-0.0499
0.302,0.2276,0.1664,0.2889,0,0,0,0.0000,41.0649,35.2277,0.49,28.46,170.42,-0.0501
0.333,0.2238,0.1623,0.2854,0,0,0,0.0000,40.1493,35.3838,0.69,28.46,170.61,-0.0501
0.365,0.2291,0.1723,0.2859,0,0,0,0.0000,40.0954,35.4080,0.90,28.66,170.70,-0.0501
0.397,0.2338,0.1722,0.2954,0,0,0,0.0000,40.4247,34.7468,1.01,28.71,170.72,-0.0501
0.426,0.2296,0.1692,0.2899,0,0,0,0.0000,40.7005,34.1305,0.95,28.58,170.93,-0.0505
0.461,0.2373,0.1758,0.2989,0,0,0,0.0000,40.9497,34.7179,1.18,29.00,170.86,-0.0502
0.494,0.2345,0.1675,0.3015,0,0,0,0.0000,40.2076,34.3558,1.19,28.79,170.91,-0.0506
0.522,0.2344,0.1789,0.2899,0,0,0,0.0000,41.2269,34.0685,1.05,29.05,170.94,-0.0508
0.546,0.2373,0.1776,0.2970,0,0,0,0.0000,40.0108,34.6303,1.54,29.21,170.92,-0.0500
0.577,0.2489,0.1976,0.3002,0,0,0,0.0000,41.0729,34.0425,1.42,29.37,170.98,-0.0503
0.596,0.2483,0.2065,0.2902,0,0,0,0.0000,39.7553,35.2216,1.35,28.90,170.85,-0.0504
0.614,0.2449,0.1929,0.2968,0,0,0,0.0000,38.5772,35.6181,1.10,29.08,170.62,-0.0504
0.640,0.2431,0.1803,0.3059,0,0,0,0.0000,38.2225,35.7317,0.76,29.09,170.31,-0.0503
0.657,0.2426,0.1747,0.3104,0,0,0,0.0000,39.8688,34.3269,0.85,28.87,170.20,-0.0502
0.689,0.2421,0.1776,0.3065,0,0,0,0.0000,40.4981,35.0266,0.81,28.83,170.07,-0.0501
0.718,0.2452,0.1882,0.3022,0,0,0,0.0000,41.8956,34.1619,0.79,29.25,170.29,-0.0494
0.735,0.2387,0.1905,0.2868,0,0,0,0.0000,41.4186,35.4191,1.70,29.08,170.54,-0.0496
0.766,0.2569,0.2087,0.3052,0,0,0,0.0000,40.0889,34.3700,1.28,29.77,170.29,-0.0492
0.798,0.2473,0.1966,0.2979,0,0,0,0.0000,40.6602,34.3367,1.19,29.88,170.39,-0.0494
0.828,0.2470,0.2027,0.2912,0,0,0,0.0000,40.5883,34.6042,1.53,29.80,170.56,-0.0490
