timestamp_sec,avg_ear,left_ear,right_ear,is_blinking_frame,closed_frame_counter,blink_count_total,blink_rate_bps,left_pupil_diameter,right_pupil_diameter,head_pitch,head_yaw,head_roll,nose_z
0.096,0.3033,0.2952,0.3114,0,0,0,0.0000,44.1275,32.3680,8.38,28.33,170.12,-0.0522
0.165,0.2969,0.2841,0.3097,0,0,0,0.0000,43.1564,34.8994,7.88,27.75,169.92,-0.0518
0.182,0.2857,0.2748,0.2966,0,0,0,0.0000,43.6743,34.1969,7.30,28.22,169.94,-0.0516
0.207,0.2866,0.2791,0.2940,0,0,0,0.0000,43.9354,34.1759,7.43,28.23,169.99,-0.0514
0.237,0.2880,0.2790,0.2970,0,0,0,0.0000,44.3254,34.0590,7.37,28.31,169.94,-0.0516
0.267,0.2866,0.2784,0.2949,0,0,0,0.0000,43.9064,34.0295,7.40,28.01,170.05,-0.0515
0.296,0.2902,0.2833,0.2972,0,0,0,0.0000,43.9234,33.9448,7.44,28.12,169.96,-0.0516
0.330,0.2873,0.2827,0.2918,0,0,0,0.0000,44.0120,33.8869,7.24,28.00,169.96,-0.0515
0.359,0.2895,0.2839,0.2952,0,0,0,0.0000,43.7347,34.1407,6.58,28.54,169.77,-0.0519
0.393,0.2867,0.2835,0.2900,0,0,0,0.0000,42.6790,34.5265,6.67,28.29,169.84,-0.0518
0.425,0.2887,0.2847,0.2928,0,0,0,0.0000,42.1256,34.5929,6.65,28.32,169.79,-0.0520
0.454,0.2910,0.2849,0.2971,0,0,0,0.0000,41.9383,34.7959,6.62,28.29,169.74,-0.0521
0.492,0.2883,0.2794,0.2971,0,0,0,0.0000,42.3770,34.8960,6.53,28.26,169.72,-0.0520
0.517,0.2874,0.2779,0.2970,0,0,0,0.0000,42.9128,34.2925,6.61,28.41,169.80,-0.0521
0.551,0.2807,0.2732,0.2882,0,0,0,0.0000,45.0485,37.1747,5.91,28.46,169.90,-0.0522
0.583,0.3062,0.2892,0.3232,0,0,0,0.0000,44.9533,38.2111,5.63,28.07,169.94,-0.0521
0.610,0.3093,0.2961,0.3226,0,0,0,0.0000,45.3276,37.8305,5.22,28.57,169.82,-0.0522
0.638,0.3133,0.2960,0.3307,0,0,0,0.0000,45.4107,38.2066,5.35,28.45,169.83,-0.0523
0.660,0.3109,0.2944,0.3275,0,0,0,0.0000,45.1810,38.2526,5.47,28.38,169.84,-0.0523
0.690,0.3088,0.2946,0.3230,0,0,0,0.0000,45.4405,38.3452,5.65,28.20,169.97,-0.0525
0.710,0.3080,0.2893,0.3266,0,0,0,0.0000,45.3923,39.0310,5.87,27.87,170.11,-0.0521
0.731,0.3098,0.2904,0.3292,0,0,0,0.0000,45.2749,39.0642,5.92,27.75,170.07,-0.0523
0.756,0.3039,0.2899,0.3178,0,0,0,0.0000,45.3225,38.2104,5.92,27.71,170.07,-0.0523
0.770,0.2972,0.2873,0.3071,0,0,0,0.0000,45.6971,37.9669,5.19,28.25,169.81,-0.0526
0.801,0.3041,0.2868,0.3214,0,0,0,0.0000,46.1920,38.0852,5.91,27.62,170.14,-0.0523
0.832,0.2931,0.2867,0.2996,0,0,0,0.0000,46.0879,37.8722,5.49,27.94,169.91,-0.0525
0.876,0.3073,0.2927,0.3218,0,0,0,0.0000,46.4523,37.8811,6.14,27.33,170.37,-0.0522
0.908,0.2975,0.2911,0.3039,0,0,0,0.0000,45.4171,37.9504,5.64,27.80,170.17,-0.0524
0.934,0.3002,0.2863,0.3140,0,0,0,0.0000,46.2314,37.9040,6.00,27.16,170.38,-0.0523
0.964,0.2959,0.2852,0.3065,0,0,0,0.0000,46.2259,38.0466,6.02,27.27,170.35,-0.0525
0.995,0.2940,0.2846,0.3034,0,0,0,0.0000,46.5199,37.4513,6.15,27.00,170.45,-0.0525
1.028,0.2926,0.2844,0.3008,0,0,0,0.0000,46.0320,37.2012,5.71,27.41,170.35,-0.0525
1.060,0.3050,0.2852,0.3248,0,0,0,0.0000,46.7606,38.2961,7.05,26.88,170.77,-0.0524
1.090,0.2989,0.2824,0.3153,0,0,0,0.0000,46.6148,38.5162,6.56,26.78,170.68,-0.0526
1.119,0.3041,0.2849,0.3232,0,0,0,0.0000,46.5874,38.6158,6.86,26.69,170.74,-0.0526
