timestamp_sec,avg_ear,left_ear,right_ear,is_blinking_frame,closed_frame_counter,blink_count_total,blink_rate_bps,left_pupil_diameter,right_pupil_diameter,head_pitch,head_yaw,head_roll,nose_z
0.114,0.2984,0.2871,0.3096,0,0,0,0.0000,51.6468,35.4018,2.76,19.77,176.22,-0.0588
0.225,0.2927,0.2852,0.3002,0,0,0,0.0000,50.7183,34.4110,1.39,20.57,175.38,-0.0584
0.248,0.2938,0.2868,0.3008,0,0,0,0.0000,48.8343,34.0040,1.65,20.28,175.39,-0.0583
0.267,0.2955,0.2880,0.3030,0,0,0,0.0000,49.1312,34.3418,1.80,20.24,175.48,-0.0581
0.302,0.2997,0.2894,0.3101,0,0,0,0.0000,49.7864,33.4473,1.90,20.57,175.55,-0.0582
0.331,0.3004,0.2899,0.3110,0,0,0,0.0000,50.0018,33.2927,1.88,20.41,175.64,-0.0582
0.367,0.3016,0.2936,0.3095,0,0,0,0.0000,50.0219,33.3757,1.84,20.28,175.66,-0.0583
0.397,0.3031,0.2937,0.3125,0,0,0,0.0000,50.3137,33.5680,1.72,20.29,175.69,-0.0582
0.427,0.3003,0.2924,0.3082,0,0,0,0.0000,50.4217,33.7360,1.77,20.25,175.51,-0.0582
0.459,0.3046,0.2959,0.3134,0,0,0,0.0000,49.8875,33.7281,1.48,20.57,175.57,-0.0583
0.490,0.2936,0.2900,0.2973,0,0,0,0.0000,49.8317,33.2248,1.43,20.31,175.36,-0.0584
0.521,0.1863,0.2267,0.1459,1,1,0,0.0000,43.4534,36.7937,1.81,19.63,175.20,-0.0576
0.552,0.0477,0.0604,0.0350,1,2,0,0.0000,42.0737,33.9327,7.97,31.42,-1.78,-0.0572
0.582,0.0972,0.1421,0.0523,1,3,0,0.0000,43.0117,34.9026,8.84,32.11,-1.24,-0.0570
0.613,0.2172,0.2026,0.2318,1,4,0,0.0000,43.5527,37.5287,1.01,20.26,175.97,-0.0575
0.646,0.2619,0.2312,0.2927,0,0,1,0.0000,45.6456,36.8195,1.85,20.39,176.02,-0.0582
0.676,0.2901,0.2670,0.3132,0,0,1,0.0000,46.4649,37.8159,1.92,20.65,175.79,-0.0582
0.707,0.3116,0.2981,0.3251,0,0,1,0.0000,47.7218,37.6807,2.19,20.55,175.76,-0.0581
0.737,0.3229,0.3109,0.3348,0,0,1,0.0000,48.1553,38.2699,2.62,20.17,176.05,-0.0585
0.768,0.3220,0.3122,0.3318,0,0,1,0.0000,48.4695,38.6267,2.92,20.59,175.96,-0.0583
0.801,0.3282,0.3102,0.3463,0,0,1,0.0000,48.6104,38.2613,2.68,20.41,176.00,-0.0584
0.833,0.3296,0.3145,0.3448,0,0,1,0.0000,48.4210,39.3857,3.03,20.44,176.18,-0.0584
0.863,0.3319,0.3193,0.3445,0,0,1,0.0000,48.5838,39.4726,2.86,20.46,176.04,-0.0582
0.893,0.3358,0.3171,0.3546,0,0,1,0.0000,48.1706,39.1031,3.04,20.58,175.90,-0.0580
0.923,0.3341,0.3209,0.3474,0,0,1,0.0000,48.5285,39.9182,3.16,20.56,176.07,-0.0581
0.953,0.3429,0.3267,0.3591,0,0,1,0.0000,48.5658,39.6472,3.08,20.61,175.89,-0.0581
0.986,0.3448,0.3269,0.3626,0,0,1,0.0000,49.1253,39.9672,3.15,20.86,175.77,-0.0578
1.016,0.3454,0.3282,0.3627,0,0,1,0.9838,48.6980,38.8589,2.91,20.83,176.12,-0.0581
1.049,0.3385,0.3279,0.3491,0,0,1,0.9536,49.3392,39.6967,2.90,20.91,175.95,-0.0580
1.082,0.3478,0.3306,0.3651,0,0,1,0.9246,48.6027,39.0854,2.99,20.54,176.09,-0.0580
1.122,0.3472,0.3369,0.3576,0,0,1,0.8914,48.8273,40.1335,2.71,20.96,175.98,-0.0579
1.157,0.3447,0.3318,0.3577,0,0,1,0.8641,48.6167,39.3673,2.86,20.60,176.12,-0.0584
1.189,0.3468,0.3314,0.3623,0,0,1,0.8409,48.9988,39.9932,2.78,20.95,175.98,-0.0580
1.225,0.3507,0.3331,0.3683,0,0,1,0.8166,48.0822,39.1589,2.84,20.56,176.08,-0.0580
1.254,0.3482,0.3336,0.3629,0,0,1,0.7976,48.4301,39.9955,2.64,21.15,175.92,-0.0577
1.285,0.3494,0.3319,0.3670,0,0,1,0.7783,48.2575,39.3184,2.81,20.96,176.16,-0.0582
1.314,0.3496,0.3301,0.3691,0,0,1,0.7610,47.5993,39.4054,2.64,20.89,176.21,-0.0578
1.342,0.3507,0.3295,0.3719,0,0,1,0.7449,47.6333,39.7978,2.90,20.88,176.15,-0.0577
1.373,0.3495,0.3275,0.3715,0,0,1,0.7282,47.6978,39.8688,2.97,20.72,176.12,-0.0577
1.403,0.3490,0.3284,0.3696,0,0,1,0.7126,47.9451,39.8913,3.17,20.78,176.03,-0.0578
1.441,0.3458,0.3269,0.3646,0,0,1,0.6940,47.8885,39.9980,2.96,20.88,176.03,-0.0576
1.464,0.3477,0.3285,0.3669,0,0,1,0.6833,48.2488,39.8947,2.88,20.94,175.99,-0.0577
1.496,0.3500,0.3313,0.3687,0,0,1,0.6683,48.4708,40.0606,2.94,21.13,175.85,-0.0576
1.528,0.3507,0.3325,0.3689,0,0,1,0.6546,48.4234,39.4961,2.84,20.86,175.95,-0.0580
1.560,0.3479,0.3316,0.3643,0,0,1,0.6411,49.0946,39.1992,2.85,20.92,175.95,-0.0582
1.591,0.3513,0.3371,0.3655,0,0,1,0.6286,48.0695,38.9447,2.89,21.07,175.99,-0.0579
1.623,0.3521,0.3381,0.3662,0,0,1,0.6162,48.2864,39.3332,3.01,21.04,175.94,-0.0577
1.653,0.3500,0.3360,0.3641,0,0,1,0.6050,48.2591,39.6825,3.03,21.14,175.92,-0.0576
1.682,0.3505,0.3358,0.3652,0,0,1,0.5944,48.1030,39.1964,3.18,20.83,175.99,-0.0576
1.714,0.3493,0.3367,0.3619,0,0,1,0.5835,48.4211,39.5011,2.98,21.13,175.93,-0.0579
1.744,0.3505,0.3378,0.3633,0,0,1,0.5733,48.2847,39.6243,2.88,20.94,175.88,-0.0576
