timestamp_sec,avg_ear,left_ear,right_ear,is_blinking_frame,closed_frame_counter,blink_count_total,blink_rate_bps,left_pupil_diameter,right_pupil_diameter,head_pitch,head_yaw,head_roll,nose_z
0.059,0.3478,0.2742,0.4214,0,0,0,0.0000,45.7827,42.6568,-1.70,49.13,165.96,-0.0638
0.133,0.3493,0.2868,0.4118,0,0,0,0.0000,46.6195,39.9848,-2.17,48.85,165.53,-0.0636
0.166,0.3384,0.2820,0.3948,0,0,0,0.0000,46.7407,42.3696,-2.25,48.44,164.85,-0.0637
0.187,0.3309,0.2679,0.3939,0,0,0,0.0000,46.9119,41.0963,-2.83,49.07,164.93,-0.0631
0.214,0.3228,0.2584,0.3872,0,0,0,0.0000,46.8505,41.6697,-2.86,48.72,165.15,-0.0634
0.237,0.3060,0.2322,0.3798,0,0,0,0.0000,44.5084,42.6740,-3.40,49.20,164.49,-0.0625
0.262,0.2474,0.1379,0.3568,0,0,0,0.0000,49.2600,43.3261,-4.66,47.75,164.86,-0.0639
0.285,0.2179,0.1014,0.3343,1,1,0,0.0000,52.3190,42.9541,-5.08,47.42,164.95,-0.0640
0.302,0.2504,0.1339,0.3668,0,0,0,0.0000,50.0741,43.6178,-3.86,47.71,165.04,-0.0639
0.324,0.2993,0.2274,0.3713,0,0,0,0.0000,49.9146,43.1859,-2.02,47.95,165.26,-0.0648
0.344,0.3231,0.2458,0.4004,0,0,0,0.0000,47.6598,43.0494,-1.50,48.49,165.26,-0.0642
0.365,0.3274,0.2559,0.3988,0,0,0,0.0000,46.6845,42.6225,-0.78,48.87,165.21,-0.0641
0.384,0.3266,0.2662,0.3870,0,0,0,0.0000,46.4614,41.9301,0.18,47.65,165.86,-0.0646
0.406,0.3214,0.2770,0.3657,0,0,0,0.0000,46.3577,42.7545,0.61,47.13,165.54,-0.0650
0.426,0.3288,0.2812,0.3763,0,0,0,0.0000,46.7068,42.9369,0.74,46.41,166.01,-0.0648
0.446,0.3285,0.2866,0.3704,0,0,0,0.0000,45.9753,43.5743,-0.33,47.19,165.65,-0.0645
0.465,0.3308,0.2912,0.3704,0,0,0,0.0000,46.6907,42.3873,0.77,46.25,166.14,-0.0646
0.482,0.3481,0.2924,0.4038,0,0,0,0.0000,46.3088,43.8171,0.26,47.09,165.88,-0.0643
0.502,0.3308,0.2943,0.3672,0,0,0,0.0000,46.9350,43.2620,0.66,46.26,166.13,-0.0649
0.525,0.3360,0.2996,0.3724,0,0,0,0.0000,46.4268,43.5954,0.50,47.08,166.10,-0.0643
0.544,0.3350,0.2954,0.3747,0,0,0,0.0000,46.8083,43.5523,1.10,46.53,166.26,-0.0646
0.562,0.3331,0.2983,0.3679,0,0,0,0.0000,46.8524,44.0691,1.40,46.53,166.30,-0.0648
0.582,0.3301,0.2940,0.3661,0,0,0,0.0000,46.6623,43.7611,1.67,46.19,166.42,-0.0647
0.610,0.3354,0.2988,0.3719,0,0,0,0.0000,46.8074,44.0880,1.30,46.62,166.27,-0.0646
0.632,0.3220,0.2904,0.3536,0,0,0,0.0000,45.6695,43.4521,1.59,46.46,166.43,-0.0649
0.658,0.2900,0.2429,0.3370,0,0,0,0.0000,45.2007,40.8367,1.63,45.99,166.30,-0.0654
0.693,0.2891,0.2414,0.3369,0,0,0,0.0000,49.1949,40.5160,1.41,45.44,166.15,-0.0654
0.716,0.2962,0.2391,0.3534,0,0,0,0.0000,48.3953,40.0619,2.11,45.62,166.21,-0.0653
0.734,0.2944,0.2489,0.3399,0,0,0,0.0000,48.4819,39.4102,1.49,45.80,166.02,-0.0651
0.754,0.3048,0.2515,0.3581,0,0,0,0.0000,47.5621,40.9255,1.62,45.68,166.08,-0.0653
0.773,0.2955,0.2456,0.3455,0,0,0,0.0000,48.0122,39.5280,2.27,45.51,166.28,-0.0652
0.808,0.2951,0.2415,0.3486,0,0,0,0.0000,47.1008,40.5924,2.65,44.97,166.58,-0.0655
0.844,0.3095,0.2437,0.3753,0,0,0,0.0000,46.9074,43.1400,1.07,44.89,165.66,-0.0649
0.875,0.3048,0.2487,0.3609,0,0,0,0.0000,48.1292,41.4713,1.15,45.39,165.78,-0.0650
0.894,0.3122,0.2501,0.3742,0,0,0,0.0000,49.1412,42.1815,1.96,44.65,166.07,-0.0656
0.916,0.3068,0.2527,0.3609,0,0,0,0.0000,47.3608,40.9974,1.66,45.08,166.02,-0.0652
