timestamp_sec,avg_ear,left_ear,right_ear,is_blinking_frame,closed_frame_counter,blink_count_total,blink_rate_bps,left_pupil_diameter,right_pupil_diameter,head_pitch,head_yaw,head_roll,nose_z
0.062,0.3934,0.3286,0.4583,0,0,0,0.0000,37.8563,31.8641,6.33,42.79,-4.97,-0.0499
0.124,0.3908,0.3401,0.4416,0,0,0,0.0000,39.1742,33.0230,-1.50,29.72,171.41,-0.0487
0.152,0.3802,0.3279,0.4324,0,0,0,0.0000,38.4839,29.8230,-1.96,29.14,171.16,-0.0500
0.172,0.3807,0.3314,0.4300,0,0,0,0.0000,37.4800,30.5902,-2.07,29.24,171.08,-0.0499
0.191,0.3766,0.3336,0.4196,0,0,0,0.0000,37.2420,29.8725,-2.20,29.49,171.10,-0.0499
0.210,0.3735,0.3367,0.4104,0,0,0,0.0000,36.9669,30.1896,-2.32,29.32,171.10,-0.0500
0.233,0.3693,0.3272,0.4114,0,0,0,0.0000,38.5612,30.6063,-2.20,29.33,171.11,-0.0500
0.260,0.3707,0.3155,0.4260,0,0,0,0.0000,41.3797,34.4490,-2.04,29.51,171.35,-0.0503
0.280,0.3737,0.3237,0.4237,0,0,0,0.0000,42.7342,35.2234,-2.11,29.48,171.33,-0.0505
0.300,0.3860,0.3316,0.4404,0,0,0,0.0000,43.2195,34.6109,-2.28,29.74,171.32,-0.0501
0.321,0.3911,0.3313,0.4510,0,0,0,0.0000,42.8376,34.9446,-2.12,29.67,171.39,-0.0502
0.340,0.3838,0.3313,0.4363,0,0,0,0.0000,43.3782,34.7866,-2.14,29.20,171.29,-0.0502
0.360,0.3921,0.3314,0.4529,0,0,0,0.0000,43.0745,34.6492,-2.22,29.59,171.32,-0.0502
0.380,0.3907,0.3336,0.4478,0,0,0,0.0000,42.7801,35.1420,-2.32,29.25,171.21,-0.0502
0.403,0.4113,0.3379,0.4846,0,0,0,0.0000,43.4607,36.2201,-2.79,29.27,171.13,-0.0503
0.421,0.4108,0.3386,0.4830,0,0,0,0.0000,43.2543,35.9502,-2.99,29.39,170.96,-0.0505
