timestamp_sec,avg_ear,left_ear,right_ear,is_blinking_frame,closed_frame_counter,blink_count_total,blink_rate_bps,left_pupil_diameter,right_pupil_diameter,head_pitch,head_yaw,head_roll,nose_z
0.056,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000
0.077,0.3787,0.3463,0.4110,0,0,0,0.0000,51.1796,42.3630,2.65,17.65,173.85,-0.0601
0.095,0.3954,0.3491,0.4417,0,0,0,0.0000,49.7763,43.0635,4.01,15.87,173.52,-0.0597
0.120,0.3897,0.3414,0.4380,0,0,0,0.0000,49.6012,43.1890,3.58,16.37,172.82,-0.0595
0.135,0.3890,0.3445,0.4335,0,0,0,0.0000,49.1182,42.1959,3.64,16.16,172.80,-0.0595
0.160,0.3878,0.3434,0.4321,0,0,0,0.0000,49.8878,41.9336,3.99,16.29,172.65,-0.0593
0.174,0.3891,0.3488,0.4293,0,0,0,0.0000,49.1572,42.0477,4.53,16.48,172.54,-0.0592
0.194,0.3933,0.3528,0.4339,0,0,0,0.0000,48.7789,42.1204,5.23,16.41,172.55,-0.0594
0.222,0.3868,0.3509,0.4226,0,0,0,0.0000,48.6147,38.4399,5.21,16.69,172.30,-0.0594
0.244,0.3886,0.3592,0.4181,0,0,0,0.0000,49.0155,37.6134,5.04,17.39,171.91,-0.0594
0.264,0.3957,0.3664,0.4251,0,0,0,0.0000,48.6745,37.7359,5.33,17.67,171.74,-0.0594
0.270,0.4017,0.3754,0.4281,0,0,0,0.0000,48.4376,36.8822,5.12,18.24,171.28,-0.0592
0.302,0.3916,0.3631,0.4201,0,0,0,0.0000,48.3506,37.0493,5.05,18.98,171.28,-0.0590
0.318,0.4055,0.3885,0.4225,0,0,0,0.0000,48.8898,36.9523,5.71,19.00,170.98,-0.0591
0.336,0.4045,0.3798,0.4292,0,0,0,0.0000,48.3286,36.3219,5.72,19.04,170.89,-0.0589
0.355,0.3976,0.3706,0.4247,0,0,0,0.0000,47.6320,36.4067,5.64,19.16,170.67,-0.0587
0.384,0.3877,0.3609,0.4146,0,0,0,0.0000,46.5921,36.4804,5.65,19.31,170.75,-0.0586
