timestamp_sec,avg_ear,left_ear,right_ear,is_blinking_frame,closed_frame_counter,blink_count_total,blink_rate_bps,left_pupil_diameter,right_pupil_diameter,head_pitch,head_yaw,head_roll,nose_z
0.057,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000
0.080,0.1743,0.1518,0.1968,1,1,0,0.0000,43.2554,37.2523,5.87,22.80,176.85,-0.0599
0.098,0.1655,0.1383,0.1926,1,2,0,0.0000,43.0528,36.8272,6.56,22.82,176.77,-0.0597
0.117,0.1554,0.1356,0.1752,1,3,0,0.0000,44.8524,37.8677,7.31,22.03,176.82,-0.0604
0.133,0.1671,0.1382,0.1960,1,4,0,0.0000,45.7839,37.2205,8.97,21.32,177.28,-0.0607
0.151,0.1517,0.1241,0.1794,1,5,0,0.0000,46.0021,37.6334,9.20,21.38,177.09,-0.0608
0.168,0.1541,0.1380,0.1703,1,6,0,0.0000,46.6416,37.7484,10.70,20.60,177.08,-0.0611
0.188,0.1531,0.1226,0.1836,1,7,0,0.0000,45.2286,39.1007,11.02,19.05,176.89,-0.0615
0.207,0.1313,0.1130,0.1496,1,8,0,0.0000,43.9393,41.0500,11.96,17.68,177.23,-0.0622
0.226,0.1385,0.1105,0.1664,1,9,0,0.0000,45.6797,40.2826,13.26,16.01,177.50,-0.0621
0.245,0.1482,0.1175,0.1790,1,10,0,0.0000,43.6588,39.3691,13.26,15.05,177.85,-0.0621
0.262,0.0845,0.0894,0.0795,1,11,0,0.0000,44.0953,37.8777,14.74,13.45,178.37,-0.0615
0.280,0.0457,0.0444,0.0470,1,12,0,0.0000,35.9136,35.4596,14.71,11.83,179.33,-0.0608
0.299,0.0478,0.0420,0.0537,1,13,0,0.0000,38.9135,37.4966,12.75,11.62,179.93,-0.0608
0.316,0.0998,0.0900,0.1095,1,14,0,0.0000,45.6744,37.7012,10.92,13.98,-179.54,-0.0616
0.333,0.1657,0.1664,0.1651,1,15,0,0.0000,45.7402,37.1182,9.27,15.58,-179.09,-0.0618
0.351,0.2190,0.2093,0.2287,1,16,0,0.0000,47.8409,35.7293,8.51,16.91,-178.55,-0.0618
0.368,0.2603,0.2437,0.2770,0,0,1,0.0000,51.1385,37.1067,7.53,17.72,-178.80,-0.0621
0.387,0.2794,0.2595,0.2993,0,0,1,0.0000,52.1381,37.8640,6.40,18.26,-178.56,-0.0614
0.405,0.2875,0.2704,0.3046,0,0,1,0.0000,52.3989,38.1624,5.44,18.34,-178.61,-0.0610
0.422,0.2859,0.2678,0.3039,0,0,1,0.0000,52.2614,37.7399,4.86,18.56,-178.73,-0.0610
0.439,0.2972,0.2737,0.3207,0,0,1,0.0000,52.1146,37.2552,4.00,18.96,-178.94,-0.0613
0.456,0.2862,0.2719,0.3004,0,0,1,0.0000,51.1604,38.0339,3.87,18.96,-179.05,-0.0614
0.474,0.2908,0.2746,0.3070,0,0,1,0.0000,51.7443,36.7370,2.96,19.19,-179.10,-0.0611
0.491,0.2858,0.2704,0.3012,0,0,1,0.0000,50.8914,36.8549,3.16,18.92,-178.98,-0.0610
0.508,0.2774,0.2684,0.2863,0,0,1,0.0000,51.1833,38.2316,3.91,17.51,-178.71,-0.0610
0.527,0.2544,0.2458,0.2629,0,0,1,0.0000,49.1337,39.1897,3.46,17.22,-178.76,-0.0608
0.545,0.2457,0.2326,0.2588,0,0,1,0.0000,47.6594,39.7676,3.55,17.64,-178.67,-0.0612
0.564,0.2422,0.2281,0.2563,0,0,1,0.0000,46.9541,39.7629,3.24,17.93,-178.67,-0.0615
0.581,0.2247,0.2091,0.2403,0,0,1,0.0000,47.1399,38.6760,9.65,32.83,3.86,-0.0614
0.602,0.1818,0.1901,0.1735,1,1,1,0.0000,45.9429,37.7296,8.99,32.34,3.53,-0.0613
0.619,0.2006,0.1876,0.2136,1,2,1,0.0000,46.0344,38.6813,8.04,32.05,2.96,-0.0610
0.637,0.1984,0.1856,0.2113,1,3,1,0.0000,46.0762,38.2593,8.53,32.41,3.14,-0.0606
0.654,0.1927,0.1848,0.2005,1,4,1,0.0000,45.5866,38.4150,8.67,32.86,2.94,-0.0608
0.671,0.1997,0.1903,0.2090,1,5,1,0.0000,46.1549,38.6739,8.34,32.46,2.71,-0.0601
0.689,0.1928,0.1845,0.2012,1,6,1,0.0000,45.3409,38.6506,8.73,32.67,2.57,-0.0606
0.708,0.1908,0.1853,0.1963,1,7,1,0.0000,46.7888,38.2914,8.44,32.09,2.45,-0.0606
0.725,0.0808,0.1026,0.0589,1,8,1,0.0000,42.4171,35.6718,8.68,31.51,2.39,-0.0603
0.742,0.0510,0.0455,0.0566,1,9,1,0.0000,30.2923,34.9473,8.07,31.19,2.39,-0.0601
