timestamp_sec,avg_ear,left_ear,right_ear,is_blinking_frame,closed_frame_counter,blink_count_total,blink_rate_bps,left_pupil_diameter,right_pupil_diameter,head_pitch,head_yaw,head_roll,nose_z
0.063,0.3142,0.2735,0.3548,0,0,0,0.0000,39.7526,30.1990,3.29,13.18,-178.63,-0.0524
0.082,0.3576,0.3415,0.3738,0,0,0,0.0000,41.6471,35.6816,15.46,13.31,-178.53,-0.0613
0.100,0.3502,0.3346,0.3658,0,0,0,0.0000,40.1549,35.2151,15.65,17.32,-178.53,-0.0613
0.118,0.3324,0.3224,0.3424,0,0,0,0.0000,40.3311,35.0831,17.90,18.73,-178.15,-0.0607
0.137,0.3528,0.2926,0.4129,0,0,0,0.0000,44.5352,37.2039,19.52,18.24,-178.05,-0.0599
0.153,0.3583,0.3186,0.3980,0,0,0,0.0000,44.5984,37.8999,20.70,18.98,-178.23,-0.0589
0.169,0.3749,0.3158,0.4340,0,0,0,0.0000,44.9677,39.5136,20.09,20.70,-179.08,-0.0574
0.186,0.3647,0.3129,0.4165,0,0,0,0.0000,47.6295,39.5637,19.94,20.79,-179.45,-0.0574
0.205,0.3715,0.3202,0.4229,0,0,0,0.0000,44.5600,39.6225,17.93,22.71,-179.86,-0.0572
0.222,0.3705,0.3175,0.4236,0,0,0,0.0000,43.2217,38.7885,18.18,24.20,-179.94,-0.0571
0.241,0.3782,0.3267,0.4297,0,0,0,0.0000,42.8138,38.8043,16.56,25.50,179.66,-0.0553
0.259,0.3812,0.3268,0.4356,0,0,0,0.0000,43.0875,38.0657,15.42,26.86,179.54,-0.0556
0.276,0.3824,0.3325,0.4322,0,0,0,0.0000,44.4421,38.6075,15.17,27.16,179.63,-0.0549
0.292,0.3843,0.3264,0.4422,0,0,0,0.0000,44.8991,39.4106,14.51,27.00,179.49,-0.0552
0.309,0.3859,0.3260,0.4457,0,0,0,0.0000,45.0816,38.7378,15.95,26.16,179.38,-0.0555
0.327,0.3813,0.3210,0.4415,0,0,0,0.0000,44.7038,38.6907,15.67,26.50,179.00,-0.0557
0.343,0.3829,0.3176,0.4483,0,0,0,0.0000,43.6915,38.8934,15.43,26.66,178.41,-0.0554
0.361,0.3902,0.3199,0.4605,0,0,0,0.0000,44.7534,38.5704,16.71,26.11,178.41,-0.0553
0.378,0.3688,0.3112,0.4264,0,0,0,0.0000,45.2451,38.6729,15.46,25.85,178.19,-0.0553
0.397,0.3720,0.3151,0.4289,0,0,0,0.0000,46.1526,40.7124,15.55,24.93,178.05,-0.0557
0.417,0.3786,0.3154,0.4419,0,0,0,0.0000,46.1435,38.5355,13.80,25.34,177.54,-0.0562
0.436,0.3771,0.3170,0.4371,0,0,0,0.0000,45.6136,37.7585,12.90,25.92,177.32,-0.0563
0.453,0.3588,0.3054,0.4122,0,0,0,0.0000,45.6511,38.2965,12.16,26.14,176.49,-0.0567
0.471,0.3365,0.2845,0.3885,0,0,0,0.0000,42.4268,38.2741,11.83,26.79,175.93,-0.0577
0.489,0.3113,0.2532,0.3693,0,0,0,0.0000,40.1568,39.5745,12.09,26.04,175.42,-0.0578
0.506,0.3112,0.2754,0.3469,0,0,0,0.0000,37.5118,37.6720,13.24,25.72,175.11,-0.0581
0.523,0.3104,0.2805,0.3403,0,0,0,0.0000,38.4573,34.8021,14.51,25.45,175.11,-0.0572
0.543,0.3015,0.2743,0.3287,0,0,0,0.0000,39.1545,31.2558,15.73,25.42,175.51,-0.0572
0.562,0.3053,0.2827,0.3279,0,0,0,0.0000,38.0203,32.2202,15.66,25.27,175.54,-0.0568
0.583,0.3127,0.2827,0.3426,0,0,0,0.0000,38.0906,30.9998,15.00,25.35,175.27,-0.0564
0.603,0.3120,0.2852,0.3387,0,0,0,0.0000,38.0464,31.0701,15.47,25.31,175.40,-0.0564
0.621,0.3140,0.2807,0.3473,0,0,0,0.0000,38.5606,31.8234,15.25,25.66,175.42,-0.0562
0.639,0.3129,0.2764,0.3494,0,0,0,0.0000,38.7303,29.4322,15.80,25.83,175.67,-0.0557
0.658,0.3057,0.2801,0.3314,0,0,0,0.0000,39.4133,31.5426,16.40,25.52,175.74,-0.0559
0.676,0.3104,0.2874,0.3334,0,0,0,0.0000,38.8032,31.6637,16.69,25.32,175.87,-0.0562
0.694,0.3038,0.2771,0.3304,0,0,0,0.0000,37.7216,32.0010,16.23,25.58,175.49,-0.0559
0.713,0.3108,0.2798,0.3417,0,0,0,0.0000,37.1154,32.0765,15.81,26.08,175.35,-0.0557
0.730,0.3065,0.2814,0.3315,0,0,0,0.0000,36.3994,30.9243,14.40,26.06,174.88,-0.0560
0.750,0.3720,0.3132,0.4308,0,0,0,0.0000,41.0322,37.5154,12.77,27.05,174.92,-0.0562
0.768,0.3911,0.3228,0.4594,0,0,0,0.0000,45.1637,37.5988,13.06,26.91,175.21,-0.0567
0.787,0.3741,0.3163,0.4319,0,0,0,0.0000,45.5535,39.1964,13.68,27.42,175.23,-0.0571
0.805,0.3729,0.3255,0.4203,0,0,0,0.0000,43.8063,39.8058,13.59,27.28,175.11,-0.0576
0.823,0.3496,0.3175,0.3816,0,0,0,0.0000,44.0677,42.4652,15.43,26.34,175.18,-0.0590
0.842,0.3730,0.3297,0.4162,0,0,0,0.0000,44.7716,42.9851,14.33,26.77,175.21,-0.0579
0.860,0.3514,0.3073,0.3955,0,0,0,0.0000,44.7181,41.7422,14.18,26.78,175.27,-0.0586
0.878,0.3531,0.3158,0.3903,0,0,0,0.0000,43.4987,40.4997,13.55,26.97,174.97,-0.0580
0.898,0.3422,0.3193,0.3651,0,0,0,0.0000,43.9753,42.6760,14.08,26.76,174.88,-0.0583
0.916,0.3870,0.3297,0.4442,0,0,0,0.0000,44.7255,44.2196,11.83,28.48,174.08,-0.0570
0.934,0.3935,0.3385,0.4484,0,0,0,0.0000,45.1407,46.6730,10.76,29.70,173.53,-0.0558
0.953,0.3946,0.3318,0.4574,0,0,0,0.0000,44.8085,43.0855,7.95,31.08,171.92,-0.0557
0.975,0.3953,0.3444,0.4462,0,0,0,0.0000,45.1119,44.0001,6.16,31.46,170.46,-0.0549
0.992,0.3882,0.3443,0.4321,0,0,0,0.0000,45.3457,45.5056,5.91,32.20,169.72,-0.0542
1.011,0.4084,0.3508,0.4659,0,0,0,0.0000,46.9401,45.4075,5.79,31.97,169.88,-0.0548
1.028,0.3958,0.3498,0.4418,0,0,0,0.0000,46.3937,45.9330,5.51,32.04,169.59,-0.0550
1.047,0.3920,0.3579,0.4261,0,0,0,0.0000,46.2149,46.7028,6.55,32.47,170.01,-0.0541
1.065,0.4009,0.3489,0.4528,0,0,0,0.0000,46.5716,45.8612,6.55,33.12,169.88,-0.0545
1.083,0.4062,0.3566,0.4557,0,0,0,0.0000,45.3840,44.7893,6.60,32.96,169.92,-0.0538
1.102,0.3994,0.3602,0.4386,0,0,0,0.0000,45.5610,42.6109,8.01,32.43,171.15,-0.0542
1.120,0.4003,0.3517,0.4490,0,0,0,0.0000,43.3720,43.1101,8.95,32.67,171.26,-0.0533
1.138,0.3907,0.3446,0.4369,0,0,0,0.0000,40.9944,41.7344,7.92,32.52,170.90,-0.0548
1.157,0.3214,0.2733,0.3696,0,0,0,0.0000,41.5489,41.9948,5.89,32.23,169.60,-0.0548
1.179,0.2286,0.1700,0.2871,0,0,0,0.0000,40.2127,39.0734,2.55,30.97,168.86,-0.0556
1.199,0.3080,0.2531,0.3630,0,0,0,0.0000,40.3079,40.6228,4.76,30.82,169.40,-0.0554
1.220,0.3648,0.3213,0.4084,0,0,0,0.0000,41.7997,40.3465,4.30,32.30,169.90,-0.0550
1.241,0.4044,0.3282,0.4807,0,0,0,0.0000,42.3961,39.2050,4.09,33.54,169.83,-0.0551
1.260,0.4175,0.3430,0.4921,0,0,0,0.0000,43.4695,40.5230,4.30,33.91,169.94,-0.0546
1.281,0.4171,0.3407,0.4936,0,0,0,0.0000,42.1828,39.1408,4.00,33.86,170.20,-0.0545
1.301,0.4140,0.3352,0.4928,0,0,0,0.0000,41.0646,37.9022,4.02,34.24,170.67,-0.0543
1.320,0.4203,0.3276,0.5130,0,0,0,0.0000,40.5570,38.7443,3.46,33.76,170.30,-0.0557
1.339,0.4201,0.3371,0.5030,0,0,0,0.0000,38.7070,40.3866,4.29,33.32,170.37,-0.0558
1.358,0.4122,0.3160,0.5084,0,0,0,0.0000,40.8582,46.0295,5.53,33.05,170.20,-0.0567
1.377,0.4249,0.3223,0.5275,0,0,0,0.0000,40.3792,44.9992,5.49,32.95,170.80,-0.0575
1.397,0.4232,0.3210,0.5254,0,0,0,0.0000,41.4788,45.8088,5.95,32.76,171.05,-0.0579
1.419,0.3934,0.3137,0.4732,0,0,0,0.0000,41.0868,47.9319,6.00,31.00,171.00,-0.0589
1.441,0.3812,0.3150,0.4474,0,0,0,0.0000,41.4208,46.6291,5.57,31.05,171.30,-0.0586
1.462,0.3973,0.3278,0.4667,0,0,0,0.0000,40.7915,41.2510,5.22,31.47,171.23,-0.0576
1.481,0.3999,0.3356,0.4642,0,0,0,0.0000,40.6147,46.0698,6.38,30.92,171.85,-0.0571
1.499,0.4060,0.3321,0.4800,0,0,0,0.0000,42.6045,43.8327,6.10,31.12,171.72,-0.0579
1.518,0.4142,0.3351,0.4933,0,0,0,0.0000,41.5939,42.3417,4.71,31.27,171.28,-0.0574
1.537,0.4241,0.3334,0.5148,0,0,0,0.0000,41.1340,38.5564,4.71,32.60,171.38,-0.0561
1.555,0.4121,0.3365,0.4877,0,0,0,0.0000,41.7693,39.0182,4.40,32.20,171.55,-0.0550
1.574,0.4146,0.3456,0.4837,0,0,0,0.0000,43.7938,38.9845,4.08,32.22,171.69,-0.0549
1.593,0.4124,0.3509,0.4740,0,0,0,0.0000,42.3945,38.7798,4.58,32.18,172.04,-0.0549
1.611,0.4020,0.3388,0.4653,0,0,0,0.0000,42.2534,38.7150,4.99,31.51,172.25,-0.0552
1.629,0.4056,0.3469,0.4644,0,0,0,0.0000,41.9651,39.2694,5.48,31.53,172.57,-0.0550
1.647,0.4058,0.3477,0.4640,0,0,0,0.0000,42.1423,38.2569,5.49,31.68,172.47,-0.0549
1.666,0.4123,0.3548,0.4699,0,0,0,0.0000,42.3778,39.0070,5.93,31.06,172.65,-0.0553
