timestamp_sec,avg_ear,left_ear,right_ear,is_blinking_frame,closed_frame_counter,blink_count_total,blink_rate_bps,left_pupil_diameter,right_pupil_diameter,head_pitch,head_yaw,head_roll,nose_z
0.046,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000
0.067,0.3664,0.2740,0.4587,0,0,0,0.0000,43.1169,36.3037,-10.68,45.70,164.66,-0.0444
0.086,0.3260,0.2996,0.3523,0,0,0,0.0000,44.3992,36.5442,-11.74,44.56,165.46,-0.0466
0.103,0.3337,0.2858,0.3815,0,0,0,0.0000,45.1776,35.7178,-11.61,44.53,165.18,-0.0464
0.124,0.3338,0.2794,0.3881,0,0,0,0.0000,45.6519,36.9748,1.74,40.92,-7.01,-0.0461
0.140,0.3286,0.2769,0.3802,0,0,0,0.0000,45.6043,37.4892,1.45,40.81,-7.06,-0.0463
0.166,0.3268,0.2757,0.3778,0,0,0,0.0000,45.7051,37.6253,1.42,40.78,-6.97,-0.0464
0.181,0.3220,0.2737,0.3702,0,0,0,0.0000,45.7260,38.1818,0.93,40.80,-7.11,-0.0465
0.205,0.3219,0.2708,0.3729,0,0,0,0.0000,45.5601,37.8673,1.52,41.12,-7.10,-0.0462
0.227,0.3228,0.2741,0.3714,0,0,0,0.0000,45.5058,37.4308,1.42,41.12,-7.13,-0.0463
0.249,0.3309,0.2859,0.3760,0,0,0,0.0000,45.3805,36.8108,1.30,41.20,-7.16,-0.0458
0.270,0.3112,0.2703,0.3522,0,0,0,0.0000,44.2201,35.0913,1.79,41.32,-6.85,-0.0457
0.289,0.3183,0.2804,0.3563,0,0,0,0.0000,40.3249,32.7275,1.92,41.73,-7.08,-0.0456
0.305,0.3239,0.2831,0.3647,0,0,0,0.0000,39.6442,32.2762,1.80,42.15,-7.01,-0.0452
0.332,0.3214,0.2806,0.3623,0,0,0,0.0000,36.6981,31.6270,2.25,41.43,-6.95,-0.0456
0.355,0.3250,0.2838,0.3661,0,0,0,0.0000,37.5394,31.6719,1.12,41.94,-7.32,-0.0450
0.375,0.3222,0.2862,0.3582,0,0,0,0.0000,38.7712,31.1058,1.16,41.57,-7.40,-0.0455
0.396,0.3238,0.2783,0.3693,0,0,0,0.0000,39.3981,32.1251,0.63,41.39,-7.57,-0.0453
0.398,0.3212,0.2723,0.3702,0,0,0,0.0000,37.2411,33.3790,0.64,40.94,-7.46,-0.0459
0.430,0.3196,0.2775,0.3617,0,0,0,0.0000,38.1746,31.4396,0.68,41.19,-7.40,-0.0462
0.447,0.3230,0.2766,0.3694,0,0,0,0.0000,38.7691,32.3758,0.43,41.19,-7.63,-0.0456
0.462,0.3206,0.2758,0.3655,0,0,0,0.0000,38.0626,32.8994,1.13,41.37,-7.24,-0.0453
0.478,0.3265,0.2798,0.3733,0,0,0,0.0000,39.6774,32.2445,0.92,41.69,-7.26,-0.0456
0.497,0.3190,0.2704,0.3676,0,0,0,0.0000,40.0747,33.9546,0.99,40.77,-7.59,-0.0462
0.515,0.2457,0.2010,0.2904,0,0,0,0.0000,37.4460,31.8817,-0.99,41.27,-8.84,-0.0445
0.537,0.1471,0.0771,0.2171,1,1,0,0.0000,29.7239,26.7793,-2.18,40.34,-9.35,-0.0443
0.560,0.1453,0.0917,0.1989,1,2,0,0.0000,27.4587,30.2662,-1.02,40.53,-8.39,-0.0458
0.580,0.1868,0.1348,0.2389,1,3,0,0.0000,39.5608,35.8401,-0.80,40.33,-8.11,-0.0461
0.595,0.2431,0.1882,0.2981,0,0,1,0.0000,42.3236,36.7635,-0.29,40.38,-8.50,-0.0461
0.615,0.2713,0.2355,0.3071,0,0,1,0.0000,43.9348,36.8020,0.14,40.73,-8.06,-0.0458
0.638,0.2873,0.2428,0.3319,0,0,1,0.0000,44.2509,37.1875,-0.15,40.35,-7.85,-0.0457
0.659,0.2961,0.2478,0.3444,0,0,1,0.0000,45.6681,37.4216,0.23,40.54,-7.44,-0.0454
0.678,0.2971,0.2420,0.3521,0,0,1,0.0000,44.7750,37.1227,0.48,40.83,-7.20,-0.0454
0.695,0.3028,0.2620,0.3436,0,0,1,0.0000,45.2864,38.2566,-0.04,40.51,-7.74,-0.0451
0.705,0.3063,0.2590,0.3536,0,0,1,0.0000,44.6910,37.0835,0.91,40.73,-7.10,-0.0454
0.725,0.3105,0.2636,0.3575,0,0,1,0.0000,44.8295,37.9473,-0.20,40.38,-7.54,-0.0456
0.747,0.3109,0.2648,0.3570,0,0,1,0.0000,44.7803,37.8569,0.31,40.56,-7.32,-0.0457
0.765,0.3168,0.2744,0.3592,0,0,1,0.0000,44.0886,37.6862,0.74,40.49,-7.11,-0.0457
0.787,0.3204,0.2793,0.3615,0,0,1,0.0000,44.7956,37.5853,0.68,40.57,-7.02,-0.0457
0.805,0.3246,0.2836,0.3656,0,0,1,0.0000,45.2153,38.2248,0.76,40.36,-7.10,-0.0456
0.818,0.3277,0.2868,0.3686,0,0,1,0.0000,44.4610,37.3654,1.18,40.47,-6.93,-0.0455
0.837,0.3312,0.2990,0.3633,0,0,1,0.0000,42.9123,37.7872,1.08,40.56,-6.88,-0.0458
0.857,0.3486,0.3084,0.3889,0,0,1,0.0000,43.8152,36.2633,1.10,40.14,-6.69,-0.0459
0.875,0.3418,0.2951,0.3884,0,0,1,0.0000,45.6078,37.9941,0.32,40.23,-6.62,-0.0463
0.895,0.3463,0.3000,0.3925,0,0,1,0.0000,43.8308,36.3812,-11.40,42.28,166.05,-0.0464
0.917,0.3363,0.3079,0.3646,0,0,1,0.0000,43.7730,37.3115,0.67,40.75,-6.62,-0.0463
0.939,0.3376,0.3071,0.3681,0,0,1,0.0000,43.1766,36.8964,-12.14,42.91,165.64,-0.0455
0.958,0.3459,0.3032,0.3885,0,0,1,0.0000,44.7602,38.0572,-12.38,42.86,165.41,-0.0463
0.975,0.3536,0.3073,0.4000,0,0,1,0.0000,45.3785,38.1982,1.20,39.59,-6.81,-0.0460
0.995,0.3492,0.3036,0.3947,0,0,1,0.0000,44.4581,39.3215,-12.28,42.50,165.47,-0.0463
1.016,0.3470,0.2941,0.3999,0,0,1,0.9842,45.5537,38.8633,-11.73,42.14,165.86,-0.0469
1.034,0.3431,0.2920,0.3942,0,0,1,0.9667,45.6793,38.2639,0.49,40.25,-6.97,-0.0461
1.054,0.3362,0.2904,0.3820,0,0,1,0.9484,45.1262,38.7903,0.23,39.76,-7.52,-0.0463
1.068,0.3319,0.3029,0.3609,0,0,1,0.9367,35.7416,34.9439,0.93,39.65,-7.57,-0.0467
