timestamp_sec,avg_ear,left_ear,right_ear,is_blinking_frame,closed_frame_counter,blink_count_total,blink_rate_bps,left_pupil_diameter,right_pupil_diameter,head_pitch,head_yaw,head_roll,nose_z
0.056,0.3375,0.3235,0.3516,0,0,0,0.0000,44.6631,34.3306,-4.83,23.93,173.82,-0.0524
0.075,0.3366,0.2914,0.3818,0,0,0,0.0000,44.7993,32.3102,-3.05,26.73,171.79,-0.0525
0.093,0.3538,0.3122,0.3954,0,0,0,0.0000,43.8025,27.7292,-3.35,26.86,172.60,-0.0520
0.113,0.3328,0.2953,0.3703,0,0,0,0.0000,44.2096,28.1048,-3.11,26.82,172.86,-0.0523
0.131,0.3223,0.2822,0.3623,0,0,0,0.0000,45.7275,25.5973,-3.63,26.53,172.41,-0.0527
0.148,0.3253,0.3006,0.3500,0,0,0,0.0000,44.5274,30.7293,-3.69,26.41,172.22,-0.0528
0.167,0.3410,0.3143,0.3677,0,0,0,0.0000,44.1039,34.1412,-4.15,27.90,171.73,-0.0526
0.186,0.3593,0.3324,0.3861,0,0,0,0.0000,42.3942,34.3292,-3.98,27.99,172.06,-0.0533
0.205,0.3642,0.3368,0.3917,0,0,0,0.0000,42.3831,34.4054,-3.95,27.77,172.33,-0.0530
0.224,0.3541,0.3314,0.3768,0,0,0,0.0000,43.2584,35.2608,-3.77,27.24,172.68,-0.0528
0.244,0.3523,0.3228,0.3818,0,0,0,0.0000,43.7978,36.8069,-3.38,26.88,172.85,-0.0527
0.261,0.3526,0.3313,0.3739,0,0,0,0.0000,43.8095,36.5414,-2.60,26.91,173.31,-0.0527
0.280,0.3463,0.3238,0.3688,0,0,0,0.0000,42.8722,37.3615,-2.14,26.98,173.37,-0.0529
0.296,0.3483,0.3123,0.3842,0,0,0,0.0000,42.4670,37.2274,-2.45,27.85,173.35,-0.0527
0.314,0.3496,0.3223,0.3768,0,0,0,0.0000,43.2484,37.6535,-2.03,27.75,173.76,-0.0531
0.332,0.3394,0.3061,0.3726,0,0,0,0.0000,45.5274,38.0242,-2.51,27.61,173.74,-0.0535
0.350,0.3539,0.2978,0.4099,0,0,0,0.0000,45.9588,39.1529,-2.54,28.08,173.36,-0.0533
0.366,0.3710,0.3216,0.4205,0,0,0,0.0000,44.6669,40.1133,-3.16,28.85,172.72,-0.0524
0.383,0.3765,0.3264,0.4265,0,0,0,0.0000,44.4336,38.9671,-3.09,29.13,172.84,-0.0521
0.402,0.3812,0.3288,0.4336,0,0,0,0.0000,44.0589,37.7364,-2.85,29.62,172.76,-0.0518
0.420,0.3854,0.3298,0.4410,0,0,0,0.0000,43.8070,38.2046,-2.96,29.71,172.50,-0.0515
0.437,0.3854,0.3279,0.4430,0,0,0,0.0000,44.4163,37.6430,-3.12,29.92,172.15,-0.0518
0.455,0.1940,0.1191,0.2688,1,1,0,0.0000,41.1421,35.7524,-3.66,28.47,172.41,-0.0521
