timestamp_sec,avg_ear,left_ear,right_ear,is_blinking_frame,closed_frame_counter,blink_count_total,blink_rate_bps,left_pupil_diameter,right_pupil_diameter,head_pitch,head_yaw,head_roll,nose_z
0.062,0.2514,0.2711,0.2317,0,0,0,0.0000,12.4725,12.0741,20.46,14.04,-176.66,-0.0493
0.140,0.2423,0.2599,0.2246,0,0,0,0.0000,12.5605,12.4808,20.63,13.29,-176.60,-0.0497
0.161,0.2399,0.2577,0.2220,0,0,0,0.0000,12.5728,12.3473,20.61,13.12,-176.56,-0.0496
0.177,0.2399,0.2590,0.2207,0,0,0,0.0000,12.5748,12.3962,20.49,13.18,-176.55,-0.0496
0.193,0.2456,0.2658,0.2253,0,0,0,0.0000,12.5091,12.3223,21.12,12.99,-176.54,-0.0497
0.209,0.2744,0.2881,0.2608,0,0,0,0.0000,12.6458,12.4467,19.63,14.56,-176.35,-0.0494
0.223,0.2563,0.2768,0.2357,0,0,0,0.0000,12.5624,12.7406,19.93,14.42,-176.41,-0.0496
0.239,0.2590,0.2812,0.2367,0,0,0,0.0000,12.5833,12.6965,19.84,14.09,-176.48,-0.0498
0.262,0.2604,0.2815,0.2393,0,0,0,0.0000,12.7084,12.4936,19.67,14.46,-176.40,-0.0499
0.275,0.2592,0.2813,0.2370,0,0,0,0.0000,12.6774,12.5725,19.45,14.49,-176.41,-0.0499
0.293,0.2624,0.2839,0.2410,0,0,0,0.0000,12.7444,12.4158,19.14,14.60,-176.41,-0.0499
0.308,0.2588,0.2802,0.2373,0,0,0,0.0000,12.6051,12.4355,18.85,14.72,-176.53,-0.0498
0.324,0.2578,0.2782,0.2374,0,0,0,0.0000,12.5837,12.3578,18.77,15.01,-176.53,-0.0497
0.339,0.2658,0.2696,0.2619,0,0,0,0.0000,12.4137,11.7669,20.07,13.78,-176.87,-0.0496
0.354,0.2710,0.2679,0.2741,0,0,0,0.0000,12.3210,11.8477,19.91,14.43,-176.55,-0.0497
0.370,0.2650,0.2639,0.2660,0,0,0,0.0000,12.5949,11.9845,19.89,14.35,-176.56,-0.0498
0.386,0.2693,0.2674,0.2712,0,0,0,0.0000,12.5067,11.9845,20.46,14.20,-176.63,-0.0496
0.402,0.2742,0.2759,0.2725,0,0,0,0.0000,12.3229,11.8205,19.83,14.34,-176.76,-0.0495
0.417,0.2812,0.2822,0.2801,0,0,0,0.0000,12.2596,11.6454,19.53,14.54,-176.88,-0.0495
0.431,0.2810,0.2752,0.2868,0,0,0,0.0000,12.4369,11.5948,18.82,15.13,-176.80,-0.0493
0.448,0.2817,0.2766,0.2868,0,0,0,0.0000,12.5472,11.6798,18.86,14.99,-176.82,-0.0494
0.464,0.2763,0.2727,0.2799,0,0,0,0.0000,12.3617,11.7996,18.75,14.86,-176.88,-0.0494
0.478,0.2741,0.2706,0.2776,0,0,0,0.0000,12.3012,11.8054,18.59,15.10,-176.86,-0.0494
0.495,0.2775,0.2700,0.2850,0,0,0,0.0000,12.1810,11.7553,18.24,15.36,-176.90,-0.0497
0.510,0.2752,0.2705,0.2798,0,0,0,0.0000,12.0549,11.6701,18.03,15.47,-176.80,-0.0495
0.526,0.2849,0.2752,0.2945,0,0,0,0.0000,11.9735,11.5771,17.72,15.83,-176.84,-0.0497
0.541,0.2929,0.2744,0.3115,0,0,0,0.0000,11.9428,11.7046,17.41,16.12,-176.83,-0.0497
0.557,0.2916,0.2741,0.3090,0,0,0,0.0000,12.0263,11.7558,17.48,16.51,-176.73,-0.0499
0.572,0.2912,0.2747,0.3077,0,0,0,0.0000,11.9850,11.8401,17.59,16.58,-176.72,-0.0498
0.589,0.2914,0.2766,0.3063,0,0,0,0.0000,11.9149,11.7837,17.33,16.79,-176.81,-0.0498
0.606,0.2844,0.2769,0.2920,0,0,0,0.0000,11.8553,11.7009,16.56,16.97,-177.03,-0.0497
0.619,0.2775,0.2706,0.2845,0,0,0,0.0000,12.1266,11.8950,16.25,17.16,-176.84,-0.0499
0.636,0.2736,0.2735,0.2737,0,0,0,0.0000,12.2308,11.7834,16.35,16.79,-176.84,-0.0498
0.650,0.2760,0.2689,0.2830,0,0,0,0.0000,12.5120,11.9280,15.96,17.03,-176.76,-0.0500
0.667,0.2787,0.2704,0.2869,0,0,0,0.0000,12.5403,11.9402,15.48,17.73,-176.77,-0.0499
0.680,0.2808,0.2678,0.2938,0,0,0,0.0000,12.5501,12.0312,16.41,17.11,-176.55,-0.0499
0.697,0.2804,0.2762,0.2846,0,0,0,0.0000,12.6770,12.1297,16.78,16.39,-176.70,-0.0495
0.713,0.2781,0.2792,0.2770,0,0,0,0.0000,12.5306,12.1882,16.57,16.39,-176.72,-0.0494
0.728,0.2826,0.2779,0.2874,0,0,0,0.0000,12.4221,12.0117,16.58,17.69,-176.55,-0.0496
0.742,0.3020,0.2986,0.3054,0,0,0,0.0000,12.4757,11.6006,16.14,18.96,-176.50,-0.0495
0.759,0.3060,0.2962,0.3158,0,0,0,0.0000,12.7989,11.5626,15.67,18.86,-176.63,-0.0494
0.774,0.3094,0.3005,0.3183,0,0,0,0.0000,12.5443,11.8048,15.46,18.83,-176.64,-0.0493
