timestamp_sec,avg_ear,left_ear,right_ear,is_blinking_frame,closed_frame_counter,blink_count_total,blink_rate_bps,left_pupil_diameter,right_pupil_diameter,head_pitch,head_yaw,head_roll,nose_z
0.11,0,0,0,0,0,0,0,0,0,0,0,0,0
0.201,0,0,0,0,0,0,0,0,0,0,0,0,0
0.23,0,0,0,0,0,0,0,0,0,0,0,0,0
0.246,0,0,0,0,0,0,0,0,0,0,0,0,0
0.261,0,0,0,0,0,0,0,0,0,0,0,0,0
0.276,0,0,0,0,0,0,0,0,0,0,0,0,0
0.292,0,0,0,0,0,0,0,0,0,0,0,0,0
0.307,0,0,0,0,0,0,0,0,0,0,0,0,0
0.323,0,0,0,0,0,0,0,0,0,0,0,0,0
0.338,0,0,0,0,0,0,0,0,0,0,0,0,0
0.353,0,0,0,0,0,0,0,0,0,0,0,0,0
0.369,0,0,0,0,0,0,0,0,0,0,0,0,0
0.384,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
0.415,0,0,0,0,0,0,0,0,0,0,0,0,0
0.431,0,0,0,0,0,0,0,0,0,0,0,0,0
0.447,0,0,0,0,0,0,0,0,0,0,0,0,0
0.463,0,0,0,0,0,0,0,0,0,0,0,0,0
0.479,0,0,0,0,0,0,0,0,0,0,0,0,0
0.494,0,0,0,0,0,0,0,0,0,0,0,0,0
0.509,0,0,0,0,0,0,0,0,0,0,0,0,0
0.525,0,0,0,0,0,0,0,0,0,0,0,0,0
0.54,0,0,0,0,0,0,0,0,0,0,0,0,0
0.556,0,0,0,0,0,0,0,0,0,0,0,0,0
0.572,0,0,0,0,0,0,0,0,0,0,0,0,0
0.587,0,0,0,0,0,0,0,0,0,0,0,0,0
0.603,0,0,0,0,0,0,0,0,0,0,0,0,0
0.619,0,0,0,0,0,0,0,0,0,0,0,0,0
0.635,0,0,0,0,0,0,0,0,0,0,0,0,0
0.65,0,0,0,0,0,0,0,0,0,0,0,0,0
0.666,0,0,0,0,0,0,0,0,0,0,0,0,0
0.679,0,0,0,0,0,0,0,0,0,0,0,0,0
0.695,0,0,0,0,0,0,0,0,0,0,0,0,0
0.711,0,0,0,0,0,0,0,0,0,0,0,0,0
0.728,0,0,0,0,0,0,0,0,0,0,0,0,0
0.744,0,0,0,0,0,0,0,0,0,0,0,0,0
0.76,0,0,0,0,0,0,0,0,0,0,0,0,0
0.776,0,0,0,0,0,0,0,0,0,0,0,0,0
0.792,0,0,0,0,0,0,0,0,0,0,0,0,0
0.806,0,0,0,0,0,0,0,0,0,0,0,0,0
0.822,0,0,0,0,0,0,0,0,0,0,0,0,0
0.838,0,0,0,0,0,0,0,0,0,0,0,0,0
0.853,0,0,0,0,0,0,0,0,0,0,0,0,0
0.878,0,0,0,0,0,0,0,0,0,0,0,0,0
0.935,0.2111,0.2127,0.2094,1,1,0,0,8.1062,9.2828,-10.2,-5.1,2.05,-0.0385
0.966,0.1972,0.1858,0.2086,1,2,0,0,8.4282,9.0079,6.42,-10.28,-176.86,-0.0384
0.998,0.2018,0.215,0.1886,1,3,0,0,7.8489,9.3905,6.49,-11.47,-179.68,-0.0379
1.028,0.1858,0.1919,0.1796,1,4,0,0,8.6051,9.7026,-17.39,-3.59,2.45,-0.04
1.059,0.213,0.2626,0.1634,1,5,0,0,8.6002,9.6479,0.59,-11.91,178.41,-0.0388
1.091,0.2092,0.2384,0.1801,1,6,0,0,9.1246,10.1348,-1.75,-8.98,-179.59,-0.039
1.12,0.2083,0.2458,0.1708,1,7,0,0,9.1045,9.6807,-0.76,-10.3,179.41,-0.038
1.153,0.2017,0.2369,0.1665,1,8,0,0,9.1188,9.8097,-17.25,-8.22,1.71,-0.0383
1.183,0.1581,0.14,0.1763,1,9,0,0,9.1026,9.755,-18.78,-5.12,3,-0.0383
1.216,0.184,0.1596,0.2084,1,10,0,0,9.0564,8.5277,-12.87,-0.65,3.84,-0.0354
