timestamp_sec,avg_ear,left_ear,right_ear,is_blinking_frame,closed_frame_counter,blink_count_total,blink_rate_bps,left_pupil_diameter,right_pupil_diameter,head_pitch,head_yaw,head_roll,nose_z
0.066,0.3600,0.2792,0.4408,0,0,0,0.0000,24.6344,13.8056,8.23,32.27,-17.51,-0.0265
0.147,0.3486,0.2490,0.4482,0,0,0,0.0000,22.2654,13.6282,-11.57,55.76,149.49,-0.0282
0.173,0.3556,0.2453,0.4659,0,0,0,0.0000,22.5293,12.9078,-10.76,54.87,150.39,-0.0285
0.204,0.3495,0.2519,0.4472,0,0,0,0.0000,22.1517,14.6569,-11.67,54.58,150.16,-0.0283
0.235,0.3729,0.2534,0.4924,0,0,0,0.0000,22.6375,14.8880,-13.69,55.85,149.39,-0.0278
0.265,0.4092,0.2577,0.5606,0,0,0,0.0000,25.0384,15.0151,-15.73,60.47,146.76,-0.0244
0.297,0.3936,0.2150,0.5722,0,0,0,0.0000,25.1463,13.8642,9.78,39.76,-13.01,-0.0229
0.327,0.4529,0.3262,0.5795,0,0,0,0.0000,25.8488,11.2017,7.11,43.88,-14.58,-0.0216
0.359,0.6129,0.3188,0.9070,0,0,0,0.0000,22.0554,6.6990,1.08,47.03,-14.53,-0.0192
0.390,0.4350,0.2303,0.6398,0,0,0,0.0000,23.8948,9.4665,-44.03,69.63,133.24,-0.0183
0.420,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000
0.442,0.3707,0.3009,0.4405,0,0,0,0.0000,44.5342,41.9048,1.73,42.44,169.86,-0.0512
0.470,0.3638,0.2830,0.4447,0,0,0,0.0000,46.7833,42.1357,2.39,41.28,170.94,-0.0521
0.493,0.3756,0.3019,0.4493,0,0,0,0.0000,46.3134,44.3017,2.31,40.63,171.42,-0.0540
0.510,0.3765,0.2957,0.4572,0,0,0,0.0000,47.4044,44.8461,2.27,39.89,171.23,-0.0551
0.533,0.3668,0.2697,0.4639,0,0,0,0.0000,46.1261,42.6223,1.91,40.13,171.34,-0.0555
0.551,0.3715,0.2815,0.4615,0,0,0,0.0000,46.5748,43.2737,2.47,40.01,171.36,-0.0550
0.570,0.3701,0.2836,0.4565,0,0,0,0.0000,47.8554,44.7602,2.63,40.12,171.57,-0.0549
0.592,0.3709,0.3024,0.4395,0,0,0,0.0000,47.3443,44.0948,1.83,40.85,171.18,-0.0541
0.617,0.3637,0.2926,0.4349,0,0,0,0.0000,47.4924,45.0058,2.12,41.03,171.62,-0.0542
0.642,0.3807,0.3097,0.4517,0,0,0,0.0000,47.3198,43.3717,2.45,41.10,171.87,-0.0537
