timestamp_sec,avg_ear,left_ear,right_ear,is_blinking_frame,closed_frame_counter,blink_count_total,blink_rate_bps,left_pupil_diameter,right_pupil_diameter,head_pitch,head_yaw,head_roll,nose_z
0.066,0.3153,0.2882,0.3423,0,0,0,0.0000,38.9368,34.6120,-3.16,38.14,170.05,-0.0512
0.151,0.2978,0.2709,0.3248,0,0,0,0.0000,38.6244,34.4870,-1.31,36.29,171.48,-0.0520
0.176,0.3169,0.3000,0.3337,0,0,0,0.0000,36.1450,36.0366,-0.65,35.67,171.88,-0.0518
0.206,0.3179,0.2935,0.3422,0,0,0,0.0000,36.8230,35.9604,-0.04,35.43,171.70,-0.0524
0.237,0.3105,0.2797,0.3413,0,0,0,0.0000,37.0719,36.0539,-0.50,35.68,171.68,-0.0526
0.270,0.3037,0.2702,0.3371,0,0,0,0.0000,37.5395,36.4091,-0.16,35.69,171.88,-0.0524
0.299,0.3109,0.2826,0.3393,0,0,0,0.0000,38.8977,37.7636,-0.20,35.47,171.92,-0.0521
0.330,0.3092,0.2772,0.3412,0,0,0,0.0000,39.9766,39.0332,-0.41,35.97,171.75,-0.0522
0.361,0.3086,0.2810,0.3362,0,0,0,0.0000,41.3562,36.9449,-0.75,35.85,171.76,-0.0518
0.392,0.3040,0.2724,0.3357,0,0,0,0.0000,41.9459,38.3722,-0.63,36.24,171.60,-0.0520
0.425,0.3099,0.2820,0.3379,0,0,0,0.0000,42.9333,38.2095,-0.86,35.63,171.64,-0.0517
0.456,0.3118,0.2858,0.3378,0,0,0,0.0000,43.5340,39.4253,-1.14,36.10,171.37,-0.0522
0.487,0.3176,0.2954,0.3398,0,0,0,0.0000,42.8829,37.8751,-1.86,36.01,171.32,-0.0514
0.515,0.3102,0.2832,0.3371,0,0,0,0.0000,44.0995,38.8865,-1.95,36.48,171.09,-0.0521
0.548,0.3240,0.2910,0.3570,0,0,0,0.0000,45.7584,37.3032,-2.14,36.80,171.36,-0.0517
0.578,0.3329,0.3065,0.3593,0,0,0,0.0000,44.7420,38.2002,-2.33,36.75,171.25,-0.0515
0.611,0.3303,0.3000,0.3606,0,0,0,0.0000,45.2424,37.7845,-2.32,36.74,171.21,-0.0515
0.640,0.3299,0.3026,0.3571,0,0,0,0.0000,45.0191,37.9001,-2.12,36.65,171.27,-0.0514
0.672,0.3371,0.3069,0.3672,0,0,0,0.0000,44.7375,37.6898,-2.05,36.52,171.17,-0.0513
0.704,0.3386,0.3056,0.3715,0,0,0,0.0000,43.8089,38.4250,-2.01,36.56,171.00,-0.0515
0.734,0.3466,0.3115,0.3818,0,0,0,0.0000,44.0630,38.5189,-1.98,36.58,171.08,-0.0512
0.764,0.3447,0.3019,0.3874,0,0,0,0.0000,44.3937,38.6914,-2.65,36.93,170.87,-0.0509
0.795,0.3442,0.2986,0.3899,0,0,0,0.0000,44.8220,38.9362,-2.50,36.71,170.95,-0.0510
0.828,0.3433,0.2951,0.3915,0,0,0,0.0000,44.2645,38.4847,-2.73,37.08,171.05,-0.0507
0.856,0.3459,0.2933,0.3986,0,0,0,0.0000,44.7084,39.1300,-2.76,36.75,170.95,-0.0506
0.888,0.3421,0.3014,0.3829,0,0,0,0.0000,43.8647,38.6606,-2.88,37.10,171.05,-0.0505
0.920,0.3419,0.2935,0.3903,0,0,0,0.0000,44.4783,38.9237,-2.80,36.85,170.96,-0.0504
0.950,0.3394,0.2940,0.3848,0,0,0,0.0000,44.1449,39.1471,-2.64,36.66,171.03,-0.0502
0.982,0.3359,0.2934,0.3785,0,0,0,0.0000,44.3880,38.9272,-2.66,36.46,171.09,-0.0505
1.014,0.3373,0.2972,0.3773,0,0,0,0.0000,43.8776,38.8304,-2.73,36.76,171.13,-0.0502
1.044,0.3336,0.2960,0.3711,0,0,0,0.0000,44.0168,39.3444,-2.76,36.53,171.11,-0.0503
1.077,0.3275,0.2945,0.3606,0,0,0,0.0000,44.0592,39.1618,-2.57,36.63,171.20,-0.0504
1.106,0.3296,0.2926,0.3665,0,0,0,0.0000,44.6307,39.8836,-2.36,36.33,171.15,-0.0505
1.140,0.3233,0.2961,0.3505,0,0,0,0.0000,43.8048,39.1819,-2.17,36.38,171.33,-0.0504
1.168,0.3286,0.3013,0.3560,0,0,0,0.0000,44.4759,39.5540,-2.03,36.18,171.40,-0.0504
1.199,0.3157,0.2895,0.3418,0,0,0,0.0000,44.4289,40.5542,-2.41,36.37,171.25,-0.0504
