timestamp_sec,avg_ear,left_ear,right_ear,is_blinking_frame,closed_frame_counter,blink_count_total,blink_rate_bps,left_pupil_diameter,right_pupil_diameter,head_pitch,head_yaw,head_roll,nose_z
0.087,0.3871,0.2831,0.4910,0,0,0,0.0000,48.3553,36.1750,8.86,49.96,-6.12,-0.0508
0.197,0.3671,0.2672,0.4669,0,0,0,0.0000,47.2469,37.4863,4.00,33.99,172.86,-0.0521
0.226,0.3656,0.2661,0.4650,0,0,0,0.0000,46.2629,37.9883,4.86,34.08,172.76,-0.0519
0.256,0.3616,0.2647,0.4585,0,0,0,0.0000,46.9941,37.9035,4.10,33.84,172.65,-0.0521
0.288,0.3589,0.2530,0.4648,0,0,0,0.0000,47.6973,36.6512,3.53,34.42,172.61,-0.0518
0.319,0.3725,0.2574,0.4877,0,0,0,0.0000,46.9755,37.0542,3.45,34.03,172.57,-0.0517
0.351,0.3604,0.2502,0.4707,0,0,0,0.0000,46.2301,37.1796,2.97,33.88,172.28,-0.0516
0.383,0.3554,0.2486,0.4622,0,0,0,0.0000,46.3102,36.2845,2.35,34.31,172.24,-0.0516
0.411,0.3706,0.2416,0.4996,0,0,0,0.0000,46.9128,34.3241,2.96,34.04,172.24,-0.0518
0.443,0.3736,0.2471,0.5001,0,0,0,0.0000,44.8202,33.3720,2.94,34.17,172.22,-0.0516
0.474,0.3698,0.2630,0.4766,0,0,0,0.0000,44.9645,33.8188,2.79,33.86,172.06,-0.0525
0.507,0.3715,0.2582,0.4848,0,0,0,0.0000,42.8479,33.3853,3.00,33.95,172.20,-0.0526
0.539,0.3772,0.2708,0.4837,0,0,0,0.0000,45.6046,34.8417,3.59,33.62,171.96,-0.0519
0.569,0.3494,0.2300,0.4688,0,0,0,0.0000,43.3076,33.0357,3.68,33.70,172.27,-0.0527
0.602,0.2199,0.0708,0.3690,1,1,0,0.0000,38.9751,35.9460,2.48,32.50,171.68,-0.0517
0.632,0.1283,0.0288,0.2278,1,2,0,0.0000,35.9305,31.5975,0.06,31.54,170.48,-0.0516
0.663,0.1871,0.0768,0.2975,1,3,0,0.0000,38.8171,32.3603,-0.38,31.75,171.42,-0.0529
0.692,0.1795,0.1184,0.2405,1,4,0,0.0000,45.3877,31.9577,1.85,32.77,172.97,-0.0527
0.724,0.3343,0.2026,0.4660,0,0,1,0.0000,46.8451,33.2285,3.52,31.59,172.51,-0.0542
0.755,0.3460,0.2340,0.4580,0,0,1,0.0000,45.5532,37.1744,4.01,33.08,172.71,-0.0536
0.786,0.3721,0.2427,0.5016,0,0,1,0.0000,46.8831,35.9514,4.37,32.64,172.71,-0.0529
0.818,0.3755,0.2559,0.4951,0,0,1,0.0000,45.6574,37.5472,4.03,32.46,172.55,-0.0534
0.850,0.3805,0.2696,0.4914,0,0,1,0.0000,44.9415,34.8312,3.77,32.95,172.80,-0.0529
0.881,0.3729,0.2673,0.4785,0,0,1,0.0000,45.4761,38.8573,4.06,32.09,172.83,-0.0544
0.911,0.3621,0.2669,0.4572,0,0,1,0.0000,42.1585,39.9675,3.44,32.23,172.61,-0.0548
0.944,0.3650,0.2707,0.4593,0,0,1,0.0000,44.1837,40.6996,3.58,31.98,172.67,-0.0552
0.975,0.3629,0.2617,0.4641,0,0,1,0.0000,44.3443,39.6950,3.64,32.34,172.78,-0.0549
1.005,0.3800,0.2719,0.4881,0,0,1,0.9951,43.1590,38.3342,3.30,32.76,172.55,-0.0546
1.037,0.3722,0.2623,0.4821,0,0,1,0.9648,41.1084,38.9329,2.81,32.65,172.09,-0.0550
1.068,0.3737,0.2562,0.4912,0,0,1,0.9363,44.1686,40.2261,2.35,32.36,172.37,-0.0552
1.101,0.3865,0.2686,0.5043,0,0,1,0.9080,43.3753,40.2348,2.59,32.77,172.47,-0.0548
1.132,0.3910,0.2555,0.5266,0,0,1,0.8834,44.7285,39.9738,2.62,32.31,172.32,-0.0548
1.163,0.3828,0.2654,0.5002,0,0,1,0.8597,45.1917,41.3944,2.99,32.59,172.45,-0.0546
1.194,0.3817,0.2601,0.5032,0,0,1,0.8372,45.3523,40.5697,3.16,32.79,172.36,-0.0540
1.225,0.3617,0.2575,0.4659,0,0,1,0.8162,46.4291,40.7530,3.23,32.84,172.26,-0.0542
1.256,0.3746,0.2656,0.4836,0,0,1,0.7962,45.6829,41.1373,3.49,32.87,172.23,-0.0541
1.289,0.3780,0.2709,0.4850,0,0,1,0.7758,45.3367,41.2392,3.23,32.73,172.03,-0.0542
1.319,0.3778,0.2687,0.4869,0,0,1,0.7582,46.3755,41.6131,3.43,32.91,172.16,-0.0539
1.351,0.3780,0.2749,0.4811,0,0,1,0.7399,45.8255,41.5801,3.29,32.91,171.87,-0.0539
1.382,0.3699,0.2757,0.4640,0,0,1,0.7234,45.8636,41.6046,3.70,33.04,172.35,-0.0540
1.412,0.3744,0.2848,0.4640,0,0,1,0.7083,45.7422,41.4299,3.97,32.73,172.06,-0.0542
1.442,0.3728,0.2806,0.4649,0,0,1,0.6934,45.1121,41.9724,4.29,32.43,172.24,-0.0546
1.473,0.3736,0.2789,0.4683,0,0,1,0.6789,45.9779,41.3875,4.65,32.58,172.26,-0.0542
1.505,0.3702,0.2760,0.4643,0,0,1,0.6646,45.8276,41.6165,4.69,32.62,172.32,-0.0542
1.536,0.3662,0.2751,0.4573,0,0,1,0.6510,45.9960,41.6647,4.83,32.46,172.37,-0.0546
1.566,0.3665,0.2748,0.4582,0,0,1,0.6385,46.3867,41.1386,4.42,32.58,172.22,-0.0544
1.597,0.3707,0.2770,0.4645,0,0,1,0.6263,46.4163,41.0626,3.51,32.55,171.91,-0.0542
1.627,0.3736,0.2765,0.4707,0,0,1,0.6145,46.2214,41.3446,3.51,33.02,171.96,-0.0541
1.659,0.3728,0.2792,0.4664,0,0,1,0.6029,46.3381,41.6991,3.55,33.01,171.77,-0.0542
1.689,0.3737,0.2788,0.4686,0,0,1,0.5922,46.9481,42.0887,3.31,32.54,171.78,-0.0548
1.721,0.3683,0.2760,0.4605,0,0,1,0.5811,46.9224,42.0180,3.48,32.58,171.58,-0.0549
1.752,0.3731,0.2798,0.4664,0,0,1,0.5707,47.2383,42.6281,3.38,32.47,171.58,-0.0549
1.784,0.3703,0.2818,0.4587,0,0,1,0.5604,47.5127,42.4436,3.01,32.49,171.54,-0.0551
1.817,0.3758,0.2815,0.4701,0,0,1,0.5505,47.6477,41.9692,3.03,32.64,171.44,-0.0549
1.846,0.3745,0.2749,0.4740,0,0,1,0.5418,46.9769,42.3748,3.08,32.28,171.92,-0.0551
1.878,0.3621,0.2793,0.4448,0,0,1,0.5325,47.3061,42.5596,3.70,31.84,172.13,-0.0555
1.908,0.3621,0.2721,0.4521,0,0,1,0.5242,45.4918,41.9569,3.19,31.83,171.95,-0.0551
1.940,0.3652,0.2700,0.4604,0,0,1,0.5155,47.1088,42.3702,3.17,31.92,172.29,-0.0553
1.971,0.3598,0.2737,0.4459,0,0,1,0.5073,46.8289,43.0286,3.68,31.88,172.56,-0.0553
2.003,0.3599,0.2846,0.4351,0,0,1,0.4992,47.4976,43.6225,3.80,31.91,172.53,-0.0551
2.040,0.3676,0.2857,0.4495,0,0,1,0.4901,48.5419,43.1657,3.56,32.36,172.21,-0.0546
2.072,0.3677,0.2791,0.4564,0,0,1,0.4826,48.0254,43.4021,3.42,32.35,172.15,-0.0545
2.096,0.3763,0.2782,0.4745,0,0,1,0.4771,48.4913,42.0595,3.43,32.62,172.27,-0.0543
2.129,0.3820,0.2893,0.4746,0,0,1,0.4696,47.2676,41.4416,3.31,32.87,172.44,-0.0536
2.164,0.3814,0.2933,0.4695,0,0,1,0.4620,47.1934,42.5332,2.84,32.27,171.99,-0.0544
2.200,0.3735,0.2831,0.4639,0,0,1,0.4545,48.3034,41.5617,3.13,32.42,172.26,-0.0543
2.232,0.3682,0.2824,0.4539,0,0,1,0.4480,47.9490,41.6720,3.38,32.55,172.54,-0.0543
2.271,0.3627,0.2841,0.4413,0,0,1,0.4404,46.5164,41.2714,2.75,32.49,172.40,-0.0543
2.294,0.3519,0.2830,0.4208,0,0,1,0.4359,46.0663,41.0982,2.76,32.37,172.56,-0.0542
2.326,0.3536,0.2764,0.4308,0,0,1,0.4300,45.7671,40.5081,2.43,32.59,172.43,-0.0537
