timestamp_sec,avg_ear,left_ear,right_ear,is_blinking_frame,closed_frame_counter,blink_count_total,blink_rate_bps,left_pupil_diameter,right_pupil_diameter,head_pitch,head_yaw,head_roll,nose_z
0.079,0.2845,0.2590,0.3100,0,0,0,0.0000,52.5070,45.9001,0.16,23.86,-7.93,-0.0631
0.136,0.2723,0.2593,0.2853,0,0,0,0.0000,53.8611,45.6991,-0.07,23.91,-7.41,-0.0632
0.163,0.2730,0.2488,0.2971,0,0,0,0.0000,52.9803,48.0586,-0.17,24.14,-7.40,-0.0632
0.192,0.2731,0.2581,0.2881,0,0,0,0.0000,54.9599,48.4715,-1.00,24.15,-7.54,-0.0638
0.222,0.2764,0.2625,0.2904,0,0,0,0.0000,51.9460,47.3193,0.11,24.38,-7.52,-0.0628
0.253,0.2777,0.2655,0.2898,0,0,0,0.0000,51.9957,44.7877,0.24,24.41,-7.72,-0.0633
0.285,0.2816,0.2558,0.3074,0,0,0,0.0000,53.6001,47.2975,0.19,24.92,-7.53,-0.0634
0.318,0.2865,0.2705,0.3025,0,0,0,0.0000,51.9936,46.6738,0.26,24.82,-7.85,-0.0632
0.348,0.2860,0.2599,0.3121,0,0,0,0.0000,53.1271,45.1508,0.97,24.95,-7.57,-0.0634
0.379,0.2792,0.2625,0.2960,0,0,0,0.0000,54.2317,44.3259,0.33,24.98,-7.52,-0.0637
0.409,0.2829,0.2630,0.3028,0,0,0,0.0000,53.3726,45.2395,0.51,24.91,-7.51,-0.0638
0.441,0.2800,0.2634,0.2967,0,0,0,0.0000,52.3993,47.5903,-0.08,25.98,-7.66,-0.0634
0.473,0.2984,0.2749,0.3219,0,0,0,0.0000,52.8028,47.0143,0.96,26.06,-7.23,-0.0634
0.503,0.2922,0.2758,0.3086,0,0,0,0.0000,51.6767,44.9273,1.79,25.76,-7.04,-0.0635
0.536,0.2933,0.2803,0.3063,0,0,0,0.0000,51.2856,43.3574,0.91,25.73,-7.26,-0.0633
0.567,0.2978,0.2771,0.3186,0,0,0,0.0000,51.5700,47.5495,0.49,25.60,-7.26,-0.0635
0.598,0.2925,0.2755,0.3095,0,0,0,0.0000,53.2041,45.3661,0.17,25.50,-7.45,-0.0639
0.627,0.2975,0.2732,0.3218,0,0,0,0.0000,53.6193,45.9885,0.77,25.48,-6.97,-0.0635
0.656,0.2912,0.2762,0.3062,0,0,0,0.0000,51.5592,43.5088,0.24,25.53,-7.03,-0.0639
0.687,0.2961,0.2794,0.3129,0,0,0,0.0000,51.8768,43.5754,0.61,25.65,-6.92,-0.0631
0.716,0.2997,0.2757,0.3237,0,0,0,0.0000,52.5853,46.6991,0.29,25.50,-6.88,-0.0639
0.750,0.3027,0.2759,0.3294,0,0,0,0.0000,53.0751,45.9200,0.32,25.40,-6.89,-0.0639
0.780,0.3069,0.2783,0.3354,0,0,0,0.0000,52.5753,47.1590,0.48,25.15,-6.79,-0.0637
0.789,0.2983,0.2705,0.3261,0,0,0,0.0000,53.4897,47.2747,-0.13,24.99,-6.87,-0.0638
0.829,0.3021,0.2744,0.3298,0,0,0,0.0000,52.7372,46.7553,0.09,24.86,-6.68,-0.0636
0.858,0.2976,0.2647,0.3304,0,0,0,0.0000,53.9228,47.3327,-0.65,25.25,-6.83,-0.0640
0.888,0.2989,0.2669,0.3309,0,0,0,0.0000,52.9489,48.3465,0.06,24.50,-6.72,-0.0636
0.917,0.2988,0.2672,0.3305,0,0,0,0.0000,53.9367,47.3627,-0.65,25.14,-6.60,-0.0644
0.947,0.3024,0.2694,0.3354,0,0,0,0.0000,53.9846,48.3975,0.13,24.62,-6.61,-0.0640
0.988,0.2993,0.2684,0.3302,0,0,0,0.0000,53.2383,48.0373,-0.44,25.26,-6.75,-0.0638
1.012,0.2998,0.2712,0.3285,0,0,0,0.0000,53.6647,47.8684,-0.01,25.13,-6.62,-0.0639
1.041,0.2991,0.2729,0.3253,0,0,0,0.0000,53.4413,47.9786,-0.23,25.19,-6.53,-0.0638
1.072,0.3047,0.2735,0.3359,0,0,0,0.0000,53.8992,48.4187,-0.56,25.20,-6.82,-0.0640
1.110,0.3005,0.2834,0.3176,0,0,0,0.0000,51.3429,47.7148,-0.50,24.46,-6.88,-0.0638
1.135,0.3016,0.2725,0.3306,0,0,0,0.0000,53.3756,48.6982,-0.48,24.60,-6.66,-0.0644
1.165,0.2973,0.2688,0.3257,0,0,0,0.0000,52.6068,48.0566,-0.64,24.61,-6.63,-0.0638
1.183,0.3038,0.2716,0.3361,0,0,0,0.0000,53.3728,47.4702,0.21,25.05,-6.34,-0.0644
1.208,0.2974,0.2667,0.3282,0,0,0,0.0000,53.0590,48.1149,-0.43,24.41,-6.62,-0.0642
1.233,0.2897,0.2663,0.3130,0,0,0,0.0000,53.9420,48.3464,-0.38,24.31,-6.42,-0.0650
1.265,0.2936,0.2731,0.3142,0,0,0,0.0000,52.8109,48.3410,-0.63,24.34,-6.68,-0.0640
1.302,0.2968,0.2713,0.3224,0,0,0,0.0000,52.2218,47.5066,-0.55,24.38,-6.63,-0.0646
1.328,0.2985,0.2668,0.3303,0,0,0,0.0000,53.9553,48.4300,-0.52,24.49,-6.34,-0.0651
1.362,0.2916,0.2730,0.3102,0,0,0,0.0000,52.3068,49.8126,-0.58,24.07,-6.63,-0.0639
1.392,0.2996,0.2730,0.3263,0,0,0,0.0000,53.0431,49.0975,-0.33,24.10,-6.43,-0.0649
1.430,0.2907,0.2670,0.3144,0,0,0,0.0000,53.1954,49.1151,-0.06,23.72,-6.70,-0.0641
1.456,0.2931,0.2698,0.3164,0,0,0,0.0000,52.8162,48.4007,0.14,24.03,-6.40,-0.0644
1.495,0.2921,0.2666,0.3175,0,0,0,0.0000,52.8153,48.3852,-0.39,24.24,-6.60,-0.0641
1.530,0.2919,0.2659,0.3178,0,0,0,0.0000,53.0628,48.6393,0.12,23.87,-6.37,-0.0644
1.564,0.2918,0.2706,0.3131,0,0,0,0.0000,53.0189,47.7628,0.35,24.20,-6.25,-0.0642
1.596,0.2960,0.2673,0.3248,0,0,0,0.0000,53.7305,47.8034,0.10,24.00,-6.26,-0.0643
1.622,0.2939,0.2657,0.3222,0,0,0,0.0000,53.1557,47.7888,-0.38,23.94,-6.45,-0.0643
1.661,0.2901,0.2619,0.3183,0,0,0,0.0000,53.9713,48.0787,0.03,23.65,-6.23,-0.0645
1.697,0.2800,0.2515,0.3085,0,0,0,0.0000,52.5676,48.5869,-0.16,23.58,-6.59,-0.0642
1.732,0.3006,0.2715,0.3297,0,0,0,0.0000,51.0247,49.1375,-1.05,23.29,-6.53,-0.0652
1.761,0.2866,0.2544,0.3189,0,0,0,0.0000,53.2421,48.6500,-0.87,23.91,-6.36,-0.0646
1.793,0.2906,0.2491,0.3321,0,0,0,0.0000,53.1857,48.5748,-0.39,24.16,-6.24,-0.0642
1.824,0.2932,0.2548,0.3316,0,0,0,0.0000,53.7341,49.2000,-0.59,23.62,-6.33,-0.0646
1.866,0.2909,0.2695,0.3124,0,0,0,0.0000,53.2846,48.4053,-0.74,23.43,-6.41,-0.0650
1.890,0.2955,0.2655,0.3255,0,0,0,0.0000,52.7184,49.7553,-1.39,23.70,-6.84,-0.0647
1.925,0.2945,0.2573,0.3317,0,0,0,0.0000,52.7471,48.0299,-0.18,24.43,-6.26,-0.0641
1.957,0.3018,0.2715,0.3322,0,0,0,0.0000,53.3764,48.7665,-0.35,23.77,-6.08,-0.0643
1.990,0.2880,0.2638,0.3123,0,0,0,0.0000,53.3498,47.4952,-0.85,23.57,-6.22,-0.0645
2.035,0.2969,0.2617,0.3321,0,0,0,0.0000,52.7087,47.6260,-0.42,24.40,-6.12,-0.0640
2.056,0.2941,0.2617,0.3265,0,0,0,0.0000,53.1714,49.2424,-1.15,23.59,-6.63,-0.0649
2.090,0.2945,0.2596,0.3294,0,0,0,0.0000,53.3107,49.0914,-0.80,23.38,-6.59,-0.0647
2.119,0.2937,0.2712,0.3162,0,0,0,0.0000,53.4535,47.7073,-0.61,23.41,-6.50,-0.0644
2.150,0.2872,0.2507,0.3237,0,0,0,0.0000,52.9903,48.6276,-0.52,23.91,-6.61,-0.0647
2.190,0.2914,0.2677,0.3151,0,0,0,0.0000,52.4275,49.0834,-1.03,23.57,-7.09,-0.0652
2.215,0.2873,0.2590,0.3155,0,0,0,0.0000,52.7823,48.2389,-0.23,24.35,-6.41,-0.0644
2.247,0.3023,0.2715,0.3331,0,0,0,0.0000,52.8345,48.1968,-0.54,23.98,-6.52,-0.0648
2.277,0.2874,0.2539,0.3209,0,0,0,0.0000,52.2961,48.5859,-0.40,24.30,-6.45,-0.0644
2.309,0.2872,0.2559,0.3185,0,0,0,0.0000,53.3791,48.7049,-0.26,24.03,-6.45,-0.0644
2.348,0.3008,0.2554,0.3461,0,0,0,0.0000,52.8964,48.3584,-0.44,23.97,-6.50,-0.0649
2.374,0.2930,0.2579,0.3281,0,0,0,0.0000,53.3712,47.4812,-0.54,23.41,-6.63,-0.0657
2.404,0.2889,0.2543,0.3234,0,0,0,0.0000,53.0361,48.0577,-0.34,23.92,-6.48,-0.0652
2.438,0.2914,0.2573,0.3256,0,0,0,0.0000,52.4317,48.5851,-0.29,24.13,-6.52,-0.0648
2.476,0.2894,0.2519,0.3269,0,0,0,0.0000,53.0625,47.8219,0.04,23.92,-6.57,-0.0647
2.500,0.2847,0.2511,0.3183,0,0,0,0.0000,50.4728,48.1061,0.40,24.12,-6.44,-0.0644
2.540,0.2856,0.2523,0.3188,0,0,0,0.0000,51.4758,47.0387,0.06,23.96,-6.75,-0.0643
2.571,0.2861,0.2619,0.3104,0,0,0,0.0000,51.2056,46.6405,0.37,24.45,-6.54,-0.0639
