timestamp_sec,avg_ear,left_ear,right_ear,is_blinking_frame,closed_frame_counter,blink_count_total,blink_rate_bps,left_pupil_diameter,right_pupil_diameter,head_pitch,head_yaw,head_roll,nose_z
0.059,0.3548,0.3139,0.3957,0,0,0,0.0000,37.6558,34.9009,3.64,25.89,175.14,-0.0432
0.140,0.3454,0.3140,0.3767,0,0,0,0.0000,38.4965,34.8464,1.69,26.07,174.38,-0.0442
0.165,0.3577,0.3202,0.3952,0,0,0,0.0000,38.2668,34.6841,1.89,26.69,174.65,-0.0441
0.196,0.3626,0.3213,0.4039,0,0,0,0.0000,38.3398,34.0189,2.00,27.09,174.73,-0.0440
0.226,0.3557,0.3172,0.3942,0,0,0,0.0000,38.4446,34.9995,2.12,27.52,174.69,-0.0440
0.257,0.3609,0.3208,0.4009,0,0,0,0.0000,38.2303,34.0985,2.35,27.07,174.76,-0.0439
0.289,0.3601,0.3198,0.4004,0,0,0,0.0000,38.9376,35.2943,2.03,26.88,174.70,-0.0440
0.319,0.3588,0.3202,0.3974,0,0,0,0.0000,38.9512,35.1049,1.97,26.87,174.62,-0.0439
0.351,0.3628,0.3227,0.4029,0,0,0,0.0000,38.6506,34.9821,2.04,26.67,174.68,-0.0440
0.382,0.3637,0.3258,0.4017,0,0,0,0.0000,38.6839,35.3553,2.12,26.43,174.61,-0.0439
0.413,0.3590,0.3185,0.3996,0,0,0,0.0000,38.5384,35.5247,2.40,26.71,174.71,-0.0438
0.445,0.3627,0.3232,0.4022,0,0,0,0.0000,38.8995,35.3201,2.08,26.54,174.53,-0.0440
0.475,0.3573,0.3177,0.3970,0,0,0,0.0000,38.5240,35.6563,2.36,26.66,174.65,-0.0440
0.507,0.3638,0.3251,0.4025,0,0,0,0.0000,38.9605,35.4600,1.83,26.43,174.40,-0.0441
0.538,0.3622,0.3220,0.4023,0,0,0,0.0000,38.2078,35.7683,2.32,26.45,174.57,-0.0440
0.569,0.3659,0.3263,0.4056,0,0,0,0.0000,38.9076,35.2018,2.08,26.66,174.53,-0.0441
0.599,0.3654,0.3253,0.4054,0,0,0,0.0000,38.7247,35.1577,1.91,26.78,174.42,-0.0438
0.630,0.3652,0.3255,0.4048,0,0,0,0.0000,38.4390,35.1527,1.85,26.66,174.40,-0.0438
0.662,0.3649,0.3257,0.4040,0,0,0,0.0000,38.7405,35.0022,1.77,26.60,174.25,-0.0441
0.692,0.3627,0.3233,0.4020,0,0,0,0.0000,38.8518,35.4159,1.69,26.57,174.22,-0.0440
0.724,0.3647,0.3266,0.4027,0,0,0,0.0000,38.7779,35.3394,1.62,26.42,174.04,-0.0439
0.754,0.3657,0.3250,0.4064,0,0,0,0.0000,38.7659,35.3045,1.70,26.51,174.18,-0.0440
0.786,0.3643,0.3286,0.4000,0,0,0,0.0000,39.0027,35.8759,1.47,26.29,174.00,-0.0441
0.819,0.3639,0.3256,0.4023,0,0,0,0.0000,38.5168,35.5921,1.65,26.25,174.19,-0.0442
0.849,0.3643,0.3264,0.4022,0,0,0,0.0000,38.8339,35.3721,1.30,26.57,174.08,-0.0438
0.880,0.3665,0.3279,0.4050,0,0,0,0.0000,38.6885,35.5286,1.55,26.52,174.08,-0.0440
0.911,0.3661,0.3253,0.4068,0,0,0,0.0000,38.4355,35.6472,1.65,26.60,174.13,-0.0441
0.942,0.3681,0.3307,0.4056,0,0,0,0.0000,38.8060,35.5860,1.34,26.52,174.06,-0.0440
0.972,0.3682,0.3258,0.4105,0,0,0,0.0000,38.8597,35.6935,1.58,26.65,174.10,-0.0439
1.004,0.3663,0.3258,0.4068,0,0,0,0.0000,38.6316,35.5278,1.52,26.59,174.13,-0.0441
1.035,0.3634,0.3221,0.4046,0,0,0,0.0000,38.8293,35.4680,1.54,26.89,174.23,-0.0440
1.067,0.3640,0.3207,0.4072,0,0,0,0.0000,38.8284,35.6041,1.78,26.35,174.21,-0.0441
1.097,0.3611,0.3161,0.4062,0,0,0,0.0000,38.5607,36.5378,2.10,26.71,174.17,-0.0439
1.128,0.3580,0.3147,0.4012,0,0,0,0.0000,38.7565,36.0372,1.97,26.46,174.19,-0.0440
1.160,0.3572,0.3153,0.3991,0,0,0,0.0000,38.6577,36.4385,1.86,26.63,174.02,-0.0441
1.190,0.3636,0.3208,0.4065,0,0,0,0.0000,38.3274,36.3121,2.14,26.44,173.97,-0.0440
1.221,0.3598,0.3199,0.3997,0,0,0,0.0000,38.4811,36.3156,1.96,26.12,173.91,-0.0441
1.252,0.3596,0.3162,0.4029,0,0,0,0.0000,38.4286,36.3828,1.79,26.19,173.88,-0.0442
1.283,0.3607,0.3178,0.4036,0,0,0,0.0000,38.1874,36.1660,2.07,25.94,173.98,-0.0444
1.314,0.3676,0.3184,0.4167,0,0,0,0.0000,38.2223,36.2610,1.86,26.01,174.06,-0.0443
1.346,0.3603,0.3181,0.4024,0,0,0,0.0000,38.1798,36.0952,1.34,25.99,173.94,-0.0446
1.377,0.3556,0.3164,0.3948,0,0,0,0.0000,37.9972,36.0856,1.30,25.66,173.89,-0.0446
1.408,0.3619,0.3204,0.4034,0,0,0,0.0000,38.3082,36.2545,1.39,25.07,174.04,-0.0447
1.439,0.3581,0.3177,0.3985,0,0,0,0.0000,38.4024,36.3926,3.52,41.04,-5.66,-0.0448
1.469,0.3616,0.3152,0.4081,0,0,0,0.0000,38.0542,36.2818,3.61,41.08,-5.78,-0.0445
1.501,0.3597,0.3212,0.3982,0,0,0,0.0000,38.0186,36.6712,3.46,40.60,-5.82,-0.0445
1.532,0.3579,0.3225,0.3934,0,0,0,0.0000,38.2772,36.5531,3.63,40.99,-5.62,-0.0447
1.563,0.3597,0.3213,0.3982,0,0,0,0.0000,38.2881,36.3529,3.87,40.65,-5.65,-0.0445
1.593,0.3627,0.3244,0.4009,0,0,0,0.0000,38.2513,36.1300,3.92,40.93,-5.44,-0.0446
1.624,0.3592,0.3222,0.3963,0,0,0,0.0000,38.1957,36.5387,3.96,40.87,-5.62,-0.0447
1.654,0.3586,0.3181,0.3992,0,0,0,0.0000,38.1725,36.3334,4.11,40.88,-5.58,-0.0444
1.687,0.3589,0.3218,0.3960,0,0,0,0.0000,38.1421,36.7949,4.04,40.56,-5.45,-0.0446
1.711,0.3560,0.3206,0.3914,0,0,0,0.0000,38.3625,36.8511,4.15,40.80,-5.47,-0.0446
1.734,0.3583,0.3230,0.3937,0,0,0,0.0000,38.5941,36.7674,4.30,40.80,-5.37,-0.0446
1.752,0.3559,0.3197,0.3920,0,0,0,0.0000,38.4944,36.8032,4.46,40.90,-5.28,-0.0445
1.774,0.3540,0.3214,0.3866,0,0,0,0.0000,38.3592,36.7547,4.48,40.92,-5.35,-0.0446
1.793,0.3564,0.3213,0.3914,0,0,0,0.0000,38.3400,36.7931,4.54,40.91,-5.28,-0.0445
1.815,0.3573,0.3202,0.3943,0,0,0,0.0000,38.3073,36.7243,4.66,40.91,-5.19,-0.0447
1.835,0.3594,0.3222,0.3967,0,0,0,0.0000,38.3763,36.5361,4.57,40.93,-5.27,-0.0448
1.855,0.3585,0.3201,0.3969,0,0,0,0.0000,38.2937,36.9545,4.66,40.62,-5.27,-0.0446
1.873,0.3579,0.3252,0.3907,0,0,0,0.0000,38.4021,36.7467,4.52,40.74,-5.33,-0.0448
1.894,0.3589,0.3218,0.3959,0,0,0,0.0000,38.1541,36.7930,4.76,40.81,-5.17,-0.0445
1.915,0.3584,0.3208,0.3959,0,0,0,0.0000,38.1303,36.5057,4.50,40.74,-5.20,-0.0447
1.935,0.3568,0.3224,0.3913,0,0,0,0.0000,38.1799,36.8661,4.36,40.95,-5.23,-0.0445
1.957,0.3554,0.3215,0.3892,0,0,0,0.0000,37.9953,36.8909,4.57,40.84,-5.12,-0.0444
1.984,0.3566,0.3224,0.3908,0,0,0,0.0000,38.0461,36.5667,4.48,40.92,-5.09,-0.0446
2.011,0.3572,0.3241,0.3903,0,0,0,0.0000,38.2701,36.7604,4.60,40.87,-5.06,-0.0444
2.043,0.3563,0.3232,0.3894,0,0,0,0.0000,38.1993,36.6939,4.50,40.93,-5.11,-0.0444
2.074,0.3585,0.3224,0.3946,0,0,0,0.0000,38.1684,36.6500,4.53,40.98,-5.15,-0.0444
2.098,0.3609,0.3206,0.4012,0,0,0,0.0000,37.8175,36.4628,4.52,40.97,-5.15,-0.0447
2.136,0.3647,0.3219,0.4076,0,0,0,0.0000,37.9414,36.2439,2.00,24.51,174.43,-0.0450
2.169,0.3613,0.3242,0.3985,0,0,0,0.0000,38.0077,36.4324,1.80,24.64,174.40,-0.0451
2.193,0.3624,0.3247,0.4002,0,0,0,0.0000,37.8469,36.4977,1.63,24.59,174.37,-0.0454
2.224,0.3600,0.3198,0.4002,0,0,0,0.0000,37.7177,36.3213,1.53,24.67,174.32,-0.0452
2.262,0.3594,0.3182,0.4007,0,0,0,0.0000,37.8897,36.5209,1.46,24.70,174.42,-0.0452
2.292,0.3601,0.3229,0.3973,0,0,0,0.0000,37.8018,36.4488,1.59,24.66,174.46,-0.0452
2.325,0.3573,0.3202,0.3943,0,0,0,0.0000,37.8853,36.4626,2.05,24.50,174.54,-0.0451
2.351,0.3592,0.3185,0.4000,0,0,0,0.0000,38.0042,36.1144,2.41,24.40,174.60,-0.0449
2.392,0.3564,0.3188,0.3941,0,0,0,0.0000,38.0030,36.4972,2.41,24.40,174.54,-0.0450
2.416,0.3579,0.3193,0.3965,0,0,0,0.0000,37.8004,36.3407,2.51,24.28,174.54,-0.0450
2.661,0.3571,0.3192,0.3950,0,0,0,0.0000,37.9720,36.0018,2.15,24.11,174.48,-0.0451
2.693,0.3541,0.3173,0.3909,0,0,0,0.0000,37.9680,36.6391,1.68,24.53,174.63,-0.0453
2.717,0.3583,0.3230,0.3937,0,0,0,0.0000,38.1118,36.2668,2.56,24.30,174.60,-0.0449
2.749,0.3603,0.3230,0.3976,0,0,0,0.0000,38.2812,35.8975,2.41,24.39,174.56,-0.0453
