timestamp_sec,avg_ear,left_ear,right_ear,is_blinking_frame,closed_frame_counter,blink_count_total,blink_rate_bps,left_pupil_diameter,right_pupil_diameter,head_pitch,head_yaw,head_roll,nose_z
0.074,0.1164,0.1068,0.1260,1,1,0,0.0000,35.8081,29.7056,-1.50,31.19,169.07,-0.0543
0.164,0.1927,0.1853,0.2000,1,2,0,0.0000,41.4931,32.2430,0.36,31.72,169.76,-0.0540
0.189,0.2197,0.2215,0.2178,1,3,0,0.0000,42.9982,32.2432,0.21,32.62,169.47,-0.0544
0.219,0.2291,0.2413,0.2170,0,0,1,0.0000,42.1913,32.8920,0.79,32.52,169.47,-0.0541
0.251,0.2452,0.2495,0.2410,0,0,1,0.0000,42.1732,32.3102,0.65,32.26,169.54,-0.0542
0.284,0.2476,0.2494,0.2459,0,0,1,0.0000,41.6879,35.0425,0.85,32.65,169.34,-0.0539
0.313,0.2532,0.2546,0.2517,0,0,1,0.0000,40.4389,35.1775,0.80,32.73,169.26,-0.0542
0.344,0.2513,0.2569,0.2458,0,0,1,0.0000,40.3259,34.8945,1.19,32.26,169.38,-0.0539
0.376,0.2591,0.2607,0.2576,0,0,1,0.0000,42.1343,38.2928,0.44,32.38,169.13,-0.0541
0.406,0.2731,0.2654,0.2808,0,0,1,0.0000,43.4086,38.8829,0.37,32.53,168.77,-0.0543
0.437,0.2786,0.2762,0.2810,0,0,1,0.0000,40.2069,38.5446,0.65,32.73,168.85,-0.0542
0.468,0.2763,0.2750,0.2777,0,0,1,0.0000,41.9085,39.1709,0.65,32.95,168.84,-0.0539
0.498,0.2796,0.2742,0.2851,0,0,1,0.0000,40.4899,38.6322,0.60,33.10,168.96,-0.0540
0.528,0.2780,0.2671,0.2890,0,0,1,0.0000,44.2898,39.0292,0.08,33.39,168.73,-0.0540
0.559,0.2728,0.2616,0.2840,0,0,1,0.0000,43.2810,38.0296,0.19,33.26,168.71,-0.0536
0.591,0.2747,0.2626,0.2868,0,0,1,0.0000,44.4072,38.3298,-0.05,33.66,168.50,-0.0536
0.620,0.2731,0.2624,0.2838,0,0,1,0.0000,43.8286,38.2667,-0.01,33.48,168.68,-0.0535
0.652,0.2829,0.2689,0.2970,0,0,1,0.0000,43.5179,38.7750,0.13,33.41,168.64,-0.0538
0.681,0.2804,0.2708,0.2900,0,0,1,0.0000,43.0039,38.6943,0.17,33.42,168.84,-0.0536
0.713,0.2909,0.2785,0.3032,0,0,1,0.0000,41.7894,39.1336,-0.17,33.57,169.00,-0.0539
0.745,0.2838,0.2722,0.2954,0,0,1,0.0000,41.6587,39.4415,0.40,33.15,169.29,-0.0543
0.775,0.2865,0.2769,0.2962,0,0,1,0.0000,41.8976,39.4882,0.11,32.98,169.32,-0.0544
0.805,0.2887,0.2787,0.2988,0,0,1,0.0000,41.1287,39.4610,0.27,32.59,169.53,-0.0544
0.837,0.2744,0.2727,0.2761,0,0,1,0.0000,42.9118,36.7117,-0.17,32.26,169.73,-0.0542
0.856,0.2666,0.2629,0.2703,0,0,1,0.0000,42.4871,38.3359,-0.07,32.19,169.88,-0.0543
0.879,0.2671,0.2582,0.2761,0,0,1,0.0000,42.2054,38.2842,-0.42,32.27,169.78,-0.0541
0.898,0.2694,0.2561,0.2828,0,0,1,0.0000,43.2304,37.9560,-0.27,32.17,169.69,-0.0543
0.919,0.2677,0.2586,0.2767,0,0,1,0.0000,42.5211,37.7741,0.12,32.00,169.81,-0.0544
0.947,0.2707,0.2571,0.2843,0,0,1,0.0000,42.5633,37.0550,-0.30,32.03,169.77,-0.0545
0.974,0.2684,0.2582,0.2786,0,0,1,0.0000,42.8821,38.1556,-0.06,32.18,169.92,-0.0542
