timestamp_sec,avg_ear,left_ear,right_ear,is_blinking_frame,closed_frame_counter,blink_count_total,blink_rate_bps,left_pupil_diameter,right_pupil_diameter,head_pitch,head_yaw,head_roll,nose_z
0.050,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000
0.074,0.3493,0.2938,0.4049,0,0,0,0.0000,52.6432,49.7821,7.83,24.20,-6.03,-0.0661
0.091,0.3371,0.3122,0.3619,0,0,0,0.0000,53.3479,50.4935,6.89,24.73,-5.29,-0.0657
0.111,0.3172,0.2932,0.3412,0,0,0,0.0000,54.4800,48.2893,5.28,24.40,-5.38,-0.0666
0.135,0.3378,0.3000,0.3757,0,0,0,0.0000,53.1466,48.5665,5.28,24.14,-4.79,-0.0654
0.159,0.3383,0.3028,0.3737,0,0,0,0.0000,53.5489,46.7311,4.12,24.23,-4.82,-0.0655
0.187,0.3362,0.3046,0.3678,0,0,0,0.0000,52.4504,47.6608,4.23,23.41,-4.43,-0.0650
0.216,0.3229,0.2981,0.3477,0,0,0,0.0000,51.6797,47.3981,2.59,22.51,-4.68,-0.0652
0.246,0.3330,0.3072,0.3587,0,0,0,0.0000,54.6177,50.2310,2.34,23.62,-4.77,-0.0650
0.276,0.3221,0.2950,0.3491,0,0,0,0.0000,53.8746,50.0201,0.91,23.37,-5.44,-0.0655
0.305,0.3292,0.3081,0.3504,0,0,0,0.0000,53.0840,49.5432,0.02,23.85,-5.57,-0.0645
0.326,0.3160,0.3119,0.3202,0,0,0,0.0000,52.5569,48.3263,-0.51,23.78,-5.91,-0.0638
0.357,0.3250,0.3118,0.3382,0,0,0,0.0000,52.7359,48.2677,-0.50,24.27,-6.21,-0.0633
0.393,0.3304,0.3234,0.3374,0,0,0,0.0000,51.6860,48.3610,-0.29,24.17,-6.22,-0.0622
0.417,0.3234,0.3032,0.3437,0,0,0,0.0000,51.7910,47.9905,-1.25,24.22,-6.66,-0.0633
0.438,0.3341,0.3189,0.3493,0,0,0,0.0000,52.4797,47.2969,-0.36,25.17,-5.91,-0.0626
0.461,0.3262,0.3092,0.3431,0,0,0,0.0000,53.5901,46.0379,-1.24,25.83,-5.60,-0.0633
0.494,0.3075,0.2926,0.3225,0,0,0,0.0000,53.6366,50.2845,-3.48,23.76,-6.05,-0.0639
0.525,0.3029,0.2857,0.3201,0,0,0,0.0000,51.5764,49.9827,-3.13,23.72,-5.71,-0.0642
0.558,0.3142,0.2933,0.3352,0,0,0,0.0000,52.1014,49.0980,-3.60,23.80,-5.45,-0.0638
0.577,0.3136,0.2928,0.3345,0,0,0,0.0000,53.3545,49.5347,-3.70,23.73,-5.68,-0.0636
0.605,0.3074,0.2682,0.3466,0,0,0,0.0000,52.6231,48.7955,-4.40,23.06,-6.40,-0.0639
0.632,0.2957,0.2591,0.3324,0,0,0,0.0000,53.6713,48.6803,-4.54,22.53,-6.90,-0.0635
0.654,0.2902,0.2566,0.3239,0,0,0,0.0000,52.6617,46.3953,-4.59,22.04,-7.33,-0.0638
0.687,0.2726,0.2531,0.2920,0,0,0,0.0000,48.3091,46.6910,-5.62,21.17,-7.94,-0.0640
0.717,0.2700,0.2676,0.2723,0,0,0,0.0000,49.0379,42.8047,-5.13,21.38,-7.86,-0.0638
0.738,0.2766,0.2687,0.2845,0,0,0,0.0000,52.3860,45.3233,-4.40,21.84,-7.61,-0.0629
0.764,0.2715,0.2696,0.2735,0,0,0,0.0000,47.9887,45.1886,-3.42,21.92,-7.72,-0.0634
0.800,0.2653,0.2628,0.2677,0,0,0,0.0000,50.9272,45.4627,-4.09,20.93,-7.88,-0.0643
0.832,0.2611,0.2599,0.2623,0,0,0,0.0000,50.9009,44.8378,-3.24,20.90,-7.85,-0.0639
0.864,0.2562,0.2510,0.2614,0,0,0,0.0000,50.7977,44.3931,-3.12,20.57,-7.96,-0.0631
0.895,0.2640,0.2458,0.2822,0,0,0,0.0000,45.7849,39.5011,-1.53,20.21,-7.74,-0.0638
0.920,0.2846,0.2572,0.3119,0,0,0,0.0000,39.9420,37.6497,-1.86,20.37,-8.50,-0.0643
0.959,0.2771,0.2649,0.2892,0,0,0,0.0000,45.8279,38.0053,-0.45,22.32,-8.09,-0.0629
0.980,0.2803,0.2681,0.2926,0,0,0,0.0000,43.9523,37.4817,0.54,23.01,-7.58,-0.0624
1.008,0.2784,0.2586,0.2983,0,0,0,0.0000,46.3965,36.0527,0.33,24.09,-7.57,-0.0622
1.032,0.2769,0.2450,0.3088,0,0,0,0.0000,46.5127,34.4874,0.50,25.25,-7.43,-0.0623
1.052,0.2880,0.2513,0.3247,0,0,0,0.0000,41.5774,35.0880,0.79,25.41,-7.90,-0.0618
1.077,0.3070,0.2546,0.3594,0,0,0,0.0000,43.2459,34.6917,1.32,25.50,-8.04,-0.0621
1.100,0.3081,0.2522,0.3639,0,0,0,0.0000,51.3772,35.9841,1.32,24.75,-8.19,-0.0618
1.128,0.3013,0.2452,0.3574,0,0,0,0.0000,47.4317,37.2049,2.28,25.34,-8.25,-0.0603
1.158,0.3196,0.2599,0.3793,0,0,0,0.0000,47.5501,35.5522,3.40,26.16,-8.02,-0.0601
1.181,0.3051,0.2543,0.3560,0,0,0,0.0000,49.2005,34.6740,4.24,26.25,-8.12,-0.0603
1.211,0.3074,0.2651,0.3496,0,0,0,0.0000,46.7178,33.1384,4.08,26.18,-8.24,-0.0598
1.237,0.3067,0.2635,0.3498,0,0,0,0.0000,48.0088,32.2976,5.65,27.35,-7.74,-0.0598
1.261,0.2835,0.2391,0.3279,0,0,0,0.0000,50.8204,37.3729,5.93,28.19,-7.42,-0.0587
1.285,0.3073,0.2693,0.3453,0,0,0,0.0000,50.3932,35.5096,3.71,27.22,-8.12,-0.0595
1.306,0.2994,0.2605,0.3383,0,0,0,0.0000,53.3633,36.4683,5.36,27.60,-7.22,-0.0589
1.334,0.3040,0.2646,0.3433,0,0,0,0.0000,46.9509,32.4507,5.01,28.04,-7.95,-0.0594
1.358,0.2967,0.2651,0.3283,0,0,0,0.0000,49.2431,34.3954,5.83,28.08,-7.23,-0.0584
1.377,0.2975,0.2680,0.3271,0,0,0,0.0000,52.3727,35.8579,4.83,27.78,-7.57,-0.0578
1.400,0.3074,0.2677,0.3470,0,0,0,0.0000,52.5252,37.3990,5.23,27.97,-7.12,-0.0580
1.429,0.2972,0.2739,0.3205,0,0,0,0.0000,52.7150,37.8820,5.93,28.15,-6.65,-0.0581
1.448,0.3072,0.2788,0.3355,0,0,0,0.0000,52.9943,35.0902,6.67,29.11,-6.55,-0.0573
1.469,0.3013,0.2789,0.3238,0,0,0,0.0000,51.2956,37.4258,6.05,28.65,-6.59,-0.0577
1.489,0.2931,0.2689,0.3173,0,0,0,0.0000,50.2891,34.7832,5.64,28.96,-6.61,-0.0578
1.518,0.3061,0.2773,0.3350,0,0,0,0.0000,52.2716,35.1728,6.04,29.01,-6.44,-0.0576
1.539,0.2962,0.2595,0.3329,0,0,0,0.0000,54.4352,33.9821,6.52,29.32,-6.13,-0.0569
1.559,0.3001,0.2685,0.3317,0,0,0,0.0000,52.2133,36.9195,5.74,28.99,-6.56,-0.0563
1.578,0.3126,0.2697,0.3556,0,0,0,0.0000,51.5422,36.0907,5.36,29.43,-6.61,-0.0569
1.598,0.3326,0.2933,0.3719,0,0,0,0.0000,49.6807,35.3482,4.82,29.43,-6.97,-0.0564
1.629,0.3422,0.2749,0.4094,0,0,0,0.0000,53.0432,35.9766,5.88,29.63,-6.64,-0.0564
1.655,0.3238,0.2751,0.3725,0,0,0,0.0000,49.9477,34.1919,5.75,30.78,-6.09,-0.0560
1.678,0.3176,0.3038,0.3315,0,0,0,0.0000,50.0420,33.0393,4.88,29.26,-6.40,-0.0573
1.704,0.3323,0.3026,0.3620,0,0,0,0.0000,49.1747,33.1871,4.02,30.46,-6.52,-0.0567
1.718,0.3233,0.2886,0.3579,0,0,0,0.0000,50.6628,34.1438,3.35,28.87,-6.96,-0.0584
1.738,0.3291,0.2882,0.3701,0,0,0,0.0000,50.1559,33.0745,3.20,29.35,-7.14,-0.0579
1.758,0.3327,0.2802,0.3853,0,0,0,0.0000,51.8883,34.4800,3.21,29.78,-6.69,-0.0582
1.778,0.3282,0.2824,0.3740,0,0,0,0.0000,49.1854,36.4968,1.90,30.14,-6.45,-0.0597
1.799,0.3308,0.3020,0.3595,0,0,0,0.0000,51.0163,37.7647,1.55,28.64,-5.99,-0.0604
1.828,0.3524,0.3040,0.4009,0,0,0,0.0000,52.8877,36.5811,1.59,30.82,-5.35,-0.0599
1.848,0.3260,0.2863,0.3657,0,0,0,0.0000,51.8271,39.0934,0.17,29.13,-5.96,-0.0611
1.868,0.3305,0.2914,0.3697,0,0,0,0.0000,52.7449,37.9986,0.79,30.20,-5.26,-0.0621
1.888,0.2997,0.2755,0.3239,0,0,0,0.0000,55.1235,38.3063,-0.51,28.64,-5.72,-0.0630
1.908,0.3032,0.2774,0.3291,0,0,0,0.0000,54.2541,39.1071,-0.40,28.60,-5.74,-0.0640
1.928,0.3179,0.2881,0.3477,0,0,0,0.0000,55.1782,40.6045,-0.62,28.25,-5.49,-0.0637
1.948,0.3080,0.2861,0.3298,0,0,0,0.0000,57.4819,43.2299,0.55,27.63,-5.83,-0.0641
1.968,0.3204,0.2806,0.3602,0,0,0,0.0000,56.2144,45.6472,0.28,27.48,-6.16,-0.0639
1.996,0.2992,0.2838,0.3147,0,0,0,0.0000,56.1362,45.3029,0.01,26.80,-6.84,-0.0636
2.035,0.3020,0.2884,0.3156,0,0,0,0.0000,58.4586,43.3575,0.52,26.34,-6.39,-0.0637
2.071,0.2863,0.2600,0.3126,0,0,0,0.0000,53.5666,46.2814,0.13,25.58,-7.25,-0.0643
2.102,0.2896,0.2626,0.3167,0,0,0,0.0000,54.3476,43.5565,-0.46,24.94,-7.58,-0.0642
2.120,0.2936,0.2758,0.3114,0,0,0,0.0000,55.6274,46.3198,-0.36,25.28,-7.27,-0.0649
2.166,0.2954,0.2927,0.2980,0,0,0,0.0000,54.4412,45.6587,-0.22,25.41,-7.28,-0.0649
