timestamp_sec,avg_ear,left_ear,right_ear,is_blinking_frame,closed_frame_counter,blink_count_total,blink_rate_bps,left_pupil_diameter,right_pupil_diameter,head_pitch,head_yaw,head_roll,nose_z
0.057,0.3601,0.2977,0.4225,0,0,0,0.0000,42.8585,33.8174,6.93,31.81,175.19,-0.0455
0.074,0.3506,0.3007,0.4006,0,0,0,0.0000,35.5624,32.2975,6.16,33.34,176.21,-0.0443
0.093,0.3721,0.3041,0.4401,0,0,0,0.0000,36.2046,33.7093,5.99,32.69,176.27,-0.0452
0.114,0.3639,0.3089,0.4190,0,0,0,0.0000,36.0054,33.0440,5.74,32.31,176.82,-0.0452
0.140,0.3550,0.3069,0.4031,0,0,0,0.0000,36.0975,31.8785,6.09,32.08,177.55,-0.0449
0.156,0.3422,0.2949,0.3896,0,0,0,0.0000,36.2524,33.7117,6.25,31.47,178.13,-0.0452
0.172,0.3300,0.3105,0.3496,0,0,0,0.0000,40.0402,35.7563,5.52,31.25,178.40,-0.0452
0.201,0.3543,0.3189,0.3897,0,0,0,0.0000,40.6240,38.0619,5.43,30.22,178.41,-0.0450
0.204,0.3617,0.3207,0.4027,0,0,0,0.0000,40.6076,38.6521,4.79,29.07,178.77,-0.0455
0.227,0.3578,0.3219,0.3938,0,0,0,0.0000,40.7816,37.8372,4.72,29.02,179.20,-0.0459
0.248,0.3587,0.3212,0.3962,0,0,0,0.0000,41.3425,38.4014,4.19,28.40,179.73,-0.0454
0.258,0.3601,0.3188,0.4014,0,0,0,0.0000,40.7980,37.4346,3.60,28.92,-179.60,-0.0461
0.267,0.3568,0.3202,0.3934,0,0,0,0.0000,40.5144,37.7900,3.43,27.89,-179.18,-0.0458
0.292,0.3643,0.3156,0.4130,0,0,0,0.0000,41.3221,38.8112,3.00,27.91,-179.12,-0.0470
0.300,0.3707,0.3175,0.4240,0,0,0,0.0000,41.5641,38.2471,3.23,27.38,-179.74,-0.0465
0.324,0.3727,0.3195,0.4258,0,0,0,0.0000,41.5304,38.3696,4.03,27.02,-179.77,-0.0472
0.331,0.3606,0.3187,0.4024,0,0,0,0.0000,41.8330,38.4334,4.39,26.99,179.50,-0.0466
0.352,0.3557,0.3246,0.3868,0,0,0,0.0000,40.8221,38.5644,4.82,26.73,179.20,-0.0467
0.362,0.3490,0.3127,0.3852,0,0,0,0.0000,41.4564,36.8337,5.03,26.54,179.06,-0.0465
0.379,0.3456,0.3054,0.3858,0,0,0,0.0000,39.0623,35.2300,5.83,26.48,178.86,-0.0465
0.406,0.3362,0.2862,0.3862,0,0,0,0.0000,37.1292,33.0741,6.15,26.45,178.86,-0.0463
0.410,0.3388,0.2931,0.3846,0,0,0,0.0000,38.6696,32.7074,6.04,26.85,178.89,-0.0466
0.432,0.3407,0.2914,0.3901,0,0,0,0.0000,39.1661,32.2433,7.54,42.72,-1.06,-0.0467
0.442,0.3327,0.2770,0.3883,0,0,0,0.0000,39.8015,32.0551,7.33,42.61,-0.86,-0.0464
0.458,0.3315,0.2795,0.3835,0,0,0,0.0000,37.5615,31.3189,6.82,42.02,-0.67,-0.0469
0.475,0.3148,0.2685,0.3611,0,0,0,0.0000,37.4053,33.4996,6.97,41.92,-0.16,-0.0465
0.498,0.3225,0.2648,0.3801,0,0,0,0.0000,35.7283,32.9561,4.60,26.11,179.48,-0.0466
0.506,0.3228,0.2588,0.3869,0,0,0,0.0000,35.7952,31.6132,4.67,26.68,179.16,-0.0470
0.524,0.3260,0.2581,0.3939,0,0,0,0.0000,35.2601,30.5632,5.22,26.87,179.20,-0.0462
0.550,0.3195,0.2639,0.3751,0,0,0,0.0000,35.1275,31.4762,4.62,27.33,178.61,-0.0461
0.579,0.3155,0.2520,0.3790,0,0,0,0.0000,34.5944,31.2865,4.92,28.28,178.49,-0.0461
0.601,0.3254,0.2727,0.3781,0,0,0,0.0000,34.6735,33.2226,6.63,28.11,178.64,-0.0453
0.620,0.3119,0.2602,0.3635,0,0,0,0.0000,34.0119,31.7799,6.42,28.40,178.43,-0.0451
0.640,0.2635,0.2331,0.2939,0,0,0,0.0000,36.8363,32.8932,6.16,27.39,177.57,-0.0450
0.663,0.2299,0.1892,0.2706,0,0,0,0.0000,36.9389,33.1057,5.41,26.77,176.70,-0.0454
0.681,0.2059,0.1850,0.2267,1,1,0,0.0000,35.7191,32.5285,6.90,27.12,176.23,-0.0446
0.703,0.2220,0.1793,0.2646,0,0,0,0.0000,35.2759,33.3964,7.03,27.04,176.09,-0.0451
0.724,0.2349,0.1917,0.2780,0,0,0,0.0000,35.7949,33.8485,9.49,26.21,176.18,-0.0444
0.742,0.2216,0.2040,0.2392,0,0,0,0.0000,36.4557,31.5672,9.37,26.31,175.90,-0.0442
0.764,0.2183,0.2089,0.2276,1,1,0,0.0000,36.7567,33.1393,10.86,25.87,175.90,-0.0438
0.784,0.2379,0.2182,0.2576,0,0,0,0.0000,35.4284,33.5773,11.26,26.96,175.84,-0.0436
0.802,0.2430,0.2149,0.2710,0,0,0,0.0000,36.4867,33.1665,11.50,27.04,175.88,-0.0433
0.824,0.2359,0.2069,0.2648,0,0,0,0.0000,37.4419,32.2216,11.85,27.00,175.78,-0.0439
0.844,0.2354,0.2033,0.2676,0,0,0,0.0000,36.6870,33.5072,12.92,27.62,176.03,-0.0432
0.864,0.2317,0.1885,0.2748,0,0,0,0.0000,36.2259,35.1192,13.43,27.54,176.36,-0.0429
0.882,0.2292,0.2020,0.2565,0,0,0,0.0000,35.7779,37.8979,15.77,25.95,175.98,-0.0435
0.902,0.2132,0.1941,0.2322,1,1,0,0.0000,36.7036,36.4854,16.60,25.86,176.72,-0.0431
0.922,0.2102,0.1903,0.2301,1,2,0,0.0000,36.4070,35.9958,15.41,26.44,176.33,-0.0428
0.942,0.2283,0.1945,0.2621,0,0,0,0.0000,36.6939,36.3769,14.76,27.11,176.59,-0.0425
0.964,0.2354,0.1993,0.2715,0,0,0,0.0000,36.8555,32.9812,12.33,28.14,176.65,-0.0429
0.983,0.2319,0.2167,0.2471,0,0,0,0.0000,35.6119,33.3725,12.04,28.68,177.58,-0.0426
1.001,0.2309,0.2075,0.2544,0,0,0,0.0000,38.5717,32.9428,11.00,27.79,178.31,-0.0429
1.022,0.2273,0.1873,0.2674,0,0,0,0.0000,38.2872,34.4717,10.49,26.65,179.17,-0.0432
1.042,0.2391,0.1843,0.2940,0,0,0,0.0000,38.5858,34.6626,10.51,25.67,179.77,-0.0440
1.062,0.2428,0.1936,0.2921,0,0,0,0.0000,38.6273,32.4700,10.97,25.06,-179.91,-0.0446
1.084,0.2261,0.1971,0.2552,0,0,0,0.0000,38.0324,31.0166,11.55,25.22,-179.98,-0.0449
1.107,0.2276,0.1993,0.2560,0,0,0,0.0000,36.1847,31.4140,11.98,25.09,179.93,-0.0448
1.123,0.2293,0.1923,0.2663,0,0,0,0.0000,37.8025,32.2258,11.62,25.11,179.60,-0.0450
1.144,0.2173,0.1908,0.2439,1,1,0,0.0000,37.2495,30.3465,12.06,24.77,179.42,-0.0447
1.162,0.2165,0.1804,0.2527,1,2,0,0.0000,36.9394,29.8362,11.62,24.90,179.19,-0.0447
1.184,0.2229,0.1842,0.2616,0,0,0,0.0000,37.5071,30.2606,11.41,24.91,179.09,-0.0445
1.204,0.2330,0.1948,0.2711,0,0,0,0.0000,37.1008,29.4969,11.11,25.27,179.10,-0.0444
1.221,0.2355,0.1995,0.2715,0,0,0,0.0000,36.9254,29.8350,11.78,25.19,179.23,-0.0442
1.240,0.2381,0.2022,0.2739,0,0,0,0.0000,37.1375,30.0880,11.41,25.25,179.04,-0.0441
1.264,0.2379,0.1950,0.2808,0,0,0,0.0000,37.3031,29.2519,10.93,25.29,178.92,-0.0438
1.284,0.2354,0.1899,0.2809,0,0,0,0.0000,36.8963,28.6109,10.18,25.35,178.67,-0.0438
1.301,0.2368,0.1961,0.2775,0,0,0,0.0000,36.2072,28.7147,10.18,25.36,178.71,-0.0437
1.325,0.2307,0.1989,0.2626,0,0,0,0.0000,36.4394,28.9120,10.29,25.35,178.35,-0.0440
1.345,0.2313,0.2038,0.2587,0,0,0,0.0000,36.4393,29.4208,10.38,25.49,178.01,-0.0440
1.365,0.2220,0.1916,0.2524,0,0,0,0.0000,38.2828,29.7339,10.04,25.19,177.91,-0.0446
1.384,0.2377,0.1988,0.2766,0,0,0,0.0000,36.9785,29.5180,9.66,25.95,177.72,-0.0437
1.401,0.2068,0.1652,0.2484,1,1,0,0.0000,37.1433,30.0577,9.28,26.37,177.80,-0.0436
1.425,0.1216,0.0693,0.1739,1,2,0,0.0000,34.2160,24.4068,8.18,27.26,177.00,-0.0429
1.452,0.1009,0.0540,0.1478,1,3,0,0.0000,30.3669,25.5980,7.39,27.26,176.89,-0.0428
1.472,0.0995,0.0608,0.1381,1,4,0,0.0000,30.0686,26.7904,8.22,26.08,177.18,-0.0435
1.491,0.1303,0.0846,0.1760,1,5,0,0.0000,34.8752,27.2171,7.70,26.21,176.76,-0.0441
1.512,0.2280,0.2002,0.2558,0,0,1,0.6614,34.3743,28.9527,9.30,28.30,177.43,-0.0442
1.534,0.2834,0.2372,0.3296,0,0,1,0.6521,34.5916,28.7089,9.60,28.26,177.82,-0.0438
1.552,0.2984,0.2469,0.3500,0,0,1,0.6444,35.1634,31.4350,10.81,28.32,178.07,-0.0440
1.572,0.3163,0.2684,0.3642,0,0,1,0.6362,33.7488,32.2853,11.68,29.52,178.16,-0.0438
1.592,0.3272,0.2672,0.3873,0,0,1,0.6282,34.4005,30.3896,12.10,30.10,177.31,-0.0439
1.611,0.3222,0.2724,0.3719,0,0,1,0.6209,34.5204,31.3858,12.79,30.45,176.70,-0.0436
1.632,0.3285,0.2778,0.3792,0,0,1,0.6128,34.9579,32.6733,13.43,30.56,176.19,-0.0439
1.651,0.3364,0.2841,0.3886,0,0,1,0.6058,35.1798,32.0196,13.91,32.07,176.14,-0.0432
1.673,0.3397,0.3033,0.3762,0,0,1,0.5976,34.7056,34.3413,15.42,31.59,175.72,-0.0429
1.692,0.3529,0.3175,0.3882,0,0,1,0.5911,34.5759,32.3327,16.20,32.33,176.18,-0.0423
