timestamp_sec,avg_ear,left_ear,right_ear,is_blinking_frame,closed_frame_counter,blink_count_total,blink_rate_bps,left_pupil_diameter,right_pupil_diameter,head_pitch,head_yaw,head_roll,nose_z
0.044,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000
0.064,0.3706,0.2962,0.4451,0,0,0,0.0000,50.5990,47.5105,21.38,38.34,178.28,-0.0638
0.093,0.3454,0.3033,0.3875,0,0,0,0.0000,48.1200,47.0247,20.84,40.33,178.25,-0.0653
0.125,0.3541,0.2934,0.4149,0,0,0,0.0000,50.5064,48.3960,20.39,40.68,177.91,-0.0657
0.156,0.3456,0.2927,0.3986,0,0,0,0.0000,48.4470,47.0325,20.74,40.04,177.82,-0.0661
0.187,0.3402,0.2821,0.3983,0,0,0,0.0000,48.0466,46.2141,19.97,39.61,177.39,-0.0659
0.218,0.2674,0.2401,0.2947,0,0,0,0.0000,42.6954,45.6841,19.55,38.79,176.97,-0.0665
0.250,0.1332,0.1131,0.1532,1,1,0,0.0000,42.1086,44.3466,23.95,34.83,177.67,-0.0666
0.282,0.1206,0.0941,0.1471,1,2,0,0.0000,46.6892,48.3829,24.15,34.51,177.66,-0.0665
0.313,0.1440,0.1243,0.1636,1,3,0,0.0000,46.9292,41.9849,22.82,36.68,177.23,-0.0663
0.344,0.2639,0.2244,0.3034,0,0,1,0.0000,44.7729,44.1671,19.40,39.92,176.66,-0.0660
0.374,0.2925,0.2510,0.3341,0,0,1,0.0000,42.4027,44.8522,17.08,41.46,175.80,-0.0660
0.391,0.3108,0.2547,0.3669,0,0,1,0.0000,45.1357,45.1416,16.52,41.29,175.54,-0.0669
0.422,0.3251,0.2602,0.3900,0,0,1,0.0000,44.6741,44.0266,16.24,42.24,175.52,-0.0667
0.454,0.3311,0.2591,0.4031,0,0,1,0.0000,43.8269,44.7564,14.68,42.74,174.99,-0.0666
0.487,0.3195,0.2634,0.3757,0,0,1,0.0000,44.2234,44.7811,15.30,43.84,175.53,-0.0657
0.515,0.3432,0.2661,0.4202,0,0,1,0.0000,43.7930,44.5828,14.86,43.88,175.46,-0.0661
0.546,0.3388,0.2661,0.4114,0,0,1,0.0000,43.4750,43.5771,14.90,44.51,175.55,-0.0661
0.564,0.3447,0.2733,0.4160,0,0,1,0.0000,46.0820,43.7947,14.41,44.98,175.34,-0.0664
0.596,0.3339,0.2710,0.3967,0,0,1,0.0000,46.0107,43.3462,13.96,45.72,175.29,-0.0663
0.626,0.3375,0.2810,0.3940,0,0,1,0.0000,45.9364,43.2525,14.09,45.87,175.76,-0.0649
0.654,0.3290,0.2803,0.3776,0,0,1,0.0000,44.4844,43.1272,13.98,45.64,176.11,-0.0656
0.687,0.3282,0.2770,0.3793,0,0,1,0.0000,45.0519,43.1783,13.48,45.78,176.58,-0.0661
0.718,0.3338,0.2777,0.3898,0,0,1,0.0000,45.2096,42.3959,13.67,46.07,177.08,-0.0660
0.749,0.3397,0.2689,0.4106,0,0,1,0.0000,45.7048,41.0454,14.30,45.68,177.59,-0.0659
0.781,0.3433,0.2721,0.4145,0,0,1,0.0000,46.1965,40.7928,14.36,45.42,177.95,-0.0655
0.812,0.3287,0.2600,0.3974,0,0,1,0.0000,49.2880,42.5690,12.31,45.84,177.84,-0.0660
0.843,0.3175,0.2566,0.3784,0,0,1,0.0000,54.6061,46.9712,10.92,46.47,177.48,-0.0661
0.875,0.3281,0.2665,0.3896,0,0,1,0.0000,55.8158,50.6555,9.67,47.39,176.83,-0.0660
0.905,0.3301,0.2698,0.3904,0,0,1,0.0000,55.6267,49.4015,10.19,47.50,177.13,-0.0662
0.920,0.3305,0.2761,0.3850,0,0,1,0.0000,56.7079,48.4633,9.76,47.72,177.04,-0.0666
0.952,0.3299,0.2707,0.3891,0,0,1,0.0000,55.8708,48.6222,8.27,48.90,176.56,-0.0665
0.984,0.3294,0.2736,0.3851,0,0,1,0.0000,55.5467,48.6685,7.91,49.60,176.53,-0.0660
1.016,0.3326,0.2775,0.3878,0,0,1,0.9846,55.1851,50.1625,6.91,49.97,176.32,-0.0669
1.046,0.3290,0.2755,0.3825,0,0,1,0.9564,55.9271,50.1031,6.57,50.59,176.49,-0.0666
1.077,0.3268,0.2731,0.3806,0,0,1,0.9286,56.8289,51.0612,6.01,50.90,176.41,-0.0667
1.107,0.3299,0.2677,0.3921,0,0,1,0.9032,56.8410,48.6745,5.41,51.40,176.59,-0.0666
1.139,0.3284,0.2695,0.3874,0,0,1,0.8781,56.6757,49.9208,5.91,51.51,176.87,-0.0671
1.172,0.3268,0.2724,0.3813,0,0,1,0.8530,56.8045,49.3864,6.05,51.08,176.94,-0.0670
1.202,0.3240,0.2802,0.3678,0,0,1,0.8317,57.7924,51.0185,5.03,51.47,176.69,-0.0674
1.235,0.3178,0.2630,0.3727,0,0,1,0.8100,56.9811,49.4851,6.53,51.57,176.64,-0.0668
1.264,0.3189,0.2801,0.3576,0,0,1,0.7909,56.4778,50.2734,5.79,51.64,176.81,-0.0675
