timestamp_sec,avg_ear,left_ear,right_ear,is_blinking_frame,closed_frame_counter,blink_count_total,blink_rate_bps,left_pupil_diameter,right_pupil_diameter,head_pitch,head_yaw,head_roll,nose_z
0.059,0.1836,0.1835,0.1836,1,1,0,0.0000,33.8753,38.2196,3.58,19.76,170.01,-0.0609
0.075,0.3021,0.2660,0.3383,0,0,0,0.0000,43.3201,35.9002,2.25,38.20,168.65,-0.0535
0.090,0.3370,0.3227,0.3513,0,0,0,0.0000,43.0399,37.6892,3.38,37.91,169.76,-0.0530
0.106,0.3301,0.3310,0.3291,0,0,0,0.0000,43.6367,38.8910,4.01,36.75,169.77,-0.0530
0.135,0.3205,0.3201,0.3210,0,0,0,0.0000,43.4013,39.3851,3.76,36.06,169.60,-0.0536
0.168,0.3412,0.3198,0.3627,0,0,0,0.0000,44.0199,38.0744,3.57,36.01,169.70,-0.0541
0.198,0.3188,0.3225,0.3152,0,0,0,0.0000,44.3921,39.4550,3.51,35.26,170.18,-0.0543
0.230,0.3266,0.3171,0.3361,0,0,0,0.0000,45.0768,40.4950,2.98,35.07,169.87,-0.0544
0.261,0.3395,0.3222,0.3568,0,0,0,0.0000,44.5991,41.8205,2.50,35.56,169.85,-0.0547
0.292,0.3438,0.3299,0.3577,0,0,0,0.0000,44.9478,41.9049,2.45,34.99,170.10,-0.0551
0.323,0.3405,0.3284,0.3525,0,0,0,0.0000,45.8963,41.2712,2.69,34.88,169.97,-0.0550
0.353,0.3376,0.3245,0.3508,0,0,0,0.0000,45.5006,42.3296,1.78,35.31,169.82,-0.0549
0.385,0.3330,0.3189,0.3471,0,0,0,0.0000,45.9190,42.2447,0.47,36.19,169.48,-0.0541
0.416,0.3308,0.3199,0.3418,0,0,0,0.0000,46.6192,41.6758,-0.24,36.60,169.48,-0.0532
0.445,0.2934,0.2883,0.2985,0,0,0,0.0000,44.0656,39.5399,-0.94,36.00,169.65,-0.0530
0.460,0.2491,0.2366,0.2616,0,0,0,0.0000,38.1441,31.8494,-1.23,34.70,169.40,-0.0524
0.477,0.2204,0.1803,0.2606,0,0,0,0.0000,37.1190,31.9129,5.15,32.80,-7.58,-0.0518
0.509,0.2116,0.1709,0.2524,1,1,0,0.0000,36.3423,31.4201,5.81,32.18,-7.08,-0.0513
0.542,0.2186,0.1872,0.2500,1,2,0,0.0000,37.9166,31.7323,5.76,32.25,-7.61,-0.0510
0.571,0.2096,0.1713,0.2479,1,3,0,0.0000,37.5456,31.7831,-0.84,33.09,169.61,-0.0513
0.601,0.1993,0.1531,0.2454,1,4,0,0.0000,37.0947,33.0857,-1.65,33.25,169.16,-0.0514
0.632,0.2073,0.1704,0.2443,1,5,0,0.0000,37.2361,31.9524,-0.93,33.12,169.72,-0.0511
0.663,0.2032,0.1591,0.2472,1,6,0,0.0000,37.5363,31.3044,-0.41,33.31,169.94,-0.0510
0.695,0.2067,0.1692,0.2443,1,7,0,0.0000,37.9158,31.3722,-0.84,33.81,170.16,-0.0505
0.727,0.2046,0.1628,0.2463,1,8,0,0.0000,38.1619,32.5789,-1.33,34.20,170.29,-0.0507
0.759,0.2058,0.1608,0.2508,1,9,0,0.0000,39.5092,31.6532,-0.95,34.93,170.18,-0.0507
0.789,0.2083,0.1604,0.2563,1,10,0,0.0000,37.3207,33.7801,-1.39,34.45,170.33,-0.0505
0.820,0.2081,0.1628,0.2535,1,11,0,0.0000,39.1870,32.6434,-1.04,34.40,170.54,-0.0505
0.851,0.2108,0.1600,0.2616,1,12,0,0.0000,38.0685,33.2280,-1.26,35.22,170.41,-0.0509
0.882,0.2037,0.1391,0.2682,1,13,0,0.0000,37.0271,32.3074,0.10,35.31,170.83,-0.0523
0.898,0.1927,0.1465,0.2388,1,14,0,0.0000,38.8793,31.8915,1.26,34.78,171.34,-0.0521
0.930,0.1903,0.1270,0.2536,1,15,0,0.0000,37.6670,31.9812,1.42,33.03,171.32,-0.0525
0.961,0.1974,0.1356,0.2592,1,16,0,0.0000,37.2624,33.0198,0.75,33.16,171.14,-0.0512
0.993,0.1918,0.1340,0.2495,1,17,0,0.0000,37.5209,33.5560,0.27,33.60,170.99,-0.0508
1.023,0.1874,0.1320,0.2427,1,18,0,0.0000,37.5987,33.6329,0.35,33.39,171.14,-0.0510
1.053,0.2006,0.1559,0.2453,1,19,0,0.0000,38.5706,33.3360,0.11,33.95,171.00,-0.0507
1.070,0.2091,0.1607,0.2574,1,20,0,0.0000,38.6883,33.8454,0.43,33.54,171.14,-0.0507
1.100,0.1870,0.1218,0.2522,1,21,0,0.0000,37.1277,34.3459,0.29,34.01,170.87,-0.0509
1.130,0.1993,0.1440,0.2546,1,22,0,0.0000,39.1267,33.8620,1.26,33.75,171.47,-0.0513
1.164,0.2034,0.1622,0.2446,1,23,0,0.0000,39.1920,33.4934,1.46,32.98,171.25,-0.0513
1.194,0.1986,0.1488,0.2485,1,24,0,0.0000,38.6889,33.6792,0.85,33.61,171.32,-0.0510
1.226,0.2053,0.1484,0.2621,1,25,0,0.0000,38.8543,34.0153,1.38,33.36,171.47,-0.0510
1.254,0.2089,0.1564,0.2615,1,26,0,0.0000,38.9638,34.3855,1.28,32.93,171.29,-0.0511
1.272,0.2012,0.1394,0.2629,1,27,0,0.0000,39.9814,34.2595,1.12,32.77,171.71,-0.0516
1.302,0.2043,0.1445,0.2641,1,28,0,0.0000,38.0041,34.5866,1.38,32.45,171.61,-0.0517
1.333,0.2074,0.1586,0.2563,1,29,0,0.0000,37.3839,34.9014,1.55,32.08,171.51,-0.0517
1.363,0.1972,0.1423,0.2522,1,30,0,0.0000,38.0527,35.2212,1.16,31.60,171.55,-0.0517
1.394,0.2036,0.1583,0.2490,1,31,0,0.0000,37.8530,34.5897,1.71,31.21,171.45,-0.0521
1.426,0.1372,0.1185,0.1560,1,32,0,0.0000,37.9967,34.7111,1.16,31.16,171.17,-0.0516
1.458,0.0934,0.0771,0.1096,1,33,0,0.0000,34.9942,35.5751,1.12,31.23,171.03,-0.0515
1.486,0.2445,0.2442,0.2448,0,0,1,0.6728,41.7393,33.9336,1.30,33.39,171.39,-0.0513
1.504,0.2891,0.2918,0.2865,0,0,1,0.6650,45.1401,38.6172,0.71,33.11,170.99,-0.0530
1.535,0.3255,0.3142,0.3367,0,0,1,0.6515,44.0478,40.3264,0.19,32.77,170.86,-0.0534
1.550,0.3380,0.3318,0.3443,0,0,1,0.6452,43.6915,40.0126,0.04,33.47,170.87,-0.0537
1.584,0.3454,0.3326,0.3582,0,0,1,0.6313,43.6572,39.9717,0.77,33.91,171.13,-0.0537
1.615,0.3290,0.3141,0.3439,0,0,1,0.6193,45.1323,40.5718,0.66,32.81,171.10,-0.0549
1.634,0.3171,0.3118,0.3225,0,0,1,0.6119,45.3910,42.0899,0.32,32.54,171.27,-0.0544
1.650,0.3100,0.2991,0.3210,0,0,1,0.6061,44.4184,42.7065,1.13,31.78,171.59,-0.0552
1.673,0.3180,0.3043,0.3317,0,0,1,0.5976,43.8057,42.5597,1.86,30.90,171.88,-0.0555
1.693,0.3133,0.3077,0.3190,0,0,1,0.5906,43.6398,42.5347,1.47,30.64,172.22,-0.0554
1.712,0.3142,0.3075,0.3208,0,0,1,0.5842,43.0420,42.0507,1.41,29.02,172.38,-0.0556
1.733,0.2961,0.3021,0.2902,0,0,1,0.5770,44.6010,37.8341,1.91,28.97,172.82,-0.0552
1.753,0.2998,0.3006,0.2990,0,0,1,0.5704,34.5784,32.9171,2.37,28.70,172.77,-0.0554
1.773,0.3092,0.3094,0.3090,0,0,1,0.5639,34.6823,33.7480,2.15,28.40,172.86,-0.0551
1.793,0.3066,0.3053,0.3079,0,0,1,0.5576,37.4515,32.3308,2.65,28.26,173.23,-0.0551
1.814,0.3087,0.3095,0.3080,0,0,1,0.5513,38.0946,32.0633,3.29,27.98,173.26,-0.0553
1.834,0.3003,0.3095,0.2911,0,0,1,0.5452,38.6556,32.0834,2.39,28.44,172.87,-0.0549
1.854,0.2976,0.3047,0.2905,0,0,1,0.5394,36.1292,32.2228,2.72,28.16,172.60,-0.0549
1.872,0.3049,0.3189,0.2909,0,0,1,0.5341,37.3184,33.9508,2.65,27.90,172.38,-0.0550
1.896,0.3006,0.2879,0.3133,0,0,1,0.5275,38.0386,33.2021,2.71,28.68,172.59,-0.0547
1.911,0.3138,0.3098,0.3179,0,0,1,0.5234,37.9229,33.6896,2.24,28.73,172.34,-0.0552
1.939,0.3047,0.2964,0.3129,0,0,1,0.5158,37.3044,33.6924,2.74,28.40,172.58,-0.0551
1.971,0.3070,0.3010,0.3130,0,0,1,0.5074,36.4113,33.7558,2.57,28.57,172.68,-0.0555
2.003,0.3040,0.3014,0.3065,0,0,1,0.4993,36.1560,34.1233,1.72,28.88,172.25,-0.0551
2.033,0.3045,0.3003,0.3087,0,0,1,0.4919,37.6606,34.8050,2.40,29.38,172.31,-0.0552
2.049,0.3059,0.2961,0.3157,0,0,1,0.4881,36.3886,34.9382,2.78,28.85,172.65,-0.0556
2.066,0.3117,0.3014,0.3220,0,0,1,0.4841,36.4733,35.2066,4.18,28.90,173.03,-0.0559
2.098,0.3138,0.3000,0.3276,0,0,1,0.4765,36.4167,35.4210,4.10,28.55,173.12,-0.0559
2.123,0.2977,0.2959,0.2996,0,0,1,0.4711,42.2517,37.1268,3.32,28.14,172.55,-0.0563
2.136,0.2923,0.2736,0.3111,0,0,1,0.4682,42.9934,37.1066,2.67,28.67,172.86,-0.0561
2.160,0.3014,0.2811,0.3217,0,0,1,0.4629,41.9025,37.4528,2.38,29.22,172.81,-0.0558
2.193,0.2941,0.2650,0.3232,0,0,1,0.4561,42.5418,36.8067,3.47,28.14,172.96,-0.0558
2.209,0.2910,0.2797,0.3023,0,0,1,0.4528,42.7045,36.9292,3.18,28.13,172.77,-0.0555
2.241,0.2899,0.2714,0.3083,0,0,1,0.4463,42.2455,33.8732,2.66,29.25,172.93,-0.0558
