timestamp_sec,avg_ear,left_ear,right_ear,is_blinking_frame,closed_frame_counter,blink_count_total,blink_rate_bps,left_pupil_diameter,right_pupil_diameter,head_pitch,head_yaw,head_roll,nose_z
0.064,0.4175,0.3292,0.5059,0,0,0,0.0000,48.3443,41.0653,6.70,34.25,175.79,-0.0507
0.150,0.3859,0.3200,0.4518,0,0,0,0.0000,47.0311,41.2828,5.52,32.36,175.26,-0.0540
0.168,0.3962,0.3176,0.4747,0,0,0,0.0000,46.9066,41.4198,5.05,32.40,174.97,-0.0529
0.186,0.3959,0.3305,0.4612,0,0,0,0.0000,48.1393,41.6607,4.55,32.12,174.63,-0.0531
0.204,0.3959,0.3332,0.4586,0,0,0,0.0000,47.7703,40.7274,4.83,32.23,174.75,-0.0531
0.224,0.3826,0.3127,0.4524,0,0,0,0.0000,47.6094,42.1653,5.70,31.77,174.95,-0.0536
0.242,0.3833,0.3355,0.4310,0,0,0,0.0000,48.0419,41.6974,5.18,31.45,174.74,-0.0544
0.260,0.3809,0.3324,0.4294,0,0,0,0.0000,47.4940,41.8443,5.12,31.20,174.86,-0.0547
0.277,0.3916,0.3365,0.4467,0,0,0,0.0000,47.2063,40.1716,5.92,31.58,175.35,-0.0551
0.294,0.3876,0.3310,0.4442,0,0,0,0.0000,48.3549,40.4142,5.02,31.76,175.17,-0.0545
0.312,0.3732,0.3166,0.4298,0,0,0,0.0000,48.3692,40.8993,4.76,31.96,175.03,-0.0550
0.329,0.3771,0.3132,0.4410,0,0,0,0.0000,45.7404,41.4937,4.70,32.28,174.84,-0.0546
0.345,0.3939,0.3222,0.4656,0,0,0,0.0000,42.1673,40.3860,4.73,33.38,174.67,-0.0541
0.362,0.3931,0.3252,0.4610,0,0,0,0.0000,39.9846,33.2724,3.57,34.33,173.97,-0.0531
0.379,0.4017,0.3331,0.4704,0,0,0,0.0000,41.3249,34.2688,3.11,34.20,173.68,-0.0532
0.395,0.4055,0.3319,0.4792,0,0,0,0.0000,39.8200,35.6244,3.14,34.48,173.57,-0.0537
0.413,0.4024,0.3317,0.4731,0,0,0,0.0000,39.5564,35.8843,2.46,34.63,173.49,-0.0535
0.430,0.4111,0.3369,0.4852,0,0,0,0.0000,39.1697,35.5675,2.35,34.82,173.23,-0.0528
0.445,0.4122,0.3358,0.4887,0,0,0,0.0000,39.5882,35.0401,2.55,34.75,173.62,-0.0536
0.463,0.4039,0.3330,0.4748,0,0,0,0.0000,40.5205,34.7809,2.73,35.11,173.20,-0.0527
0.480,0.4141,0.3350,0.4932,0,0,0,0.0000,40.1373,34.9514,2.99,34.85,173.60,-0.0536
0.497,0.3967,0.3335,0.4598,0,0,0,0.0000,41.4356,32.8053,2.35,35.88,173.28,-0.0521
0.514,0.3926,0.3295,0.4557,0,0,0,0.0000,39.5555,33.4712,2.96,35.51,173.53,-0.0531
0.531,0.4149,0.3363,0.4936,0,0,0,0.0000,40.7464,35.9233,2.23,35.68,173.24,-0.0527
0.548,0.3920,0.3100,0.4741,0,0,0,0.0000,39.2207,34.6269,2.32,35.38,173.40,-0.0528
0.564,0.3945,0.3079,0.4811,0,0,0,0.0000,39.9823,35.9910,2.36,34.99,173.59,-0.0526
0.581,0.3855,0.3120,0.4590,0,0,0,0.0000,39.9456,35.6049,7.28,47.79,-4.52,-0.0527
0.601,0.3713,0.2810,0.4615,0,0,0,0.0000,40.2575,35.8423,6.75,46.54,-4.91,-0.0531
0.618,0.3617,0.2986,0.4247,0,0,0,0.0000,39.1149,36.9204,7.22,46.18,-4.76,-0.0545
0.636,0.3758,0.2990,0.4525,0,0,0,0.0000,39.8035,33.7485,2.46,33.68,173.54,-0.0533
0.656,0.3609,0.2791,0.4427,0,0,0,0.0000,38.2983,36.5390,4.47,32.81,173.96,-0.0548
0.674,0.3628,0.2725,0.4530,0,0,0,0.0000,37.9527,33.6573,4.03,32.31,173.76,-0.0550
0.694,0.3466,0.2739,0.4192,0,0,0,0.0000,36.8881,36.3489,4.97,31.76,174.29,-0.0562
0.714,0.3606,0.2697,0.4516,0,0,0,0.0000,37.6571,35.0780,5.58,30.47,174.63,-0.0566
0.733,0.3493,0.2791,0.4195,0,0,0,0.0000,36.7557,33.5882,4.82,31.16,174.73,-0.0565
0.751,0.3421,0.2504,0.4337,0,0,0,0.0000,36.0852,34.1012,4.34,31.27,174.17,-0.0566
0.769,0.3419,0.2582,0.4255,0,0,0,0.0000,35.9543,33.6893,3.92,31.39,174.59,-0.0563
0.786,0.3393,0.2560,0.4226,0,0,0,0.0000,34.2455,34.5148,7.58,45.15,-4.14,-0.0563
0.803,0.3539,0.2614,0.4463,0,0,0,0.0000,33.8921,33.0158,4.52,31.14,174.99,-0.0560
0.822,0.3230,0.2406,0.4053,0,0,0,0.0000,34.3254,30.6567,6.12,30.29,175.52,-0.0573
0.840,0.3272,0.2453,0.4092,0,0,0,0.0000,30.7487,25.8989,5.99,31.11,175.54,-0.0562
0.856,0.3251,0.2209,0.4293,0,0,0,0.0000,32.7552,29.2238,9.50,44.49,-3.64,-0.0574
0.874,0.3188,0.2413,0.3964,0,0,0,0.0000,30.6086,27.7458,6.26,30.21,175.52,-0.0565
0.892,0.3302,0.2324,0.4279,0,0,0,0.0000,33.6735,29.1421,6.70,29.76,175.77,-0.0578
0.910,0.3113,0.2333,0.3893,0,0,0,0.0000,31.5560,26.4943,6.73,29.72,175.76,-0.0568
0.927,0.3313,0.2376,0.4250,0,0,0,0.0000,34.4192,29.7671,6.98,29.62,175.89,-0.0581
0.943,0.3043,0.2252,0.3833,0,0,0,0.0000,29.8921,23.3620,6.07,30.07,175.47,-0.0567
0.962,0.3279,0.2299,0.4259,0,0,0,0.0000,29.9783,24.6804,7.33,29.30,175.69,-0.0576
0.979,0.3022,0.2128,0.3916,0,0,0,0.0000,28.2885,26.1426,7.63,28.80,176.04,-0.0575
0.996,0.3157,0.2198,0.4117,0,0,0,0.0000,30.3977,26.7302,6.91,29.40,175.63,-0.0576
1.013,0.3148,0.2333,0.3962,0,0,0,0.0000,29.5674,26.9704,6.55,29.62,175.59,-0.0570
1.032,0.3306,0.2269,0.4343,0,0,0,0.0000,33.4805,26.2465,6.67,29.46,175.41,-0.0569
1.048,0.3150,0.2232,0.4068,0,0,0,0.0000,28.7802,25.2936,6.37,30.93,175.21,-0.0569
1.067,0.3324,0.2208,0.4441,0,0,0,0.0000,28.4170,24.1597,6.09,31.11,174.88,-0.0564
1.085,0.3112,0.1980,0.4244,0,0,0,0.0000,28.7552,23.5126,6.71,31.10,175.07,-0.0563
1.107,0.3239,0.2316,0.4163,0,0,0,0.0000,27.3883,22.6681,6.85,31.73,175.31,-0.0556
1.123,0.3211,0.1944,0.4478,0,0,0,0.0000,28.2904,23.3375,7.13,31.02,175.60,-0.0564
1.141,0.3125,0.1999,0.4250,0,0,0,0.0000,26.7533,20.7757,7.01,30.91,175.90,-0.0561
1.159,0.3115,0.1909,0.4320,0,0,0,0.0000,28.9373,24.9265,7.25,30.57,175.88,-0.0562
1.177,0.3064,0.2025,0.4103,0,0,0,0.0000,26.2881,22.3936,7.68,30.60,175.94,-0.0560
1.195,0.3066,0.1909,0.4223,0,0,0,0.0000,28.4204,27.2089,6.96,30.67,175.71,-0.0560
1.213,0.3215,0.2293,0.4137,0,0,0,0.0000,27.6232,18.9772,8.17,31.80,176.19,-0.0554
1.230,0.3089,0.2050,0.4129,0,0,0,0.0000,30.7590,23.4133,7.62,30.67,175.42,-0.0554
1.248,0.3132,0.2023,0.4240,0,0,0,0.0000,25.9416,20.3574,8.04,31.38,176.11,-0.0555
1.264,0.3057,0.2027,0.4087,0,0,0,0.0000,32.4428,23.6888,7.18,31.41,175.11,-0.0557
1.281,0.3154,0.2089,0.4219,0,0,0,0.0000,25.7226,22.0953,7.09,31.84,175.30,-0.0555
1.298,0.3274,0.2184,0.4363,0,0,0,0.0000,34.4504,21.0049,5.55,33.36,174.48,-0.0539
1.314,0.3347,0.2313,0.4380,0,0,0,0.0000,34.3181,23.9552,4.61,32.70,174.48,-0.0543
1.332,0.3216,0.2162,0.4271,0,0,0,0.0000,31.6042,22.6303,4.64,33.73,174.71,-0.0537
1.349,0.3403,0.2363,0.4443,0,0,0,0.0000,34.2853,27.3483,8.58,46.44,-4.24,-0.0540
1.366,0.3132,0.1992,0.4272,0,0,0,0.0000,29.5246,23.0195,7.54,47.18,-3.83,-0.0535
1.383,0.3152,0.1829,0.4475,0,0,0,0.0000,31.3888,22.2768,5.92,47.67,-4.34,-0.0533
1.400,0.3344,0.2065,0.4622,0,0,0,0.0000,32.8881,21.4418,5.13,48.32,-4.35,-0.0528
1.416,0.3126,0.1796,0.4455,0,0,0,0.0000,33.8326,20.9315,4.28,48.42,-4.71,-0.0524
1.432,0.3232,0.1992,0.4472,0,0,0,0.0000,32.1076,17.9863,4.38,48.68,-4.55,-0.0523
1.450,0.3411,0.2071,0.4752,0,0,0,0.0000,30.0745,19.3277,5.86,49.20,-3.28,-0.0525
1.466,0.3418,0.2160,0.4676,0,0,0,0.0000,31.9214,21.4992,6.39,48.62,-4.08,-0.0523
1.482,0.3226,0.2121,0.4331,0,0,0,0.0000,30.5968,22.6784,5.57,49.33,-3.95,-0.0519
1.500,0.2438,0.1501,0.3375,0,0,0,0.0000,31.8779,22.2472,5.07,48.01,-4.68,-0.0536
