timestamp_sec,avg_ear,left_ear,right_ear,is_blinking_frame,closed_frame_counter,blink_count_total,blink_rate_bps,left_pupil_diameter,right_pupil_diameter,head_pitch,head_yaw,head_roll,nose_z
0.047,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000
0.068,0.3653,0.3231,0.4075,0,0,0,0.0000,44.2081,24.9514,3.18,46.81,-8.32,-0.0565
0.090,0.3433,0.3270,0.3597,0,0,0,0.0000,45.0763,28.2149,5.27,45.27,-9.16,-0.0576
0.111,0.3241,0.3008,0.3474,0,0,0,0.0000,45.1134,33.0317,5.75,44.95,-9.56,-0.0570
0.126,0.3416,0.3045,0.3788,0,0,0,0.0000,49.9957,37.0863,4.53,43.09,-12.11,-0.0578
0.150,0.3179,0.2994,0.3364,0,0,0,0.0000,48.0524,35.9344,1.53,41.60,-14.58,-0.0587
0.174,0.3440,0.3252,0.3629,0,0,0,0.0000,48.2126,35.7617,0.23,40.65,-15.93,-0.0595
0.213,0.3424,0.3224,0.3624,0,0,0,0.0000,48.2539,36.0568,-1.19,40.21,-17.01,-0.0601
0.245,0.3359,0.3143,0.3576,0,0,0,0.0000,48.9134,35.8861,-2.08,39.88,-17.45,-0.0596
0.254,0.3341,0.3047,0.3635,0,0,0,0.0000,48.8005,36.3557,-2.66,40.30,-18.19,-0.0595
0.269,0.3470,0.3035,0.3905,0,0,0,0.0000,48.7689,37.7466,-2.30,41.55,-17.95,-0.0590
0.313,0.3414,0.3159,0.3670,0,0,0,0.0000,51.5788,41.9855,-2.49,41.32,-18.20,-0.0597
0.332,0.3216,0.3016,0.3415,0,0,0,0.0000,52.1358,46.5737,-3.03,40.95,-18.23,-0.0597
0.364,0.3239,0.3036,0.3442,0,0,0,0.0000,52.5784,44.9277,-3.20,41.20,-18.35,-0.0595
0.398,0.3283,0.3050,0.3515,0,0,0,0.0000,53.4050,45.6480,-3.20,40.17,-18.74,-0.0602
0.427,0.3236,0.3121,0.3351,0,0,0,0.0000,52.5710,46.3176,-4.71,39.76,-19.41,-0.0602
0.459,0.3219,0.2911,0.3526,0,0,0,0.0000,51.1851,45.0370,-2.94,39.79,-19.05,-0.0607
0.503,0.3158,0.2967,0.3349,0,0,0,0.0000,51.7258,46.1213,-5.05,38.32,-20.05,-0.0610
0.513,0.3192,0.2871,0.3513,0,0,0,0.0000,51.3928,46.3821,-4.29,38.66,-19.98,-0.0610
0.532,0.3046,0.2772,0.3321,0,0,0,0.0000,50.8549,47.3788,-4.91,38.17,-20.59,-0.0609
0.559,0.3034,0.2819,0.3249,0,0,0,0.0000,50.5816,47.1824,-4.33,38.18,-20.37,-0.0613
0.576,0.2963,0.2887,0.3038,0,0,0,0.0000,50.8044,48.8299,-5.33,37.67,-20.34,-0.0618
0.596,0.3055,0.2882,0.3227,0,0,0,0.0000,50.4768,47.2406,-4.77,37.40,-20.23,-0.0616
0.621,0.3010,0.2805,0.3215,0,0,0,0.0000,50.6693,47.3944,-4.96,37.05,-20.16,-0.0619
0.639,0.3044,0.2795,0.3292,0,0,0,0.0000,50.8528,47.2997,-4.56,37.54,-19.93,-0.0620
0.658,0.3039,0.2694,0.3383,0,0,0,0.0000,50.6792,46.2284,-3.53,38.28,-19.19,-0.0618
0.679,0.3118,0.2990,0.3245,0,0,0,0.0000,52.2444,47.2000,-4.80,38.34,-19.64,-0.0612
0.700,0.3111,0.2805,0.3417,0,0,0,0.0000,53.4544,44.9030,-4.44,38.95,-19.59,-0.0613
0.718,0.3135,0.3185,0.3086,0,0,0,0.0000,50.0198,46.9737,-3.58,39.14,-19.43,-0.0613
0.740,0.3142,0.3308,0.2976,0,0,0,0.0000,50.2132,47.7961,-2.81,38.60,-19.32,-0.0613
0.758,0.3093,0.3006,0.3180,0,0,0,0.0000,51.1598,47.4184,-3.25,37.90,-19.48,-0.0618
0.778,0.3210,0.3118,0.3301,0,0,0,0.0000,51.0840,47.4171,-3.32,37.84,-19.33,-0.0615
0.798,0.3202,0.3078,0.3327,0,0,0,0.0000,51.3335,47.7747,-3.48,37.57,-18.99,-0.0615
0.819,0.3118,0.3063,0.3172,0,0,0,0.0000,51.1052,47.5060,-3.99,37.16,-19.19,-0.0619
0.840,0.3142,0.2926,0.3358,0,0,0,0.0000,50.6306,47.3435,-4.00,37.21,-19.25,-0.0621
0.859,0.3181,0.3172,0.3189,0,0,0,0.0000,52.2648,46.3036,-3.66,37.14,-18.97,-0.0622
0.878,0.3183,0.3155,0.3210,0,0,0,0.0000,52.0365,46.4473,-3.70,36.66,-18.97,-0.0624
0.898,0.3293,0.3183,0.3402,0,0,0,0.0000,53.1398,45.4981,-3.55,36.35,-18.75,-0.0621
0.920,0.3247,0.3166,0.3328,0,0,0,0.0000,52.4093,46.4146,-3.75,36.09,-18.96,-0.0622
0.938,0.3173,0.3027,0.3319,0,0,0,0.0000,52.0333,44.7145,-3.82,36.54,-18.85,-0.0619
0.961,0.3166,0.3082,0.3250,0,0,0,0.0000,52.9099,44.6058,-4.44,36.59,-19.03,-0.0623
0.979,0.3165,0.3041,0.3288,0,0,0,0.0000,52.6970,44.3316,-3.99,36.80,-18.74,-0.0623
0.998,0.3163,0.3083,0.3244,0,0,0,0.0000,52.7950,45.2102,-4.63,36.14,-19.08,-0.0625
1.021,0.3117,0.2969,0.3266,0,0,0,0.0000,51.6588,44.7296,-4.06,36.62,-19.11,-0.0619
1.038,0.3125,0.3004,0.3246,0,0,0,0.0000,52.1027,45.1173,-4.45,36.52,-19.27,-0.0619
1.060,0.2776,0.2691,0.2860,0,0,0,0.0000,52.6387,40.9686,-5.55,36.80,-19.77,-0.0619
1.078,0.2742,0.2700,0.2784,0,0,0,0.0000,48.3991,40.9292,-5.01,36.28,-19.95,-0.0621
1.104,0.2759,0.2741,0.2776,0,0,0,0.0000,49.1465,40.4341,-5.11,36.11,-20.12,-0.0617
1.121,0.2801,0.2807,0.2795,0,0,0,0.0000,52.3319,39.8701,-10.54,17.50,157.14,-0.0618
1.139,0.2812,0.2817,0.2806,0,0,0,0.0000,49.7037,40.2300,-10.18,17.30,157.14,-0.0618
1.163,0.2918,0.2965,0.2870,0,0,0,0.0000,51.1891,40.2217,-10.30,18.00,156.84,-0.0617
1.177,0.2903,0.2831,0.2975,0,0,0,0.0000,52.7239,41.1558,-5.12,36.90,-20.44,-0.0613
1.198,0.2912,0.2741,0.3083,0,0,0,0.0000,50.1103,41.5612,-4.83,36.67,-20.39,-0.0616
1.221,0.2906,0.2743,0.3069,0,0,0,0.0000,51.0541,41.4592,-4.61,36.69,-20.09,-0.0615
1.238,0.2853,0.2717,0.2990,0,0,0,0.0000,53.9355,42.1724,-4.84,37.34,-19.91,-0.0613
1.257,0.2825,0.2721,0.2928,0,0,0,0.0000,52.5673,42.3318,-10.59,17.78,157.28,-0.0614
1.282,0.2765,0.2574,0.2957,0,0,0,0.0000,52.5835,41.4218,-9.50,17.80,157.46,-0.0621
1.302,0.2779,0.2619,0.2938,0,0,0,0.0000,52.4097,41.5456,-4.67,36.96,-20.30,-0.0619
1.321,0.2845,0.2660,0.3029,0,0,0,0.0000,54.0536,41.9213,-9.39,17.60,157.33,-0.0616
1.346,0.2730,0.2539,0.2922,0,0,0,0.0000,52.6527,40.7194,-9.15,17.22,157.50,-0.0623
1.368,0.2706,0.2559,0.2852,0,0,0,0.0000,53.0205,39.9811,-9.70,17.87,157.54,-0.0619
1.388,0.2816,0.2658,0.2975,0,0,0,0.0000,53.9110,42.0815,-9.42,18.09,157.66,-0.0615
1.416,0.2985,0.2814,0.3155,0,0,0,0.0000,54.3633,42.7988,-8.96,18.31,157.76,-0.0621
1.440,0.2992,0.2852,0.3132,0,0,0,0.0000,53.8396,43.2770,-8.97,18.08,158.13,-0.0626
1.459,0.2961,0.2772,0.3150,0,0,0,0.0000,54.0697,44.4737,-2.62,38.43,-18.99,-0.0627
1.479,0.2988,0.2889,0.3087,0,0,0,0.0000,53.5834,43.6627,-2.40,38.75,-18.51,-0.0631
1.498,0.3015,0.2790,0.3241,0,0,0,0.0000,54.6449,43.2471,-8.23,18.03,158.81,-0.0635
