timestamp_sec,avg_ear,left_ear,right_ear,is_blinking_frame,closed_frame_counter,blink_count_total,blink_rate_bps,left_pupil_diameter,right_pupil_diameter,head_pitch,head_yaw,head_roll,nose_z
0.044,0.3359,0.3483,0.3234,0,0,0,0.0000,50.8443,36.3224,11.26,34.99,1.29,-0.0616
0.064,0.3201,0.3226,0.3177,0,0,0,0.0000,52.3680,38.7602,4.15,21.09,178.25,-0.0614
0.085,0.3185,0.3176,0.3193,0,0,0,0.0000,53.5411,38.7260,3.52,21.29,178.11,-0.0618
0.108,0.3160,0.3125,0.3195,0,0,0,0.0000,53.4726,37.0050,3.77,21.78,178.15,-0.0618
0.121,0.3199,0.3206,0.3192,0,0,0,0.0000,52.8052,36.1658,3.87,22.47,178.16,-0.0613
0.154,0.3157,0.3175,0.3139,0,0,0,0.0000,52.4300,37.7320,4.12,22.12,178.13,-0.0613
0.191,0.3134,0.3159,0.3108,0,0,0,0.0000,52.9588,38.0488,4.05,22.36,178.16,-0.0615
0.203,0.3113,0.3207,0.3020,0,0,0,0.0000,52.4603,37.0269,3.40,23.19,178.09,-0.0613
0.215,0.3110,0.3198,0.3023,0,0,0,0.0000,52.1145,37.3823,3.59,23.14,178.11,-0.0613
0.239,0.3098,0.3210,0.2987,0,0,0,0.0000,52.2160,37.2606,3.65,22.87,178.11,-0.0613
0.262,0.3085,0.3153,0.3017,0,0,0,0.0000,52.7187,37.2755,4.09,22.76,178.20,-0.0614
0.296,0.3026,0.3110,0.2943,0,0,0,0.0000,52.4870,37.7757,4.00,22.68,178.31,-0.0614
0.342,0.2979,0.2991,0.2966,0,0,0,0.0000,50.8544,40.6921,3.27,22.43,178.22,-0.0614
0.374,0.3032,0.2957,0.3107,0,0,0,0.0000,50.3239,40.9304,3.94,21.48,178.65,-0.0617
0.392,0.3085,0.3035,0.3135,0,0,0,0.0000,50.5671,41.1834,3.78,21.53,178.48,-0.0616
0.432,0.3150,0.3062,0.3239,0,0,0,0.0000,50.6252,40.8321,3.99,21.42,178.63,-0.0617
0.469,0.3185,0.3106,0.3264,0,0,0,0.0000,51.1713,41.0381,3.51,21.34,178.56,-0.0616
0.493,0.3201,0.3123,0.3280,0,0,0,0.0000,51.5419,41.1444,3.04,21.32,178.55,-0.0618
0.533,0.3246,0.3197,0.3295,0,0,0,0.0000,51.2540,42.3292,2.80,21.48,178.50,-0.0619
0.555,0.3286,0.3237,0.3335,0,0,0,0.0000,51.2122,41.4408,2.49,21.78,178.38,-0.0620
0.587,0.3309,0.3246,0.3373,0,0,0,0.0000,51.2606,42.0037,2.66,21.84,178.49,-0.0618
0.618,0.3194,0.3165,0.3223,0,0,0,0.0000,50.9646,42.6210,2.29,22.14,178.41,-0.0617
0.651,0.3237,0.3222,0.3253,0,0,0,0.0000,50.5586,42.8292,2.32,22.35,178.38,-0.0612
0.676,0.3283,0.3279,0.3288,0,0,0,0.0000,50.7805,43.0891,2.43,22.05,178.47,-0.0612
0.693,0.3266,0.3162,0.3370,0,0,0,0.0000,50.4715,42.5530,1.90,22.57,178.25,-0.0613
0.722,0.3239,0.3238,0.3240,0,0,0,0.0000,50.2817,42.9130,2.31,22.52,178.20,-0.0607
0.752,0.3260,0.3193,0.3328,0,0,0,0.0000,50.7708,42.5446,2.06,22.29,178.30,-0.0608
0.786,0.2838,0.2895,0.2781,0,0,0,0.0000,48.6349,43.3163,1.55,22.06,177.80,-0.0595
0.818,0.1068,0.1693,0.0443,1,1,0,0.0000,41.8376,34.0295,8.86,33.15,0.59,-0.0585
0.848,0.0611,0.1030,0.0193,1,2,0,0.0000,44.3066,34.4739,9.56,30.67,0.45,-0.0584
0.881,0.1543,0.1794,0.1293,1,3,0,0.0000,45.5268,38.9649,2.70,19.09,178.13,-0.0589
0.912,0.2175,0.2200,0.2150,1,4,0,0.0000,45.7783,39.2442,3.38,19.82,178.28,-0.0588
