timestamp_sec,avg_ear,left_ear,right_ear,is_blinking_frame,closed_frame_counter,blink_count_total,blink_rate_bps,left_pupil_diameter,right_pupil_diameter,head_pitch,head_yaw,head_roll,nose_z
0.054,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000
0.076,0.1700,0.1067,0.2332,1,1,0,0.0000,34.5140,29.8612,13.94,27.48,175.60,-0.0425
0.093,0.1812,0.1500,0.2125,1,2,0,0.0000,34.7707,31.0519,16.67,28.13,175.60,-0.0424
0.123,0.2379,0.2059,0.2699,0,0,0,0.0000,34.9528,33.0541,16.96,28.44,175.67,-0.0425
0.142,0.3079,0.2425,0.3733,0,0,0,0.0000,35.6376,32.5779,16.70,30.33,175.60,-0.0414
0.181,0.3232,0.2620,0.3845,0,0,0,0.0000,36.8091,33.9413,17.02,30.20,175.76,-0.0411
0.214,0.3351,0.2766,0.3935,0,0,0,0.0000,37.5921,34.8848,16.03,30.43,175.27,-0.0412
0.244,0.3443,0.2897,0.3988,0,0,0,0.0000,37.7882,35.8823,15.94,30.31,175.33,-0.0413
0.273,0.3478,0.2922,0.4035,0,0,0,0.0000,37.9049,34.9668,14.98,31.08,175.19,-0.0410
0.290,0.3578,0.3010,0.4146,0,0,0,0.0000,38.2199,33.9563,14.13,31.24,175.15,-0.0411
0.306,0.3503,0.2999,0.4006,0,0,0,0.0000,38.2285,34.1942,13.86,31.57,174.99,-0.0407
0.321,0.3482,0.3055,0.3909,0,0,0,0.0000,38.5209,33.2809,13.99,31.41,174.81,-0.0410
0.338,0.3597,0.3137,0.4057,0,0,0,0.0000,38.6526,34.6648,14.18,31.28,174.74,-0.0410
0.356,0.3595,0.3087,0.4103,0,0,0,0.0000,38.3190,34.2587,12.95,32.29,174.58,-0.0410
0.387,0.3640,0.3020,0.4261,0,0,0,0.0000,38.5760,32.9251,12.87,32.44,174.32,-0.0408
0.417,0.3586,0.3035,0.4136,0,0,0,0.0000,38.4795,32.5525,12.30,33.38,174.23,-0.0411
0.446,0.3544,0.3056,0.4032,0,0,0,0.0000,38.2122,32.5322,12.17,33.11,173.82,-0.0413
0.480,0.3519,0.3085,0.3953,0,0,0,0.0000,38.3086,32.8263,11.11,33.03,173.68,-0.0413
0.495,0.3636,0.3166,0.4106,0,0,0,0.0000,38.7804,31.7441,11.09,32.05,173.49,-0.0413
0.511,0.3696,0.3159,0.4233,0,0,0,0.0000,39.3202,30.3792,10.42,32.07,173.93,-0.0415
0.528,0.3655,0.3120,0.4190,0,0,0,0.0000,38.3829,32.0416,9.95,31.93,174.02,-0.0421
0.558,0.3443,0.3015,0.3872,0,0,0,0.0000,38.2291,31.7776,9.61,32.00,174.21,-0.0426
0.583,0.3305,0.2908,0.3703,0,0,0,0.0000,37.9865,33.5307,6.71,31.46,174.20,-0.0437
0.603,0.3303,0.2810,0.3796,0,0,0,0.0000,36.8555,37.5675,5.48,30.30,173.91,-0.0440
0.624,0.3332,0.2732,0.3933,0,0,0,0.0000,37.3295,38.0773,4.30,29.21,173.73,-0.0439
0.643,0.3428,0.2898,0.3957,0,0,0,0.0000,38.0132,35.9237,3.95,28.97,173.52,-0.0443
0.665,0.3490,0.2946,0.4034,0,0,0,0.0000,40.1086,36.5553,6.52,42.58,-6.40,-0.0454
0.685,0.3470,0.2903,0.4037,0,0,0,0.0000,40.6764,36.5082,5.39,27.24,173.66,-0.0456
0.704,0.3494,0.2957,0.4032,0,0,0,0.0000,41.4324,37.3021,8.52,43.62,-6.33,-0.0457
0.723,0.3507,0.2891,0.4123,0,0,0,0.0000,41.1957,36.9734,7.30,43.25,-6.73,-0.0464
0.741,0.3610,0.2966,0.4254,0,0,0,0.0000,40.8873,36.5293,7.90,42.94,-6.23,-0.0458
0.763,0.3577,0.3014,0.4141,0,0,0,0.0000,40.7012,35.9406,6.28,25.58,173.93,-0.0460
0.781,0.3548,0.2983,0.4114,0,0,0,0.0000,40.8655,35.4168,6.25,25.44,174.27,-0.0457
0.803,0.3676,0.3242,0.4111,0,0,0,0.0000,40.6703,34.6440,5.88,25.01,174.17,-0.0456
0.822,0.3667,0.3206,0.4128,0,0,0,0.0000,40.5427,34.9809,5.97,24.54,174.52,-0.0452
0.842,0.3568,0.3184,0.3952,0,0,0,0.0000,40.4485,36.0833,6.23,23.90,174.47,-0.0456
0.863,0.3561,0.3151,0.3970,0,0,0,0.0000,40.3243,36.6284,6.35,23.74,174.47,-0.0457
0.883,0.3557,0.3211,0.3903,0,0,0,0.0000,39.8380,36.5693,6.74,23.42,174.55,-0.0457
0.903,0.3680,0.3263,0.4098,0,0,0,0.0000,39.5218,37.3464,7.42,23.50,174.53,-0.0459
0.922,0.3612,0.3272,0.3952,0,0,0,0.0000,39.3270,37.4716,9.18,40.33,-6.09,-0.0460
0.947,0.3622,0.3376,0.3867,0,0,0,0.0000,39.2851,37.5175,9.05,40.66,-6.11,-0.0457
0.963,0.3629,0.3393,0.3865,0,0,0,0.0000,39.4656,36.4068,9.09,41.15,-6.07,-0.0454
0.982,0.3665,0.3342,0.3988,0,0,0,0.0000,39.0978,37.3258,8.24,41.77,-6.69,-0.0455
1.004,0.3636,0.3232,0.4041,0,0,0,0.0000,39.8947,36.7641,8.60,42.12,-6.25,-0.0448
1.023,0.3558,0.3240,0.3876,0,0,0,0.0000,39.3797,35.8031,8.80,42.37,-6.35,-0.0449
1.043,0.3289,0.2928,0.3651,0,0,0,0.0000,36.8157,33.9351,9.00,25.99,174.46,-0.0451
1.061,0.2932,0.2402,0.3461,0,0,0,0.0000,35.7574,33.2616,10.13,25.64,174.83,-0.0454
1.084,0.3152,0.2705,0.3600,0,0,0,0.0000,36.5128,30.0146,9.51,26.44,174.15,-0.0453
