timestamp_sec,avg_ear,left_ear,right_ear,is_blinking_frame,closed_frame_counter,blink_count_total,blink_rate_bps,left_pupil_diameter,right_pupil_diameter,head_pitch,head_yaw,head_roll,nose_z
0.054,0.2554,0.1517,0.3590,0,0,0,0.0000,55.2479,12.2250,-17.20,37.76,168.17,-0.0453
0.078,0.4358,0.3104,0.5612,0,0,0,0.0000,44.1780,36.8543,-6.18,38.28,172.13,-0.0553
0.099,0.3512,0.3162,0.3863,0,0,0,0.0000,39.9914,37.6717,-0.79,30.50,173.11,-0.0633
0.124,0.3453,0.3078,0.3828,0,0,0,0.0000,42.4126,38.6040,-1.85,30.85,173.50,-0.0619
0.159,0.3430,0.2828,0.4032,0,0,0,0.0000,48.5335,40.8391,2.20,38.91,-5.42,-0.0619
0.178,0.3320,0.2911,0.3729,0,0,0,0.0000,46.9056,41.4533,0.11,38.59,-6.76,-0.0617
0.213,0.3321,0.2973,0.3668,0,0,0,0.0000,45.8786,40.0522,-1.32,38.44,-7.68,-0.0615
0.242,0.3400,0.3048,0.3751,0,0,0,0.0000,43.1796,39.0169,-1.22,38.06,-8.69,-0.0619
0.259,0.3369,0.2934,0.3805,0,0,0,0.0000,48.7789,44.9648,-2.73,37.65,-10.01,-0.0622
0.288,0.3491,0.2844,0.4138,0,0,0,0.0000,49.5024,45.6893,-2.33,38.21,-10.56,-0.0629
0.322,0.3540,0.2930,0.4150,0,0,0,0.0000,49.8096,46.4640,-2.78,37.76,-10.78,-0.0643
0.339,0.3647,0.3048,0.4246,0,0,0,0.0000,50.1811,47.2756,-2.64,37.79,-11.08,-0.0641
0.366,0.3663,0.3018,0.4308,0,0,0,0.0000,52.4971,46.6066,-2.94,37.65,-11.35,-0.0636
0.386,0.3733,0.3034,0.4432,0,0,0,0.0000,51.4626,46.8028,-3.22,37.49,-11.74,-0.0634
0.415,0.3721,0.3027,0.4415,0,0,0,0.0000,50.2845,45.7235,-3.03,38.34,-11.77,-0.0635
0.431,0.3575,0.2983,0.4167,0,0,0,0.0000,50.8593,44.8694,-1.87,38.83,-11.03,-0.0635
0.447,0.3648,0.3143,0.4153,0,0,0,0.0000,51.3506,45.3816,-1.51,39.01,-10.52,-0.0628
0.465,0.3639,0.3104,0.4174,0,0,0,0.0000,50.8721,45.2285,-1.11,39.27,-10.30,-0.0626
0.497,0.3674,0.3040,0.4309,0,0,0,0.0000,49.5129,45.5953,-0.64,39.53,-9.98,-0.0628
0.529,0.3762,0.3118,0.4406,0,0,0,0.0000,51.1494,47.3012,-0.52,39.77,-9.64,-0.0635
0.546,0.3814,0.3150,0.4478,0,0,0,0.0000,51.5862,46.2475,-0.52,39.88,-9.32,-0.0631
0.570,0.3793,0.3158,0.4427,0,0,0,0.0000,51.2474,46.5453,0.17,39.35,-9.12,-0.0634
0.593,0.3782,0.3189,0.4374,0,0,0,0.0000,51.7891,47.4579,-0.45,38.81,-9.22,-0.0639
0.615,0.3869,0.3137,0.4600,0,0,0,0.0000,54.8255,48.9887,-0.91,38.74,-9.64,-0.0632
0.646,0.3827,0.3107,0.4547,0,0,0,0.0000,53.1136,49.5174,-0.41,38.04,-9.37,-0.0636
0.678,0.3806,0.3077,0.4535,0,0,0,0.0000,52.1912,49.1938,-4.15,29.60,169.85,-0.0643
0.699,0.3801,0.3047,0.4555,0,0,0,0.0000,52.0830,49.0666,-3.82,29.10,169.97,-0.0644
0.719,0.3681,0.3121,0.4240,0,0,0,0.0000,53.6429,49.3181,-3.56,29.10,170.03,-0.0649
0.742,0.3661,0.3160,0.4163,0,0,0,0.0000,54.3047,48.9150,0.70,37.60,-9.08,-0.0647
0.760,0.3565,0.3121,0.4009,0,0,0,0.0000,54.4963,48.5635,-2.99,28.44,170.01,-0.0651
0.791,0.3118,0.2743,0.3493,0,0,0,0.0000,53.7418,49.2206,-2.50,28.05,169.95,-0.0653
0.825,0.2258,0.1916,0.2601,0,0,0,0.0000,52.3829,49.1090,-3.61,29.05,169.64,-0.0650
0.856,0.1412,0.0903,0.1920,1,1,0,0.0000,53.0376,45.0350,-4.25,28.57,170.20,-0.0637
0.890,0.2240,0.1701,0.2780,0,0,0,0.0000,51.2479,45.9882,-3.29,28.57,170.29,-0.0653
0.919,0.2850,0.2198,0.3502,0,0,0,0.0000,52.8273,46.0990,-3.22,28.92,169.99,-0.0653
0.935,0.3138,0.2620,0.3656,0,0,0,0.0000,52.8456,46.4224,-3.04,28.84,170.13,-0.0652
0.966,0.3321,0.2736,0.3905,0,0,0,0.0000,54.6807,47.9491,-2.60,28.12,170.08,-0.0654
0.984,0.3286,0.2779,0.3793,0,0,0,0.0000,54.3416,48.3558,-2.12,27.28,170.32,-0.0657
1.015,0.3300,0.2815,0.3785,0,0,0,0.0000,54.3750,47.5460,-2.43,27.53,170.69,-0.0660
1.046,0.3312,0.2817,0.3806,0,0,0,0.0000,54.8030,47.5665,-2.28,27.52,170.80,-0.0659
1.079,0.3454,0.2897,0.4011,0,0,0,0.0000,54.8766,48.4833,-2.06,27.39,171.02,-0.0659
1.095,0.3388,0.2836,0.3940,0,0,0,0.0000,55.1084,48.8462,-3.20,27.36,170.77,-0.0662
1.126,0.3232,0.2877,0.3587,0,0,0,0.0000,54.4234,47.4600,-2.61,27.20,170.90,-0.0660
1.158,0.3234,0.2814,0.3654,0,0,0,0.0000,54.1962,48.8574,-2.72,27.30,170.85,-0.0666
1.192,0.3358,0.2973,0.3742,0,0,0,0.0000,57.6857,47.3022,-3.55,27.50,170.99,-0.0658
1.221,0.3410,0.2968,0.3852,0,0,0,0.0000,56.9837,47.9389,-2.66,27.45,170.61,-0.0647
1.252,0.3401,0.2957,0.3845,0,0,0,0.0000,56.9895,48.9253,-2.62,26.83,170.68,-0.0654
1.287,0.3462,0.2888,0.4035,0,0,0,0.0000,56.8446,49.2427,-2.22,26.81,170.97,-0.0655
1.311,0.3493,0.3005,0.3981,0,0,0,0.0000,56.6286,48.3133,-2.28,27.08,170.94,-0.0662
1.330,0.3512,0.3074,0.3950,0,0,0,0.0000,56.3981,49.1831,-2.63,26.49,171.13,-0.0666
1.349,0.3378,0.2960,0.3796,0,0,0,0.0000,57.0108,48.0530,-2.41,26.58,171.12,-0.0672
1.380,0.3471,0.3016,0.3925,0,0,0,0.0000,55.0718,48.3713,-2.43,26.46,171.34,-0.0667
1.412,0.3346,0.2969,0.3724,0,0,0,0.0000,57.2726,48.5255,-2.33,26.54,171.38,-0.0672
1.428,0.3057,0.2709,0.3405,0,0,0,0.0000,57.8635,48.2597,-2.37,26.71,171.47,-0.0672
