timestamp_sec,avg_ear,left_ear,right_ear,is_blinking_frame,closed_frame_counter,blink_count_total,blink_rate_bps,left_pupil_diameter,right_pupil_diameter,head_pitch,head_yaw,head_roll,nose_z
0.049,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000
0.068,0.3544,0.3383,0.3705,0,0,0,0.0000,43.2358,31.8812,6.86,46.86,175.35,-0.0464
0.096,0.3646,0.3376,0.3915,0,0,0,0.0000,44.5765,30.6188,7.07,45.30,175.09,-0.0486
0.113,0.3784,0.3514,0.4054,0,0,0,0.0000,43.0276,32.1032,7.82,44.85,175.02,-0.0478
0.143,0.3694,0.3397,0.3991,0,0,0,0.0000,44.4312,29.8588,8.65,43.77,176.13,-0.0488
0.158,0.3468,0.3444,0.3492,0,0,0,0.0000,44.9044,30.7540,8.88,42.23,176.61,-0.0504
0.175,0.3442,0.3245,0.3639,0,0,0,0.0000,46.8334,32.6998,10.51,41.73,176.93,-0.0494
0.207,0.3432,0.3127,0.3737,0,0,0,0.0000,48.0375,26.6498,9.77,41.22,177.43,-0.0506
0.238,0.3401,0.3142,0.3661,0,0,0,0.0000,47.7214,25.3178,9.42,40.39,177.26,-0.0514
0.256,0.3309,0.3155,0.3464,0,0,0,0.0000,48.8550,21.2719,9.90,39.78,177.28,-0.0514
0.286,0.3387,0.3176,0.3597,0,0,0,0.0000,48.8122,20.7883,9.60,40.71,177.58,-0.0513
0.316,0.3465,0.3136,0.3795,0,0,0,0.0000,49.0642,34.2474,8.81,40.55,177.35,-0.0517
0.347,0.3430,0.3156,0.3704,0,0,0,0.0000,48.0370,41.0828,10.61,39.46,177.70,-0.0520
0.364,0.3471,0.3218,0.3724,0,0,0,0.0000,48.0399,39.6256,9.55,39.30,177.30,-0.0519
0.396,0.3361,0.2994,0.3728,0,0,0,0.0000,48.8013,40.8824,8.61,38.33,176.55,-0.0531
0.425,0.3387,0.3124,0.3650,0,0,0,0.0000,48.6167,41.0448,8.02,38.04,176.23,-0.0534
0.456,0.3326,0.3229,0.3422,0,0,0,0.0000,47.5388,39.9700,8.20,36.82,176.51,-0.0539
0.487,0.3476,0.3225,0.3727,0,0,0,0.0000,46.4259,39.8958,9.50,35.30,176.61,-0.0548
0.518,0.3441,0.3396,0.3487,0,0,0,0.0000,46.3957,41.2565,9.08,34.40,176.31,-0.0550
0.550,0.3340,0.3284,0.3395,0,0,0,0.0000,46.8757,40.0780,8.93,33.41,176.10,-0.0553
0.583,0.3182,0.3203,0.3161,0,0,0,0.0000,47.2926,43.0199,8.17,32.98,176.03,-0.0555
0.611,0.3249,0.3200,0.3297,0,0,0,0.0000,47.2328,42.1843,8.10,32.13,175.86,-0.0555
0.643,0.3200,0.3140,0.3259,0,0,0,0.0000,46.4454,43.4441,7.78,31.09,176.42,-0.0555
0.674,0.3162,0.3153,0.3171,0,0,0,0.0000,47.0636,43.1770,7.64,30.21,176.66,-0.0560
0.704,0.3319,0.3207,0.3430,0,0,0,0.0000,45.8581,41.5693,6.31,32.14,176.28,-0.0562
0.735,0.3307,0.3231,0.3383,0,0,0,0.0000,46.6782,42.0166,6.88,31.01,176.83,-0.0561
0.766,0.3270,0.3092,0.3449,0,0,0,0.0000,48.0262,41.3962,5.64,31.44,176.96,-0.0555
0.797,0.3338,0.3311,0.3364,0,0,0,0.0000,47.0203,41.9423,6.24,30.31,176.83,-0.0556
0.829,0.3379,0.3288,0.3470,0,0,0,0.0000,45.7740,40.9087,5.91,30.63,176.90,-0.0561
0.860,0.3270,0.3274,0.3266,0,0,0,0.0000,47.2142,42.1365,5.41,30.49,176.93,-0.0560
0.891,0.3365,0.3330,0.3401,0,0,0,0.0000,46.1374,41.5079,5.61,30.24,177.11,-0.0560
0.906,0.3402,0.3323,0.3480,0,0,0,0.0000,46.5012,41.7507,4.03,30.96,176.96,-0.0556
0.922,0.3427,0.3418,0.3436,0,0,0,0.0000,45.9223,41.8110,4.50,30.43,177.10,-0.0559
0.938,0.3431,0.3407,0.3454,0,0,0,0.0000,46.7976,40.9862,4.01,30.77,177.18,-0.0559
0.965,0.3481,0.3438,0.3525,0,0,0,0.0000,47.2442,40.3769,4.43,30.70,177.37,-0.0563
0.990,0.3486,0.3404,0.3568,0,0,0,0.0000,46.9687,40.9060,4.32,30.48,177.59,-0.0561
1.013,0.3510,0.3362,0.3659,0,0,0,0.0000,47.1897,40.6260,3.65,31.14,177.37,-0.0560
1.032,0.3467,0.3423,0.3512,0,0,0,0.0000,46.9439,40.4410,3.95,30.57,177.44,-0.0564
1.052,0.3475,0.3427,0.3523,0,0,0,0.0000,45.7167,40.6615,3.34,30.62,177.25,-0.0564
1.072,0.3423,0.3307,0.3538,0,0,0,0.0000,44.7707,40.5767,2.51,31.67,176.70,-0.0568
1.093,0.3441,0.3260,0.3621,0,0,0,0.0000,39.6126,36.7714,3.81,29.29,176.85,-0.0568
1.122,0.3222,0.3201,0.3243,0,0,0,0.0000,40.5767,36.2348,3.80,31.29,176.49,-0.0568
1.142,0.3340,0.3295,0.3385,0,0,0,0.0000,38.4877,35.1266,4.96,29.94,177.01,-0.0567
1.164,0.3221,0.3125,0.3318,0,0,0,0.0000,41.5847,34.9734,4.09,31.69,176.57,-0.0566
1.182,0.3287,0.3166,0.3407,0,0,0,0.0000,37.7032,35.3081,5.14,29.58,176.83,-0.0566
1.200,0.3191,0.3120,0.3261,0,0,0,0.0000,40.5750,35.0183,3.81,31.65,176.16,-0.0565
1.224,0.3202,0.3123,0.3280,0,0,0,0.0000,39.8604,35.1873,5.26,29.62,176.79,-0.0567
1.242,0.3114,0.3044,0.3184,0,0,0,0.0000,43.0893,35.9307,4.41,31.30,176.67,-0.0562
1.264,0.3082,0.2942,0.3222,0,0,0,0.0000,45.5814,37.6457,3.62,30.95,176.31,-0.0559
1.280,0.3099,0.2965,0.3232,0,0,0,0.0000,45.6118,38.7511,3.74,31.64,176.47,-0.0558
1.304,0.3147,0.2946,0.3348,0,0,0,0.0000,45.5616,38.4338,3.57,31.58,176.24,-0.0558
1.331,0.3126,0.3026,0.3227,0,0,0,0.0000,45.8561,39.3077,3.47,32.11,176.27,-0.0559
1.354,0.3178,0.3006,0.3349,0,0,0,0.0000,44.7730,38.7464,3.74,31.04,176.01,-0.0557
1.373,0.3152,0.3103,0.3202,0,0,0,0.0000,45.0486,39.1745,2.32,31.95,175.89,-0.0554
1.393,0.3082,0.3040,0.3125,0,0,0,0.0000,45.3867,38.1206,1.96,31.70,175.87,-0.0550
1.410,0.3111,0.3159,0.3063,0,0,0,0.0000,45.7691,38.2554,1.35,31.51,175.71,-0.0551
1.432,0.3066,0.3025,0.3106,0,0,0,0.0000,46.2922,41.4479,0.30,32.34,175.83,-0.0544
1.454,0.3194,0.3304,0.3084,0,0,0,0.0000,45.8661,39.8885,-0.15,33.33,175.69,-0.0541
1.470,0.3309,0.3267,0.3351,0,0,0,0.0000,44.8313,39.7790,-0.25,33.74,175.62,-0.0542
1.492,0.3270,0.3293,0.3247,0,0,0,0.0000,45.5854,39.7273,-0.78,34.25,175.34,-0.0541
1.512,0.3238,0.3239,0.3237,0,0,0,0.0000,44.7351,39.8652,-0.83,34.67,175.22,-0.0534
1.532,0.3227,0.3212,0.3243,0,0,0,0.0000,44.7039,39.9159,-0.65,34.45,175.18,-0.0533
1.553,0.3181,0.3184,0.3179,0,0,0,0.0000,44.8958,39.5531,-0.63,34.43,175.23,-0.0533
1.574,0.3179,0.3178,0.3180,0,0,0,0.0000,45.1590,39.8521,-0.38,34.34,175.16,-0.0535
1.594,0.3188,0.3235,0.3142,0,0,0,0.0000,46.6425,39.5936,-0.28,34.25,175.28,-0.0536
1.612,0.3136,0.3119,0.3153,0,0,0,0.0000,46.4869,39.4291,-0.52,33.67,175.22,-0.0537
1.634,0.3262,0.3289,0.3235,0,0,0,0.0000,47.7268,39.3526,-0.85,33.62,175.32,-0.0537
1.653,0.3081,0.3042,0.3120,0,0,0,0.0000,47.2317,39.5751,-0.43,33.25,175.58,-0.0536
1.672,0.3098,0.3105,0.3092,0,0,0,0.0000,47.2281,40.4795,-0.00,33.26,175.72,-0.0532
1.692,0.2993,0.3038,0.2948,0,0,0,0.0000,46.5089,40.6792,0.33,32.51,175.91,-0.0536
1.710,0.3066,0.3059,0.3073,0,0,0,0.0000,46.4599,41.0837,0.70,32.22,175.97,-0.0538
1.731,0.3023,0.3028,0.3018,0,0,0,0.0000,45.9601,40.7767,1.13,31.86,176.14,-0.0541
1.754,0.2978,0.2969,0.2987,0,0,0,0.0000,47.5989,41.5292,0.80,31.47,175.77,-0.0538
1.773,0.3018,0.3071,0.2966,0,0,0,0.0000,46.1214,41.0036,1.93,30.16,176.30,-0.0539
1.790,0.3057,0.2999,0.3116,0,0,0,0.0000,46.4687,40.8832,2.46,30.08,175.71,-0.0540
1.812,0.3355,0.3323,0.3388,0,0,0,0.0000,46.6485,40.6681,2.80,30.00,175.91,-0.0543
1.835,0.3400,0.3341,0.3459,0,0,0,0.0000,46.6634,40.6113,3.25,29.86,175.96,-0.0541
1.852,0.3390,0.3403,0.3378,0,0,0,0.0000,45.9722,41.0076,3.53,29.96,175.90,-0.0537
1.874,0.3418,0.3427,0.3409,0,0,0,0.0000,46.8186,40.7542,2.79,30.50,175.94,-0.0537
1.896,0.3361,0.3409,0.3313,0,0,0,0.0000,47.0643,40.2711,2.22,30.69,175.38,-0.0535
1.911,0.3412,0.3332,0.3492,0,0,0,0.0000,46.2110,40.9077,2.23,30.56,175.53,-0.0535
1.935,0.3519,0.3591,0.3448,0,0,0,0.0000,46.7572,41.5083,2.13,31.16,175.54,-0.0533
1.971,0.3483,0.3546,0.3421,0,0,0,0.0000,44.2874,38.3224,2.74,30.41,175.63,-0.0537
1.989,0.3610,0.3566,0.3654,0,0,0,0.0000,45.9193,39.8434,2.07,31.91,175.55,-0.0535
2.013,0.3515,0.3519,0.3512,0,0,0,0.0000,43.5789,38.8490,2.82,30.99,175.63,-0.0534
2.036,0.3641,0.3615,0.3667,0,0,0,0.0000,44.6173,39.9359,2.02,32.02,175.53,-0.0533
