timestamp_sec,avg_ear,left_ear,right_ear,is_blinking_frame,closed_frame_counter,blink_count_total,blink_rate_bps,left_pupil_diameter,right_pupil_diameter,head_pitch,head_yaw,head_roll,nose_z
0.049,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000
0.081,0.3389,0.2691,0.4087,0,0,0,0.0000,53.4902,50.5789,23.66,27.71,-169.87,-0.0601
0.110,0.3420,0.2944,0.3896,0,0,0,0.0000,55.3435,52.6068,32.04,20.85,-169.88,-0.0639
0.139,0.3383,0.2930,0.3836,0,0,0,0.0000,56.1193,53.0361,34.47,18.34,-170.11,-0.0652
0.156,0.3561,0.2972,0.4151,0,0,0,0.0000,56.8820,51.4655,28.71,22.94,-170.74,-0.0669
0.171,0.3375,0.2997,0.3753,0,0,0,0.0000,57.5893,52.8213,32.21,18.09,-169.79,-0.0680
0.187,0.3426,0.3023,0.3829,0,0,0,0.0000,59.2551,52.3346,23.82,23.81,-170.48,-0.0681
0.201,0.3265,0.2927,0.3603,0,0,0,0.0000,57.4454,53.7991,18.48,25.27,-171.76,-0.0700
0.218,0.3330,0.2838,0.3821,0,0,0,0.0000,57.4554,54.9915,25.80,23.77,-172.07,-0.0679
0.234,0.3239,0.2787,0.3691,0,0,0,0.0000,57.7146,52.0850,23.31,26.08,-172.71,-0.0688
0.249,0.3498,0.3038,0.3958,0,0,0,0.0000,54.9696,53.4696,24.57,25.27,-173.28,-0.0695
0.266,0.3400,0.2923,0.3877,0,0,0,0.0000,55.7487,54.0987,23.83,26.56,-173.69,-0.0705
0.297,0.3297,0.2911,0.3683,0,0,0,0.0000,56.3374,52.5792,25.90,25.18,-174.32,-0.0700
0.327,0.3447,0.2939,0.3954,0,0,0,0.0000,55.1400,54.6742,20.48,27.21,-175.26,-0.0703
0.343,0.3492,0.2949,0.4034,0,0,0,0.0000,57.0535,53.4465,16.16,29.73,-175.58,-0.0704
0.359,0.3226,0.2831,0.3621,0,0,0,0.0000,56.6640,50.9271,20.12,27.73,-176.15,-0.0695
0.390,0.3450,0.2794,0.4105,0,0,0,0.0000,56.6502,52.3541,15.34,31.08,-176.06,-0.0697
0.406,0.3333,0.2827,0.3839,0,0,0,0.0000,56.0742,50.0768,17.23,30.15,-176.11,-0.0691
0.438,0.3449,0.2739,0.4159,0,0,0,0.0000,56.2010,52.4498,16.32,30.55,-176.23,-0.0705
0.467,0.3355,0.2849,0.3862,0,0,0,0.0000,56.1176,51.7782,14.15,31.24,-176.26,-0.0708
0.486,0.3346,0.2838,0.3854,0,0,0,0.0000,56.6408,52.2955,16.65,30.76,-176.33,-0.0701
0.514,0.3377,0.2827,0.3928,0,0,0,0.0000,56.3651,53.6371,14.87,31.08,-176.43,-0.0702
0.547,0.3445,0.2849,0.4041,0,0,0,0.0000,56.1419,52.4366,14.52,31.36,-175.65,-0.0711
0.581,0.3302,0.2832,0.3771,0,0,0,0.0000,56.4072,51.9501,17.32,29.16,-175.62,-0.0712
0.610,0.3457,0.2895,0.4020,0,0,0,0.0000,57.9108,51.0880,18.00,29.17,-175.51,-0.0703
0.639,0.3405,0.2735,0.4076,0,0,0,0.0000,56.8547,51.3588,16.14,31.31,-176.26,-0.0697
0.670,0.3472,0.2949,0.3995,0,0,0,0.0000,57.0623,50.3117,19.61,28.59,-176.05,-0.0697
0.687,0.3466,0.2931,0.4001,0,0,0,0.0000,58.7358,50.8075,19.00,30.43,-177.19,-0.0697
0.718,0.3471,0.2925,0.4018,0,0,0,0.0000,57.3147,50.9735,19.55,29.58,-177.05,-0.0704
0.749,0.3388,0.2942,0.3835,0,0,0,0.0000,59.1493,50.1349,19.60,29.60,-177.59,-0.0691
0.780,0.3436,0.2964,0.3907,0,0,0,0.0000,57.9908,49.6115,16.52,30.69,-178.28,-0.0693
0.811,0.3451,0.3086,0.3817,0,0,0,0.0000,58.6240,49.8518,17.47,30.78,-178.59,-0.0688
0.843,0.3582,0.2932,0.4231,0,0,0,0.0000,59.0388,49.8163,15.49,31.28,-178.63,-0.0695
0.873,0.3471,0.3052,0.3890,0,0,0,0.0000,57.8561,50.4255,13.47,31.96,-178.87,-0.0689
0.905,0.3532,0.3022,0.4042,0,0,0,0.0000,59.3073,48.4959,9.91,33.17,-178.87,-0.0698
0.935,0.3397,0.2989,0.3805,0,0,0,0.0000,58.7786,50.1886,13.52,31.07,-178.95,-0.0692
0.967,0.3450,0.2919,0.3982,0,0,0,0.0000,56.9523,48.0074,8.84,33.74,-179.06,-0.0698
0.998,0.3442,0.2933,0.3950,0,0,0,0.0000,58.2560,47.4440,13.74,31.68,-178.67,-0.0688
1.028,0.3333,0.2943,0.3723,0,0,0,0.0000,57.4381,47.7662,9.86,33.27,-178.42,-0.0698
1.060,0.3236,0.2773,0.3700,0,0,0,0.0000,59.1374,48.0193,11.23,32.37,-177.99,-0.0711
1.094,0.3276,0.2733,0.3818,0,0,0,0.0000,57.9291,47.2720,11.19,32.45,-177.91,-0.0696
1.123,0.3270,0.2779,0.3761,0,0,0,0.0000,58.6254,49.0954,12.94,31.65,-177.60,-0.0702
1.155,0.3375,0.2755,0.3994,0,0,0,0.0000,57.8032,49.6227,14.77,31.14,-177.05,-0.0700
1.186,0.3389,0.2892,0.3887,0,0,0,0.0000,58.8839,49.7366,13.63,31.21,-177.57,-0.0697
1.219,0.3348,0.2817,0.3880,0,0,0,0.0000,57.5409,50.0441,15.72,31.08,-177.15,-0.0687
1.252,0.3397,0.2834,0.3960,0,0,0,0.0000,59.0507,50.3665,15.93,31.21,-177.03,-0.0699
1.283,0.3369,0.2742,0.3997,0,0,0,0.0000,57.3487,51.7067,14.79,31.76,-176.50,-0.0714
1.312,0.3330,0.2872,0.3787,0,0,0,0.0000,57.9670,49.3275,14.66,30.13,-176.46,-0.0698
1.344,0.3429,0.2866,0.3992,0,0,0,0.0000,60.5057,49.9382,17.69,30.92,-177.09,-0.0697
1.374,0.3412,0.2923,0.3901,0,0,0,0.0000,46.9355,43.3319,14.22,31.43,-175.74,-0.0688
1.405,0.3341,0.3023,0.3660,0,0,0,0.0000,49.2273,40.9917,16.73,29.25,-175.40,-0.0695
1.437,0.3373,0.3044,0.3702,0,0,0,0.0000,49.3552,41.1492,14.69,30.19,-175.51,-0.0695
1.469,0.3340,0.2967,0.3714,0,0,0,0.0000,49.1265,42.4658,15.95,29.16,-175.03,-0.0700
1.499,0.3312,0.2954,0.3669,0,0,0,0.0000,46.8986,42.7819,18.91,29.49,-176.11,-0.0692
