timestamp_sec,avg_ear,left_ear,right_ear,is_blinking_frame,closed_frame_counter,blink_count_total,blink_rate_bps,left_pupil_diameter,right_pupil_diameter,head_pitch,head_yaw,head_roll,nose_z
0.057,0.2933,0.2673,0.3192,0,0,0,0.0000,41.7899,40.2208,0.30,21.09,176.53,-0.0487
0.074,0.3445,0.2804,0.4087,0,0,0,0.0000,33.5341,30.4883,10.19,46.56,-5.68,-0.0424
0.104,0.3419,0.2952,0.3887,0,0,0,0.0000,35.4062,28.6075,9.73,44.91,-5.96,-0.0438
0.120,0.3412,0.2964,0.3859,0,0,0,0.0000,35.2604,28.0386,8.75,44.23,-6.31,-0.0446
0.137,0.3369,0.2912,0.3826,0,0,0,0.0000,35.2120,28.4235,9.07,44.03,-6.08,-0.0446
0.168,0.3412,0.2912,0.3913,0,0,0,0.0000,35.5850,27.2541,8.30,27.65,174.39,-0.0447
0.199,0.3299,0.2891,0.3706,0,0,0,0.0000,35.7573,28.3059,9.15,44.01,-6.42,-0.0446
0.230,0.3340,0.2900,0.3779,0,0,0,0.0000,36.0065,28.0945,9.52,44.00,-6.77,-0.0447
0.245,0.3281,0.2867,0.3695,0,0,0,0.0000,35.6304,28.7922,9.70,43.79,-6.99,-0.0451
0.277,0.3283,0.2877,0.3689,0,0,0,0.0000,35.6028,29.3303,9.91,44.29,-6.93,-0.0448
0.309,0.3123,0.2771,0.3475,0,0,0,0.0000,36.3055,31.0647,9.86,43.93,-7.47,-0.0454
0.340,0.3074,0.2731,0.3418,0,0,0,0.0000,36.4772,32.7340,9.83,28.18,173.28,-0.0457
0.371,0.3095,0.2648,0.3542,0,0,0,0.0000,36.2278,32.8868,9.10,27.79,172.96,-0.0456
0.402,0.3134,0.2712,0.3556,0,0,0,0.0000,35.4219,34.3513,8.05,26.69,172.80,-0.0449
0.432,0.3122,0.2602,0.3643,0,0,0,0.0000,35.9389,33.0756,6.23,26.96,172.95,-0.0442
0.463,0.3295,0.2677,0.3914,0,0,0,0.0000,35.8505,31.7922,5.04,27.39,173.13,-0.0444
0.496,0.3393,0.2709,0.4076,0,0,0,0.0000,36.7740,31.6131,3.63,28.44,172.96,-0.0442
0.527,0.3355,0.2642,0.4069,0,0,0,0.0000,37.5187,33.3483,3.44,27.99,173.13,-0.0438
0.557,0.3347,0.2672,0.4021,0,0,0,0.0000,38.0437,32.3378,3.32,28.44,172.74,-0.0435
0.588,0.3165,0.2620,0.3710,0,0,0,0.0000,37.3887,34.0223,5.42,44.61,-6.03,-0.0437
0.618,0.3236,0.2698,0.3775,0,0,0,0.0000,38.1415,33.2447,5.34,44.94,-5.28,-0.0435
0.650,0.3201,0.2667,0.3736,0,0,0,0.0000,37.6152,33.8369,4.90,44.43,-4.55,-0.0435
0.682,0.3220,0.2659,0.3782,0,0,0,0.0000,37.1752,33.0156,0.10,27.56,174.83,-0.0439
0.712,0.3230,0.2691,0.3770,0,0,0,0.0000,36.9467,31.7520,0.11,26.69,175.22,-0.0441
0.744,0.3274,0.2719,0.3829,0,0,0,0.0000,38.1132,31.4384,-0.65,26.93,174.95,-0.0435
0.775,0.3266,0.2732,0.3799,0,0,0,0.0000,38.8925,31.9240,4.29,43.87,-2.76,-0.0432
0.791,0.3340,0.2790,0.3890,0,0,0,0.0000,38.7816,31.0218,-1.66,27.29,174.81,-0.0433
0.823,0.3469,0.2957,0.3981,0,0,0,0.0000,38.7305,32.1392,-2.52,28.08,174.71,-0.0434
0.853,0.3552,0.3000,0.4105,0,0,0,0.0000,38.4314,30.7515,-1.97,28.57,174.86,-0.0432
0.884,0.3406,0.2847,0.3966,0,0,0,0.0000,38.2994,31.5108,-1.40,28.04,174.86,-0.0436
0.914,0.3431,0.2860,0.4001,0,0,0,0.0000,38.3708,32.2002,-1.82,28.19,174.70,-0.0436
0.929,0.3407,0.2872,0.3942,0,0,0,0.0000,37.7273,31.1710,-1.96,27.76,174.94,-0.0439
0.963,0.3496,0.2886,0.4107,0,0,0,0.0000,36.8064,30.5920,-2.33,27.80,175.04,-0.0440
0.992,0.3511,0.2859,0.4163,0,0,0,0.0000,37.1741,30.7676,-2.24,28.22,175.10,-0.0439
1.022,0.3502,0.2844,0.4160,0,0,0,0.0000,36.5868,30.9235,-2.47,28.60,175.12,-0.0438
1.038,0.3502,0.2759,0.4245,0,0,0,0.0000,36.2838,31.0950,-2.57,28.21,175.14,-0.0443
1.053,0.3463,0.2770,0.4155,0,0,0,0.0000,36.8646,30.9391,-3.15,28.22,174.95,-0.0442
1.068,0.3432,0.2745,0.4119,0,0,0,0.0000,36.7291,30.3471,-3.46,28.12,174.95,-0.0440
1.087,0.3472,0.2777,0.4166,0,0,0,0.0000,36.7381,30.4219,-3.18,28.08,175.12,-0.0435
1.117,0.3406,0.2669,0.4144,0,0,0,0.0000,36.5779,30.8013,-3.22,27.14,175.09,-0.0440
1.148,0.3413,0.2727,0.4099,0,0,0,0.0000,36.8613,31.6084,-2.90,27.00,175.03,-0.0440
1.179,0.3454,0.2730,0.4178,0,0,0,0.0000,36.5142,30.9176,-2.21,27.24,174.98,-0.0441
1.212,0.3419,0.2690,0.4149,0,0,0,0.0000,35.2271,29.8881,-2.54,26.97,175.06,-0.0442
1.244,0.3353,0.2673,0.4034,0,0,0,0.0000,36.5071,30.6741,2.69,42.88,-2.81,-0.0444
1.276,0.3324,0.2710,0.3938,0,0,0,0.0000,36.6040,31.0981,2.36,42.42,-3.02,-0.0448
1.304,0.3301,0.2680,0.3923,0,0,0,0.0000,38.5805,29.8465,-1.86,27.38,175.22,-0.0450
1.335,0.3062,0.2586,0.3538,0,0,0,0.0000,39.0397,34.2767,-1.97,26.83,175.50,-0.0456
1.366,0.2935,0.2480,0.3391,0,0,0,0.0000,38.9452,34.6030,-2.10,26.95,175.47,-0.0456
1.399,0.2984,0.2590,0.3378,0,0,0,0.0000,39.5979,35.2637,-2.15,26.31,175.88,-0.0455
1.432,0.3144,0.2708,0.3579,0,0,0,0.0000,39.3838,36.0902,-1.05,25.80,176.41,-0.0458
1.459,0.3231,0.2768,0.3694,0,0,0,0.0000,38.6304,35.9776,-1.94,25.98,176.17,-0.0457
