timestamp_sec,avg_ear,left_ear,right_ear,is_blinking_frame,closed_frame_counter,blink_count_total,blink_rate_bps,left_pupil_diameter,right_pupil_diameter,head_pitch,head_yaw,head_roll,nose_z
0.048,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000
0.069,0.3846,0.3100,0.4592,0,0,0,0.0000,50.1871,43.9318,5.25,47.33,171.93,-0.0622
0.089,0.3777,0.3022,0.4533,0,0,0,0.0000,50.6197,43.6502,1.83,47.55,170.24,-0.0602
0.114,0.3847,0.3166,0.4528,0,0,0,0.0000,50.3896,44.2706,0.79,47.03,169.88,-0.0612
0.133,0.3803,0.3167,0.4440,0,0,0,0.0000,49.7854,46.1500,0.78,46.78,169.90,-0.0612
0.143,0.3902,0.3247,0.4557,0,0,0,0.0000,49.6529,46.1512,0.23,46.38,169.83,-0.0611
0.169,0.3912,0.3168,0.4655,0,0,0,0.0000,50.7269,46.4896,-0.44,45.73,169.54,-0.0607
0.176,0.3857,0.3169,0.4544,0,0,0,0.0000,51.5302,47.4920,0.27,45.21,169.68,-0.0605
0.218,0.3853,0.3141,0.4565,0,0,0,0.0000,51.2349,46.8463,-1.54,45.06,169.13,-0.0607
0.227,0.3832,0.3149,0.4516,0,0,0,0.0000,51.0860,44.8860,-1.85,44.93,168.82,-0.0598
0.238,0.3869,0.3081,0.4657,0,0,0,0.0000,50.7262,44.4529,-5.18,46.05,167.88,-0.0595
0.255,0.3896,0.3117,0.4675,0,0,0,0.0000,50.2735,44.5263,-6.21,46.56,168.00,-0.0583
0.284,0.3932,0.3117,0.4748,0,0,0,0.0000,50.8066,44.0958,-7.19,46.54,166.87,-0.0574
0.296,0.3941,0.3199,0.4683,0,0,0,0.0000,49.8678,45.3711,-8.16,45.83,166.57,-0.0569
0.326,0.3829,0.3162,0.4496,0,0,0,0.0000,51.2113,44.0996,-9.66,45.89,165.69,-0.0575
0.360,0.3753,0.3109,0.4397,0,0,0,0.0000,50.4283,44.9528,-10.42,45.66,165.06,-0.0573
0.398,0.3719,0.3176,0.4262,0,0,0,0.0000,51.7790,43.5297,-10.94,45.55,164.67,-0.0574
0.426,0.3689,0.3244,0.4135,0,0,0,0.0000,53.0752,42.9544,-10.83,45.34,164.84,-0.0579
0.430,0.3675,0.3171,0.4178,0,0,0,0.0000,52.0045,42.8874,-8.87,44.86,165.74,-0.0587
0.446,0.3685,0.3116,0.4254,0,0,0,0.0000,52.5358,43.4210,-6.76,43.39,166.52,-0.0596
0.469,0.3727,0.3088,0.4366,0,0,0,0.0000,51.5865,43.5627,-5.33,42.63,167.50,-0.0610
0.478,0.3589,0.3057,0.4122,0,0,0,0.0000,52.5837,45.0963,-6.14,42.25,167.92,-0.0610
0.498,0.3625,0.3088,0.4161,0,0,0,0.0000,52.1180,45.1414,-6.40,41.52,168.51,-0.0612
0.524,0.3567,0.3020,0.4114,0,0,0,0.0000,53.9712,44.6927,-7.12,42.00,168.64,-0.0606
0.541,0.3479,0.2940,0.4018,0,0,0,0.0000,53.9116,45.6407,-8.38,41.88,168.43,-0.0604
0.563,0.3156,0.2639,0.3672,0,0,0,0.0000,50.9553,43.5386,-8.61,42.66,168.28,-0.0596
0.593,0.3090,0.2421,0.3759,0,0,0,0.0000,50.5586,43.7363,-9.14,42.84,167.92,-0.0594
0.611,0.2769,0.2236,0.3302,0,0,0,0.0000,49.9643,42.6409,-9.34,43.09,168.10,-0.0589
0.629,0.2812,0.2135,0.3489,0,0,0,0.0000,50.1057,42.8409,-9.02,43.29,167.97,-0.0590
0.653,0.3130,0.2479,0.3780,0,0,0,0.0000,50.4668,42.7191,-9.12,44.03,167.94,-0.0591
0.670,0.3349,0.2690,0.4008,0,0,0,0.0000,51.6273,43.4128,-8.17,43.86,168.28,-0.0594
0.693,0.3469,0.2803,0.4134,0,0,0,0.0000,52.4750,44.0730,-7.88,43.46,168.43,-0.0600
0.712,0.3437,0.2699,0.4175,0,0,0,0.0000,53.0906,44.1539,-8.09,43.49,168.65,-0.0609
0.732,0.3425,0.2747,0.4103,0,0,0,0.0000,53.4270,44.7276,-7.23,43.67,168.94,-0.0617
0.751,0.3384,0.2714,0.4055,0,0,0,0.0000,53.4094,43.4753,-6.99,45.02,168.78,-0.0626
0.771,0.3493,0.2856,0.4129,0,0,0,0.0000,52.5689,44.3306,-6.21,44.68,168.87,-0.0627
0.791,0.3487,0.2871,0.4103,0,0,0,0.0000,53.4637,44.9227,-6.19,44.79,169.18,-0.0629
0.810,0.3505,0.2839,0.4172,0,0,0,0.0000,52.5003,44.8074,-6.36,45.13,169.34,-0.0630
0.832,0.3361,0.2711,0.4011,0,0,0,0.0000,54.2885,45.3722,-6.57,45.24,169.89,-0.0640
0.857,0.3347,0.2713,0.3981,0,0,0,0.0000,53.2387,45.0457,-6.28,44.52,170.39,-0.0651
0.888,0.2970,0.2517,0.3422,0,0,0,0.0000,53.6197,45.1508,-6.40,44.90,170.28,-0.0645
0.918,0.2346,0.1988,0.2703,0,0,0,0.0000,51.1253,44.3470,-6.55,44.66,170.46,-0.0648
0.948,0.0835,0.0662,0.1008,1,1,0,0.0000,40.8148,36.1164,-6.20,43.08,171.11,-0.0643
0.980,0.0543,0.0544,0.0541,1,2,0,0.0000,41.1678,35.9048,-5.50,43.34,170.87,-0.0647
1.009,0.0885,0.0841,0.0928,1,3,0,0.0000,44.2849,34.9670,3.75,22.61,-5.72,-0.0640
1.026,0.1254,0.0736,0.1771,1,4,0,0.0000,47.3081,42.0183,-2.10,42.81,172.05,-0.0636
1.054,0.2309,0.1635,0.2984,0,0,1,0.9484,47.5813,45.1024,-3.54,44.67,170.77,-0.0623
1.071,0.2670,0.2066,0.3274,0,0,1,0.9337,49.8256,44.4852,-5.07,45.46,170.04,-0.0618
1.104,0.2928,0.2399,0.3457,0,0,1,0.9056,50.9421,44.6396,-4.83,44.22,169.84,-0.0628
1.134,0.3054,0.2496,0.3613,0,0,1,0.8820,52.2511,44.7199,-4.73,43.38,169.88,-0.0631
1.165,0.3208,0.2652,0.3765,0,0,1,0.8582,53.5053,44.3599,-4.51,43.09,169.98,-0.0635
1.193,0.3213,0.2680,0.3747,0,0,1,0.8380,52.8734,44.8561,-4.68,42.97,169.83,-0.0639
1.226,0.3313,0.2733,0.3892,0,0,1,0.8157,53.3251,44.6851,-4.30,42.70,169.92,-0.0643
1.257,0.3317,0.2712,0.3922,0,0,1,0.7956,52.5871,45.3244,-4.98,43.34,169.88,-0.0641
1.286,0.3365,0.2773,0.3957,0,0,1,0.7779,52.8858,45.2525,-4.93,43.51,169.95,-0.0641
1.316,0.3398,0.2839,0.3957,0,0,1,0.7597,54.3743,45.7091,-4.59,43.62,169.81,-0.0642
1.347,0.3266,0.2848,0.3684,0,0,1,0.7421,55.2624,45.4479,-3.96,43.32,169.77,-0.0645
1.379,0.3225,0.2814,0.3636,0,0,1,0.7251,54.9715,45.1775,-2.68,42.79,169.75,-0.0648
1.410,0.3141,0.2717,0.3565,0,0,1,0.7091,54.9828,45.2087,-2.58,42.30,169.23,-0.0647
1.442,0.2932,0.2530,0.3334,0,0,1,0.6934,52.4798,44.3453,-2.32,42.43,168.71,-0.0645
1.469,0.2702,0.2140,0.3265,0,0,1,0.6809,53.2526,42.5862,-2.11,41.94,168.99,-0.0648
1.501,0.2404,0.2089,0.2719,0,0,1,0.6661,47.7415,40.4402,-1.45,41.52,169.24,-0.0647
1.531,0.1805,0.1461,0.2149,1,1,1,0.6531,48.4190,37.3669,-0.01,40.58,170.09,-0.0637
1.561,0.1470,0.1182,0.1759,1,2,1,0.6405,46.6389,38.0261,2.97,39.43,170.42,-0.0634
1.591,0.1495,0.1163,0.1827,1,3,1,0.6286,47.3491,41.5207,4.20,39.10,170.98,-0.0624
1.609,0.1388,0.0968,0.1807,1,4,1,0.6216,46.9421,39.8905,6.63,38.60,171.46,-0.0620
1.638,0.1498,0.1356,0.1641,1,5,1,0.6106,47.9775,39.8858,9.53,38.30,172.92,-0.0610
1.670,0.1437,0.1096,0.1779,1,6,1,0.5988,45.4716,38.7038,11.62,36.98,173.75,-0.0616
1.700,0.1281,0.0990,0.1572,1,7,1,0.5883,42.9426,40.4680,13.58,36.43,174.41,-0.0616
1.717,0.1263,0.0930,0.1597,1,8,1,0.5825,46.1689,39.5959,14.32,35.94,175.09,-0.0610
1.748,0.1165,0.0960,0.1370,1,9,1,0.5722,43.6593,44.1192,16.57,35.37,175.37,-0.0607
1.778,0.1300,0.1071,0.1528,1,10,1,0.5624,43.0785,43.8444,17.62,35.83,175.77,-0.0601
1.809,0.1278,0.1066,0.1491,1,11,1,0.5529,41.5653,42.9210,17.22,36.64,175.70,-0.0608
1.839,0.1323,0.1096,0.1550,1,12,1,0.5437,45.1847,45.4152,17.98,35.92,175.91,-0.0610
1.871,0.1349,0.0988,0.1711,1,13,1,0.5345,45.6597,45.3920,17.78,36.32,176.01,-0.0619
1.900,0.1345,0.1013,0.1678,1,14,1,0.5263,46.1020,42.4095,18.43,37.71,176.08,-0.0602
1.931,0.1405,0.1043,0.1767,1,15,1,0.5180,43.4620,45.3556,18.09,38.17,176.12,-0.0604
1.961,0.1290,0.0955,0.1626,1,16,1,0.5100,42.2676,43.4114,19.12,38.09,176.22,-0.0594
1.991,0.1487,0.1027,0.1947,1,17,1,0.5022,42.7258,45.6705,20.68,38.90,176.81,-0.0599
2.022,0.1302,0.0917,0.1686,1,18,1,0.4945,43.5351,44.5010,21.21,38.90,176.81,-0.0586
2.056,0.1345,0.1017,0.1672,1,19,1,0.4863,42.7666,43.1972,23.34,38.85,177.57,-0.0591
2.086,0.1322,0.0875,0.1768,1,20,1,0.4793,40.3868,45.1436,22.42,38.73,177.37,-0.0589
2.113,0.1375,0.0887,0.1864,1,21,1,0.4732,41.4693,42.3871,23.33,38.43,177.50,-0.0587
2.144,0.1381,0.0882,0.1880,1,22,1,0.4664,41.7724,41.3056,23.08,38.59,177.49,-0.0588
2.159,0.1386,0.0911,0.1862,1,23,1,0.4631,42.7162,40.3413,22.66,38.58,177.29,-0.0588
2.175,0.1364,0.0985,0.1744,1,24,1,0.4597,42.1130,37.1961,24.05,38.16,177.10,-0.0585
2.207,0.1412,0.0930,0.1894,1,25,1,0.4532,41.1146,42.4494,22.13,38.67,176.95,-0.0590
2.238,0.1396,0.0972,0.1820,1,26,1,0.4469,42.7919,40.0909,22.47,38.31,176.63,-0.0591
2.268,0.1536,0.1003,0.2069,1,27,1,0.4409,45.2586,39.3552,22.95,38.15,176.54,-0.0595
2.299,0.1486,0.1001,0.1972,1,28,1,0.4349,44.7465,39.2731,22.56,38.04,176.19,-0.0597
2.328,0.1479,0.0997,0.1961,1,29,1,0.4295,40.8740,40.1898,22.12,38.54,175.75,-0.0598
2.343,0.1525,0.1007,0.2043,1,30,1,0.4268,43.4616,40.8779,22.06,38.66,175.57,-0.0597
2.359,0.1527,0.0979,0.2076,1,31,1,0.4239,44.8887,40.5688,21.68,38.26,175.71,-0.0601
2.389,0.1444,0.0950,0.1938,1,32,1,0.4186,45.6743,40.6100,21.49,38.26,175.67,-0.0600
2.421,0.1415,0.0938,0.1893,1,33,1,0.4131,44.8206,40.4612,21.45,38.21,175.94,-0.0601
2.453,0.1386,0.0895,0.1877,1,34,1,0.4077,44.6188,41.0176,21.82,38.20,175.77,-0.0598
2.484,0.1384,0.0956,0.1811,1,35,1,0.4025,43.2567,40.4792,21.88,38.38,175.87,-0.0598
2.515,0.1299,0.0965,0.1633,1,36,1,0.3977,41.7475,41.5654,21.78,38.75,176.05,-0.0599
2.546,0.1303,0.0907,0.1700,1,37,1,0.3928,43.4066,40.1666,21.84,38.41,175.60,-0.0597
2.577,0.1411,0.1068,0.1754,1,38,1,0.3880,43.5379,44.2936,22.17,38.99,175.89,-0.0596
2.605,0.1390,0.1003,0.1777,1,39,1,0.3838,43.5891,41.6776,21.98,38.81,175.72,-0.0598
2.621,0.1335,0.0996,0.1674,1,40,1,0.3816,46.1999,42.3643,23.66,37.69,175.80,-0.0593
2.637,0.1359,0.1059,0.1660,1,41,1,0.3792,43.4820,43.9212,22.78,38.82,175.68,-0.0591
2.668,0.1351,0.0976,0.1725,1,42,1,0.3748,41.9775,44.3757,22.60,39.04,175.21,-0.0585
2.699,0.1435,0.1089,0.1781,1,43,1,0.3705,44.0264,45.7234,23.23,38.49,175.27,-0.0586
2.730,0.1319,0.0948,0.1691,1,44,1,0.3664,41.9089,45.8410,23.79,38.77,175.47,-0.0580
2.746,0.1469,0.1047,0.1890,1,45,1,0.3642,43.1176,44.7028,23.38,39.14,175.06,-0.0576
2.776,0.1508,0.1189,0.1827,1,46,1,0.3602,44.3868,42.8595,23.92,38.88,175.25,-0.0580
2.808,0.1319,0.1036,0.1602,1,47,1,0.3561,41.0467,40.0383,24.87,38.25,175.40,-0.0576
2.836,0.1519,0.1158,0.1879,1,48,1,0.3526,43.8181,46.9506,24.11,38.17,175.14,-0.0582
2.853,0.1314,0.1010,0.1619,1,49,1,0.3505,41.0573,37.8536,24.83,37.53,175.47,-0.0576
2.884,0.1538,0.1219,0.1857,1,50,1,0.3468,39.5172,43.7073,26.10,36.91,175.82,-0.0585
2.916,0.1522,0.1156,0.1887,1,51,1,0.3430,41.8964,45.7758,25.50,37.40,175.62,-0.0587
2.947,0.1685,0.1185,0.2185,1,52,1,0.3393,40.5282,45.3872,25.70,36.92,175.44,-0.0587
2.979,0.1678,0.1351,0.2005,1,53,1,0.3357,42.8829,44.0201,26.20,37.20,175.19,-0.0582
3.010,0.1695,0.1551,0.1838,1,54,1,0.3323,43.6616,41.5572,26.13,37.24,175.15,-0.0578
3.038,0.1751,0.1473,0.2029,1,55,1,0.3292,44.2114,41.9903,25.87,36.91,175.33,-0.0576
3.056,0.1855,0.1409,0.2300,1,56,1,0.3272,43.3797,44.0958,25.01,37.03,175.02,-0.0574
3.088,0.1685,0.1376,0.1994,1,57,1,0.3238,40.2686,42.3964,24.95,37.88,174.69,-0.0570
3.118,0.1663,0.1194,0.2132,1,58,1,0.3207,41.5174,41.1113,24.41,38.26,174.20,-0.0566
