timestamp_sec,avg_ear,left_ear,right_ear,is_blinking_frame,closed_frame_counter,blink_count_total,blink_rate_bps,left_pupil_diameter,right_pupil_diameter,head_pitch,head_yaw,head_roll,nose_z
0.057,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000
0.078,0.2622,0.2071,0.3172,0,0,0,0.0000,36.7848,36.5451,4.84,42.26,-8.94,-0.0504
0.108,0.2751,0.2144,0.3359,0,0,0,0.0000,39.5767,36.0541,6.51,43.76,-7.40,-0.0488
0.139,0.2632,0.1994,0.3270,0,0,0,0.0000,39.7072,36.3990,5.04,44.25,-7.87,-0.0490
0.170,0.2748,0.2073,0.3424,0,0,0,0.0000,41.0607,36.4296,5.27,44.02,-7.56,-0.0495
0.201,0.2664,0.1997,0.3330,0,0,0,0.0000,40.3737,36.9697,5.88,44.19,-7.67,-0.0492
0.233,0.2685,0.1978,0.3391,0,0,0,0.0000,40.3406,36.8403,5.38,44.08,-7.92,-0.0491
0.265,0.2660,0.1920,0.3400,0,0,0,0.0000,39.5209,36.8396,5.47,43.72,-7.94,-0.0493
0.295,0.2584,0.1893,0.3275,0,0,0,0.0000,39.8328,35.1689,5.41,43.67,-8.04,-0.0493
0.328,0.2645,0.1968,0.3321,0,0,0,0.0000,39.4882,33.9057,5.64,43.92,-8.14,-0.0488
0.357,0.2745,0.2062,0.3427,0,0,0,0.0000,39.6328,32.9828,6.24,44.51,-7.95,-0.0486
0.388,0.2804,0.2111,0.3498,0,0,0,0.0000,39.5271,32.3059,6.29,43.91,-8.21,-0.0491
0.421,0.2839,0.2186,0.3493,0,0,0,0.0000,40.2966,31.5759,5.70,44.37,-8.06,-0.0488
0.450,0.2783,0.2058,0.3507,0,0,0,0.0000,39.0629,32.8529,6.52,44.70,-7.90,-0.0487
0.482,0.2804,0.2121,0.3487,0,0,0,0.0000,39.1378,32.4407,6.13,44.51,-7.96,-0.0488
0.513,0.2824,0.2182,0.3465,0,0,0,0.0000,40.3090,32.9716,6.45,44.16,-7.89,-0.0489
0.547,0.2814,0.2152,0.3475,0,0,0,0.0000,39.9412,32.7056,6.23,44.14,-7.60,-0.0491
0.579,0.2731,0.2044,0.3419,0,0,0,0.0000,39.5797,32.5588,6.59,43.96,-7.47,-0.0491
0.607,0.2741,0.2085,0.3397,0,0,0,0.0000,39.7987,32.8473,6.67,43.89,-7.27,-0.0492
0.639,0.2689,0.2028,0.3351,0,0,0,0.0000,40.2055,32.2781,6.56,43.81,-7.12,-0.0493
0.669,0.2693,0.1962,0.3425,0,0,0,0.0000,39.9613,32.0751,0.96,31.26,170.90,-0.0495
0.699,0.2915,0.2521,0.3309,0,0,0,0.0000,38.9461,31.1610,1.55,30.50,171.05,-0.0496
0.731,0.2872,0.2536,0.3208,0,0,0,0.0000,38.8188,29.3210,1.79,30.02,170.98,-0.0495
0.760,0.2861,0.2531,0.3191,0,0,0,0.0000,39.1726,30.0203,1.61,29.86,170.83,-0.0494
0.794,0.2804,0.2472,0.3137,0,0,0,0.0000,38.5045,30.1249,1.80,29.53,171.09,-0.0492
0.823,0.2810,0.2499,0.3121,0,0,0,0.0000,37.5485,30.1869,1.43,29.52,171.12,-0.0490
0.854,0.2836,0.2526,0.3146,0,0,0,0.0000,37.6433,29.9353,1.61,29.14,171.13,-0.0490
0.885,0.2857,0.2479,0.3235,0,0,0,0.0000,37.4549,29.7819,1.65,29.22,171.24,-0.0487
0.916,0.2814,0.2442,0.3186,0,0,0,0.0000,38.3459,28.4410,6.09,41.05,-6.93,-0.0489
0.948,0.2808,0.2445,0.3172,0,0,0,0.0000,38.0261,28.7812,5.95,40.78,-6.85,-0.0492
0.980,0.2691,0.2228,0.3155,0,0,0,0.0000,39.1665,32.0650,5.50,40.62,-6.80,-0.0492
1.011,0.2457,0.1933,0.2982,0,0,0,0.0000,40.9064,36.7011,5.75,40.36,-6.79,-0.0494
1.041,0.2406,0.1932,0.2879,0,0,0,0.0000,40.9990,36.7247,6.16,40.56,-6.42,-0.0494
1.074,0.2434,0.1922,0.2946,0,0,0,0.0000,41.0685,36.5639,5.67,40.54,-6.84,-0.0495
1.105,0.2513,0.1925,0.3102,0,0,0,0.0000,40.6416,36.3706,6.03,41.19,-6.59,-0.0494
1.134,0.2538,0.1952,0.3124,0,0,0,0.0000,39.3815,35.4044,5.53,40.89,-6.90,-0.0495
1.168,0.2240,0.1768,0.2713,0,0,0,0.0000,40.8585,36.2753,5.18,41.58,-6.85,-0.0488
1.197,0.0952,0.0534,0.1370,1,1,0,0.0000,29.0803,31.3683,0.69,40.92,-8.90,-0.0479
1.228,0.0934,0.0496,0.1371,1,2,0,0.0000,28.3300,34.3842,0.80,41.44,-8.44,-0.0469
1.260,0.0700,0.0486,0.0914,1,3,0,0.0000,26.5914,33.1356,0.88,41.51,-8.38,-0.0474
1.290,0.0912,0.0511,0.1314,1,4,0,0.0000,26.4806,30.7673,2.64,40.87,-7.59,-0.0482
1.319,0.1084,0.0632,0.1536,1,5,0,0.0000,28.9520,30.7632,3.42,41.65,-7.27,-0.0485
1.353,0.1319,0.0637,0.2001,1,6,0,0.0000,28.5716,29.4790,4.02,41.83,-7.17,-0.0483
1.385,0.1409,0.0723,0.2094,1,7,0,0.0000,29.5032,29.8351,4.38,41.83,-7.00,-0.0483
1.417,0.1415,0.0744,0.2086,1,8,0,0.0000,31.5766,30.1706,4.43,41.42,-6.97,-0.0486
1.448,0.1553,0.0894,0.2213,1,9,0,0.0000,32.9360,30.2723,4.87,41.28,-6.94,-0.0487
1.478,0.1807,0.1223,0.2391,1,10,0,0.0000,32.3305,30.7902,5.55,41.30,-6.89,-0.0487
1.510,0.1908,0.1532,0.2285,1,11,0,0.0000,33.3016,30.7970,6.14,41.35,-6.64,-0.0487
1.541,0.1903,0.1672,0.2134,1,12,0,0.0000,33.7353,28.5528,6.42,41.64,-6.53,-0.0488
1.572,0.2243,0.1994,0.2492,0,0,1,0.6360,34.5691,29.6661,5.97,41.52,-6.81,-0.0491
1.603,0.2297,0.1926,0.2668,0,0,1,0.6236,35.2885,29.3655,6.54,41.73,-6.87,-0.0492
1.634,0.2170,0.2025,0.2316,1,1,1,0.6121,36.6801,30.3342,6.69,41.63,-6.81,-0.0493
1.664,0.2346,0.1996,0.2696,0,0,1,0.6010,37.6678,29.7747,6.84,41.62,-6.71,-0.0492
1.694,0.2239,0.1983,0.2495,0,0,1,0.5902,36.8549,29.7057,7.28,41.60,-6.68,-0.0496
1.727,0.2259,0.2045,0.2472,0,0,1,0.5790,37.1995,29.3145,7.69,41.49,-6.51,-0.0498
1.757,0.2243,0.2063,0.2423,0,0,1,0.5692,37.8611,28.9774,2.75,28.84,171.79,-0.0496
1.789,0.2284,0.2046,0.2523,0,0,1,0.5589,35.4878,29.2624,8.21,41.70,-6.41,-0.0497
1.820,0.2392,0.2151,0.2633,0,0,1,0.5493,36.7394,29.6853,8.04,41.24,-6.37,-0.0497
1.850,0.2424,0.2192,0.2656,0,0,1,0.5404,36.3632,30.3282,7.85,41.57,-6.39,-0.0495
1.882,0.2479,0.2201,0.2757,0,0,1,0.5314,36.5965,30.3273,7.86,41.59,-6.40,-0.0495
1.912,0.2294,0.2018,0.2569,0,0,1,0.5229,36.2607,30.2859,7.59,41.45,-6.38,-0.0494
1.946,0.2146,0.1470,0.2822,1,1,1,0.5137,40.5819,36.4604,1.77,28.90,171.68,-0.0496
1.977,0.2214,0.1527,0.2902,0,0,1,0.5057,41.7585,37.8011,1.66,28.60,171.66,-0.0497
2.009,0.2255,0.1593,0.2917,0,0,1,0.4977,40.6340,38.1518,1.83,28.50,171.81,-0.0498
2.040,0.2305,0.1655,0.2955,0,0,1,0.4903,41.3409,36.9068,1.72,28.84,171.77,-0.0497
2.071,0.2316,0.1622,0.3010,0,0,1,0.4829,41.6657,38.0103,1.92,28.79,171.79,-0.0498
2.103,0.2382,0.1691,0.3074,0,0,1,0.4755,41.2825,36.8654,1.51,28.99,171.75,-0.0497
2.133,0.2399,0.1669,0.3128,0,0,1,0.4687,40.1526,35.8242,1.33,29.46,171.91,-0.0497
2.167,0.2430,0.1611,0.3248,0,0,1,0.4615,40.3451,35.5761,0.55,29.59,171.67,-0.0497
2.197,0.2413,0.1685,0.3141,0,0,1,0.4551,39.9675,36.1445,0.42,29.68,171.61,-0.0500
2.226,0.2365,0.1669,0.3060,0,0,1,0.4491,39.2019,36.6341,0.28,29.52,171.76,-0.0503
