timestamp_sec,avg_ear,left_ear,right_ear,is_blinking_frame,closed_frame_counter,blink_count_total,blink_rate_bps,left_pupil_diameter,right_pupil_diameter,head_pitch,head_yaw,head_roll,nose_z
0.051,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000
0.071,0.1671,0.1241,0.2100,1,1,0,0.0000,46.7612,32.8462,30.72,37.50,-175.74,-0.0512
0.100,0.1662,0.1582,0.1742,1,2,0,0.0000,47.0601,31.2917,32.19,41.19,-175.48,-0.0493
0.130,0.1898,0.1488,0.2308,1,3,0,0.0000,48.5643,38.0363,27.62,22.90,2.55,-0.0507
0.146,0.2006,0.1882,0.2130,1,4,0,0.0000,47.6306,33.2952,32.25,41.65,-175.86,-0.0492
0.178,0.1701,0.1410,0.1991,1,5,0,0.0000,46.3180,37.0577,32.04,41.94,-175.98,-0.0491
0.206,0.1831,0.1572,0.2091,1,6,0,0.0000,47.6786,41.5307,33.06,40.24,-176.41,-0.0501
0.222,0.1663,0.1722,0.1604,1,7,0,0.0000,48.8854,37.6716,28.48,23.12,0.83,-0.0497
0.238,0.1610,0.1459,0.1761,1,8,0,0.0000,42.7386,31.1081,29.26,24.61,1.70,-0.0501
0.253,0.1741,0.1561,0.1921,1,9,0,0.0000,49.0235,33.1159,32.87,40.82,-175.75,-0.0515
0.269,0.1623,0.1551,0.1696,1,10,0,0.0000,43.1977,33.4198,31.63,41.32,-176.00,-0.0515
0.284,0.1570,0.1527,0.1614,1,11,0,0.0000,41.1046,37.4624,31.10,41.94,-175.68,-0.0525
0.300,0.1494,0.1463,0.1524,1,12,0,0.0000,40.9070,35.1110,26.88,21.87,0.30,-0.0534
0.317,0.1702,0.1584,0.1820,1,13,0,0.0000,42.0608,35.0966,31.08,41.33,-176.68,-0.0525
0.332,0.1578,0.1466,0.1690,1,14,0,0.0000,42.8700,37.1520,26.55,21.89,0.85,-0.0535
0.363,0.1721,0.1409,0.2032,1,15,0,0.0000,41.4208,32.9955,26.24,23.40,1.38,-0.0530
0.415,0.1526,0.1521,0.1531,1,16,0,0.0000,45.1508,31.8112,25.57,22.77,0.35,-0.0532
0.440,0.1941,0.1623,0.2260,1,17,0,0.0000,45.1561,35.6727,25.77,22.39,0.62,-0.0529
0.456,0.2052,0.1788,0.2315,1,18,0,0.0000,43.0848,31.0540,25.83,22.56,0.42,-0.0532
0.471,0.1792,0.1791,0.1793,1,19,0,0.0000,46.1263,32.3347,27.48,23.50,0.02,-0.0518
0.486,0.1869,0.1809,0.1928,1,20,0,0.0000,46.6764,29.9543,31.23,44.17,-176.82,-0.0521
0.502,0.1694,0.1743,0.1646,1,21,0,0.0000,45.9006,34.1818,33.80,42.77,-176.77,-0.0514
0.518,0.1871,0.1748,0.1993,1,22,0,0.0000,48.6144,35.5121,38.05,40.66,-174.64,-0.0488
0.550,0.1756,0.1689,0.1823,1,23,0,0.0000,42.3184,26.8218,38.42,41.57,-174.28,-0.0466
0.582,0.1693,0.1541,0.1845,1,24,0,0.0000,39.9532,30.6414,40.08,39.98,-174.39,-0.0452
