timestamp_sec,avg_ear,left_ear,right_ear,is_blinking_frame,closed_frame_counter,blink_count_total,blink_rate_bps,left_pupil_diameter,right_pupil_diameter,head_pitch,head_yaw,head_roll,nose_z
0.043,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000
0.070,0.3827,0.3634,0.4020,0,0,0,0.0000,46.7784,40.0733,15.50,35.95,174.15,-0.0517
0.091,0.3883,0.3624,0.4143,0,0,0,0.0000,43.5892,38.7088,11.09,37.13,173.35,-0.0538
0.114,0.3771,0.3422,0.4121,0,0,0,0.0000,45.9771,36.4746,10.46,37.39,173.49,-0.0539
0.135,0.3747,0.3375,0.4119,0,0,0,0.0000,47.1064,35.8368,10.42,37.80,173.61,-0.0542
0.165,0.3889,0.3599,0.4178,0,0,0,0.0000,45.2016,35.6803,9.71,38.05,173.45,-0.0544
0.211,0.3893,0.3532,0.4254,0,0,0,0.0000,46.4083,35.9794,9.74,37.97,173.60,-0.0545
0.238,0.3909,0.3590,0.4229,0,0,0,0.0000,46.4452,35.1386,9.07,37.65,173.09,-0.0553
0.260,0.3767,0.3368,0.4166,0,0,0,0.0000,45.9424,35.5635,8.20,37.70,172.76,-0.0554
0.310,0.3653,0.3170,0.4137,0,0,0,0.0000,47.6326,41.5975,7.11,37.24,172.47,-0.0559
0.326,0.3681,0.3309,0.4053,0,0,0,0.0000,47.5354,41.1909,7.13,36.64,172.68,-0.0559
0.374,0.3649,0.3207,0.4092,0,0,0,0.0000,48.0560,40.3450,6.90,36.56,172.60,-0.0565
0.404,0.3678,0.3308,0.4047,0,0,0,0.0000,47.0947,41.9410,6.81,36.16,172.97,-0.0569
0.430,0.3754,0.3373,0.4135,0,0,0,0.0000,46.6565,41.2374,7.27,35.96,173.09,-0.0566
0.450,0.3786,0.3305,0.4266,0,0,0,0.0000,48.0147,40.7562,7.80,35.50,173.31,-0.0565
0.460,0.3527,0.3064,0.3991,0,0,0,0.0000,48.4449,43.4916,9.28,34.36,173.54,-0.0568
0.502,0.3639,0.3144,0.4133,0,0,0,0.0000,48.9588,43.3661,9.15,33.84,173.69,-0.0564
0.532,0.3481,0.3137,0.3824,0,0,0,0.0000,49.5607,43.2746,8.16,33.03,174.18,-0.0566
0.551,0.3379,0.3144,0.3614,0,0,0,0.0000,48.6496,43.1160,7.25,33.03,175.03,-0.0567
0.574,0.3328,0.3128,0.3528,0,0,0,0.0000,48.3088,42.8534,7.12,33.09,175.76,-0.0569
0.594,0.3298,0.3119,0.3476,0,0,0,0.0000,48.2190,43.2279,6.89,33.36,176.30,-0.0568
0.611,0.3294,0.3076,0.3513,0,0,0,0.0000,47.1736,42.4877,6.94,33.36,176.50,-0.0569
0.650,0.3312,0.3108,0.3517,0,0,0,0.0000,46.8986,42.3787,6.62,33.26,176.28,-0.0573
