timestamp_sec,avg_ear,left_ear,right_ear,is_blinking_frame,closed_frame_counter,blink_count_total,blink_rate_bps,left_pupil_diameter,right_pupil_diameter,head_pitch,head_yaw,head_roll,nose_z
0.052,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000
0.072,0.1773,0.1689,0.1857,1,1,0,0.0000,45.7543,38.0357,11.39,14.38,-176.44,-0.0599
0.098,0.1700,0.1702,0.1697,1,2,0,0.0000,46.3446,37.4999,14.65,13.27,-176.32,-0.0605
0.130,0.1408,0.1486,0.1331,1,3,0,0.0000,44.0319,38.5854,15.84,10.09,-176.38,-0.0607
0.159,0.1759,0.1742,0.1775,1,4,0,0.0000,42.1954,39.2795,14.74,12.26,-176.48,-0.0604
0.175,0.1450,0.1501,0.1399,1,5,0,0.0000,42.8841,41.3094,15.68,10.53,-176.66,-0.0607
0.192,0.1590,0.1586,0.1593,1,6,0,0.0000,41.3377,40.2781,15.47,11.90,-177.04,-0.0604
0.207,0.1442,0.1399,0.1485,1,7,0,0.0000,42.7261,41.0947,15.81,11.66,-177.37,-0.0599
0.223,0.1521,0.1540,0.1502,1,8,0,0.0000,43.0254,40.7963,14.64,12.81,-177.62,-0.0596
0.239,0.1509,0.1478,0.1540,1,9,0,0.0000,42.6795,41.1171,14.82,13.00,-177.44,-0.0597
0.270,0.1661,0.1538,0.1784,1,10,0,0.0000,43.3849,41.3180,14.84,14.10,-177.45,-0.0596
0.286,0.1649,0.1616,0.1682,1,11,0,0.0000,44.6528,41.6593,14.98,13.42,-177.34,-0.0596
0.302,0.1580,0.1620,0.1541,1,12,0,0.0000,43.3362,41.6853,14.67,14.50,-177.31,-0.0597
0.318,0.1772,0.1586,0.1957,1,13,0,0.0000,46.1619,41.8932,14.25,13.46,-177.46,-0.0600
0.333,0.1581,0.1679,0.1483,1,14,0,0.0000,44.0292,41.4784,13.73,14.55,-177.27,-0.0599
0.349,0.1694,0.1612,0.1777,1,15,0,0.0000,44.3182,40.8103,14.86,13.10,-177.06,-0.0604
0.382,0.1503,0.1381,0.1625,1,16,0,0.0000,43.9006,40.7368,13.66,13.17,-177.28,-0.0596
0.410,0.1580,0.1484,0.1677,1,17,0,0.0000,43.1843,41.6471,13.41,12.97,-177.38,-0.0598
0.426,0.1774,0.1610,0.1938,1,18,0,0.0000,43.3099,40.6856,13.03,13.48,-177.18,-0.0597
0.456,0.1702,0.1617,0.1786,1,19,0,0.0000,43.9355,41.0537,12.62,13.26,-177.31,-0.0600
0.489,0.1772,0.1612,0.1932,1,20,0,0.0000,43.5144,40.8986,12.35,14.02,-177.24,-0.0598
0.520,0.1784,0.1725,0.1842,1,21,0,0.0000,43.8944,41.6579,12.94,13.03,-177.18,-0.0598
0.552,0.1775,0.1660,0.1891,1,22,0,0.0000,44.0646,40.2672,11.93,13.78,-177.11,-0.0593
0.583,0.1795,0.1621,0.1968,1,23,0,0.0000,43.3740,40.4456,11.80,13.78,-177.05,-0.0588
0.612,0.1852,0.1662,0.2042,1,24,0,0.0000,44.2132,39.9343,11.31,13.95,-176.75,-0.0588
0.628,0.1876,0.1741,0.2010,1,25,0,0.0000,43.6316,40.2678,11.67,14.21,-176.86,-0.0588
0.658,0.1844,0.1715,0.1972,1,26,0,0.0000,43.5588,39.9969,11.44,14.42,-176.73,-0.0594
0.674,0.1902,0.1844,0.1959,1,27,0,0.0000,43.8385,41.0954,11.99,14.40,-176.69,-0.0596
0.706,0.1892,0.1766,0.2018,1,28,0,0.0000,43.3767,40.4284,11.84,14.59,-176.86,-0.0600
0.740,0.1837,0.1822,0.1853,1,29,0,0.0000,44.1650,42.3708,12.37,13.81,-176.81,-0.0602
0.766,0.1810,0.1711,0.1909,1,30,0,0.0000,43.4840,40.8533,12.52,13.29,-176.68,-0.0597
0.782,0.1840,0.1759,0.1921,1,31,0,0.0000,43.4809,40.2571,11.90,13.81,-176.65,-0.0595
0.798,0.1857,0.1735,0.1979,1,32,0,0.0000,43.5511,40.0899,11.74,13.26,-176.70,-0.0595
0.816,0.1835,0.1679,0.1991,1,33,0,0.0000,43.9918,40.1723,12.56,12.91,-176.50,-0.0598
0.848,0.1962,0.1850,0.2074,1,34,0,0.0000,43.2950,40.3159,12.51,13.07,-176.62,-0.0595
0.878,0.1926,0.1742,0.2109,1,35,0,0.0000,43.9472,39.8854,11.87,13.31,-176.68,-0.0596
0.893,0.1886,0.1764,0.2008,1,36,0,0.0000,43.3479,39.8139,12.32,13.04,-176.66,-0.0597
0.909,0.1906,0.1747,0.2065,1,37,0,0.0000,43.7165,39.9438,11.85,13.20,-176.75,-0.0596
0.941,0.1778,0.1680,0.1877,1,38,0,0.0000,43.3880,39.9942,12.11,13.06,-176.69,-0.0595
0.957,0.1861,0.1720,0.2002,1,39,0,0.0000,44.3560,39.8335,12.07,12.89,-176.76,-0.0601
0.987,0.1756,0.1603,0.1910,1,40,0,0.0000,43.3902,40.2752,12.21,13.30,-176.59,-0.0600
1.003,0.1810,0.1700,0.1921,1,41,0,0.0000,43.5041,39.3984,12.08,13.54,-176.74,-0.0606
1.033,0.1771,0.1718,0.1825,1,42,0,0.0000,44.1787,41.1619,12.24,13.29,-176.66,-0.0604
1.048,0.1811,0.1702,0.1921,1,43,0,0.0000,43.8984,40.6794,11.77,13.59,-176.82,-0.0603
1.066,0.1939,0.1851,0.2027,1,44,0,0.0000,43.7235,40.7153,12.03,13.72,-176.81,-0.0605
1.096,0.1789,0.1678,0.1901,1,45,0,0.0000,44.1688,41.0085,11.44,14.13,-176.94,-0.0605
