timestamp_sec,avg_ear,left_ear,right_ear,is_blinking_frame,closed_frame_counter,blink_count_total,blink_rate_bps,left_pupil_diameter,right_pupil_diameter,head_pitch,head_yaw,head_roll,nose_z
0.041,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000
0.072,0.3544,0.2883,0.4204,0,0,0,0.0000,51.6105,49.7984,-13.14,41.63,158.66,-0.0657
0.091,0.3638,0.2944,0.4332,0,0,0,0.0000,50.7075,48.3568,-11.02,40.20,160.44,-0.0645
0.113,0.3637,0.2965,0.4309,0,0,0,0.0000,52.4461,48.0995,-10.41,40.28,160.80,-0.0644
0.142,0.3784,0.3183,0.4386,0,0,0,0.0000,52.1669,48.9152,-9.99,39.63,161.34,-0.0647
0.155,0.3798,0.3191,0.4404,0,0,0,0.0000,52.6263,48.6934,-10.06,39.33,161.72,-0.0652
0.200,0.3849,0.3226,0.4471,0,0,0,0.0000,52.4555,48.6086,-9.56,39.13,162.07,-0.0652
0.231,0.3784,0.3216,0.4353,0,0,0,0.0000,52.6602,48.8430,-9.65,38.87,161.97,-0.0653
0.234,0.3808,0.3225,0.4391,0,0,0,0.0000,53.2647,49.5035,-9.23,38.77,162.26,-0.0654
0.250,0.3733,0.3209,0.4258,0,0,0,0.0000,53.3584,49.7321,-8.81,39.11,162.34,-0.0654
0.280,0.3721,0.3158,0.4285,0,0,0,0.0000,53.4262,49.6634,-8.23,38.99,162.63,-0.0660
0.304,0.3702,0.3106,0.4298,0,0,0,0.0000,53.3062,50.2507,-7.98,39.37,162.94,-0.0660
0.326,0.3651,0.3053,0.4248,0,0,0,0.0000,53.5573,50.4815,-7.45,38.75,163.52,-0.0659
0.358,0.3571,0.2980,0.4162,0,0,0,0.0000,53.0881,49.7442,-7.41,38.80,163.76,-0.0659
0.393,0.3561,0.3031,0.4091,0,0,0,0.0000,53.6880,49.2188,-7.28,38.64,164.02,-0.0658
0.424,0.3379,0.2887,0.3871,0,0,0,0.0000,53.4589,48.1530,-7.83,39.38,163.59,-0.0654
0.453,0.2704,0.2351,0.3057,0,0,0,0.0000,53.4593,48.6693,-8.65,39.59,163.18,-0.0657
0.498,0.2097,0.1863,0.2330,1,1,0,0.0000,52.4463,49.2134,-9.36,39.49,163.12,-0.0662
0.532,0.1602,0.1168,0.2035,1,2,0,0.0000,49.6163,48.9570,-9.61,39.25,163.50,-0.0663
0.553,0.2209,0.1806,0.2613,0,0,0,0.0000,52.1591,50.1194,-9.22,40.31,163.08,-0.0660
0.579,0.2701,0.2193,0.3209,0,0,0,0.0000,53.4983,47.9976,-9.24,40.64,162.79,-0.0662
0.591,0.3120,0.2625,0.3615,0,0,0,0.0000,54.7477,48.8582,-9.29,40.73,162.82,-0.0660
0.622,0.3351,0.2877,0.3825,0,0,0,0.0000,55.4285,47.9089,-8.40,40.74,163.27,-0.0663
0.644,0.3458,0.2949,0.3967,0,0,0,0.0000,54.4232,47.8479,-9.25,41.33,163.06,-0.0660
0.661,0.3508,0.2943,0.4073,0,0,0,0.0000,54.2982,48.4936,-9.12,41.40,163.36,-0.0667
0.684,0.3581,0.2995,0.4167,0,0,0,0.0000,53.7194,48.7648,-8.90,41.18,163.66,-0.0665
0.701,0.3549,0.2966,0.4132,0,0,0,0.0000,53.1719,49.8569,-8.93,40.93,163.53,-0.0670
0.724,0.3558,0.3016,0.4101,0,0,0,0.0000,52.2936,51.3049,-8.68,40.66,163.60,-0.0678
0.743,0.3580,0.2925,0.4234,0,0,0,0.0000,51.8241,50.5051,-8.81,41.13,163.16,-0.0677
0.762,0.3739,0.3017,0.4461,0,0,0,0.0000,53.9931,51.1415,-8.93,41.73,162.82,-0.0671
0.784,0.3784,0.3116,0.4452,0,0,0,0.0000,55.9725,50.4749,-8.92,41.77,162.46,-0.0666
0.803,0.3829,0.3119,0.4540,0,0,0,0.0000,54.8643,50.0630,-8.78,41.42,162.51,-0.0663
0.822,0.3801,0.3083,0.4519,0,0,0,0.0000,53.0573,50.7731,-8.92,41.73,162.55,-0.0663
0.843,0.3784,0.3074,0.4495,0,0,0,0.0000,53.4951,50.7393,-9.03,41.54,162.55,-0.0657
0.862,0.3784,0.3036,0.4531,0,0,0,0.0000,53.5792,51.1724,-8.75,40.67,162.52,-0.0662
0.884,0.3841,0.3026,0.4655,0,0,0,0.0000,53.3571,50.2429,-9.30,40.26,162.61,-0.0658
0.904,0.3700,0.3037,0.4363,0,0,0,0.0000,53.7968,50.0578,-10.06,40.26,161.99,-0.0658
0.922,0.3663,0.3071,0.4256,0,0,0,0.0000,53.6493,50.0840,-10.53,40.09,161.97,-0.0661
0.942,0.3807,0.3129,0.4484,0,0,0,0.0000,54.7045,50.0556,-10.33,39.80,161.97,-0.0666
0.966,0.3655,0.3087,0.4222,0,0,0,0.0000,54.3646,48.9322,-11.19,39.80,161.69,-0.0667
0.983,0.3650,0.3023,0.4277,0,0,0,0.0000,54.1230,48.8770,-11.70,40.25,161.03,-0.0664
1.002,0.3595,0.2994,0.4196,0,0,0,0.0000,52.8392,48.7584,-10.58,39.85,161.46,-0.0667
1.022,0.3617,0.2996,0.4238,0,0,0,0.0000,52.4346,49.7606,-9.59,39.73,161.78,-0.0669
1.042,0.3558,0.3035,0.4082,0,0,0,0.0000,51.3682,50.4387,-8.09,39.36,162.24,-0.0664
1.062,0.3570,0.3063,0.4078,0,0,0,0.0000,53.3949,50.3255,-6.67,39.33,162.42,-0.0654
1.082,0.3542,0.3011,0.4073,0,0,0,0.0000,52.2132,50.0597,-4.33,39.38,163.28,-0.0649
1.102,0.3558,0.3115,0.4002,0,0,0,0.0000,52.0103,49.6294,-3.65,39.70,163.64,-0.0641
1.124,0.3364,0.3008,0.3721,0,0,0,0.0000,50.5945,49.3318,-0.89,39.51,164.63,-0.0637
1.144,0.3418,0.2957,0.3879,0,0,0,0.0000,49.9441,49.6463,1.60,38.69,165.41,-0.0645
1.174,0.3458,0.3082,0.3835,0,0,0,0.0000,50.7329,50.2399,2.76,38.69,166.00,-0.0637
1.208,0.3474,0.2916,0.4031,0,0,0,0.0000,51.7602,51.3025,3.02,38.18,166.01,-0.0638
1.240,0.3449,0.3013,0.3885,0,0,0,0.0000,50.4253,49.9673,3.13,38.28,166.08,-0.0640
1.270,0.3570,0.3048,0.4092,0,0,0,0.0000,52.9044,50.8888,3.64,38.48,166.12,-0.0641
1.300,0.3432,0.2910,0.3954,0,0,0,0.0000,53.7712,51.0285,3.56,38.39,166.29,-0.0641
1.333,0.3577,0.3159,0.3995,0,0,0,0.0000,55.0275,51.1365,2.93,38.64,166.12,-0.0635
1.363,0.3439,0.2923,0.3955,0,0,0,0.0000,54.9935,52.0437,1.58,39.06,165.95,-0.0638
1.394,0.3568,0.3074,0.4063,0,0,0,0.0000,53.8414,51.1006,2.46,38.68,166.04,-0.0640
1.425,0.3487,0.3071,0.3903,0,0,0,0.0000,55.2004,51.4388,1.87,39.34,165.86,-0.0638
1.456,0.3476,0.3041,0.3912,0,0,0,0.0000,54.3840,51.1134,2.00,39.62,165.94,-0.0632
1.487,0.3425,0.2983,0.3866,0,0,0,0.0000,54.3252,50.7715,2.54,39.96,166.10,-0.0630
1.519,0.3435,0.3054,0.3816,0,0,0,0.0000,53.5380,50.8590,2.78,39.82,166.34,-0.0632
1.549,0.3474,0.3113,0.3834,0,0,0,0.0000,53.0208,50.6571,3.46,39.96,166.67,-0.0629
1.581,0.3595,0.3156,0.4034,0,0,0,0.0000,52.6082,50.9074,3.39,39.89,166.95,-0.0632
1.613,0.3527,0.3104,0.3951,0,0,0,0.0000,53.5711,50.4287,2.03,40.28,166.78,-0.0639
1.642,0.3597,0.3044,0.4150,0,0,0,0.0000,53.5675,50.2651,1.64,40.87,166.67,-0.0633
1.673,0.3519,0.3096,0.3942,0,0,0,0.0000,53.0773,51.2272,1.68,40.41,166.50,-0.0635
1.689,0.3469,0.3108,0.3830,0,0,0,0.0000,54.1466,49.6611,2.33,40.46,166.70,-0.0640
1.721,0.3392,0.3044,0.3741,0,0,0,0.0000,54.3035,52.3308,2.54,40.40,166.43,-0.0641
1.750,0.3374,0.3041,0.3708,0,0,0,0.0000,48.8916,47.7488,3.05,40.77,165.70,-0.0639
1.782,0.3341,0.3071,0.3610,0,0,0,0.0000,49.3094,45.3368,4.60,40.05,166.55,-0.0646
1.799,0.3318,0.3191,0.3445,0,0,0,0.0000,49.3126,46.4135,5.21,40.02,166.36,-0.0657
1.829,0.3395,0.3140,0.3650,0,0,0,0.0000,47.4707,46.4590,5.30,40.52,166.56,-0.0660
1.860,0.3394,0.3059,0.3729,0,0,0,0.0000,49.8107,46.9891,5.02,40.56,166.30,-0.0667
1.891,0.3465,0.3144,0.3787,0,0,0,0.0000,50.7141,47.5997,4.18,41.66,166.03,-0.0665
1.921,0.3108,0.2889,0.3327,0,0,0,0.0000,49.9642,48.2899,3.20,42.03,165.65,-0.0671
1.951,0.3059,0.2911,0.3206,0,0,0,0.0000,51.4428,53.8765,0.96,42.25,165.09,-0.0677
1.967,0.3389,0.3242,0.3535,0,0,0,0.0000,52.2413,53.5489,0.14,42.58,165.89,-0.0667
1.998,0.3197,0.3156,0.3238,0,0,0,0.0000,51.8113,54.4104,0.44,42.41,167.15,-0.0660
2.028,0.3322,0.3180,0.3464,0,0,0,0.0000,53.0480,52.1116,-0.43,42.02,167.79,-0.0659
2.060,0.3288,0.3194,0.3381,0,0,0,0.0000,51.8555,49.7036,-0.18,42.26,168.45,-0.0648
2.091,0.3273,0.3255,0.3291,0,0,0,0.0000,51.7279,51.3950,0.18,41.67,168.78,-0.0651
2.122,0.3254,0.3096,0.3412,0,0,0,0.0000,51.9622,52.8706,2.72,40.32,170.02,-0.0664
2.154,0.3398,0.3113,0.3684,0,0,0,0.0000,53.9671,52.2587,5.49,39.20,170.30,-0.0670
2.183,0.3306,0.3109,0.3503,0,0,0,0.0000,53.3815,52.6149,6.97,38.99,169.68,-0.0668
2.199,0.3196,0.2929,0.3463,0,0,0,0.0000,53.1775,51.4752,6.70,40.05,168.71,-0.0666
2.231,0.2946,0.2708,0.3184,0,0,0,0.0000,52.0715,51.4323,5.72,40.52,168.17,-0.0661
2.262,0.2262,0.1884,0.2641,0,0,0,0.0000,49.4117,46.0086,3.29,41.70,167.40,-0.0652
2.294,0.1047,0.0850,0.1243,1,1,0,0.0000,39.2344,44.6246,2.19,41.09,166.20,-0.0640
2.323,0.1007,0.0722,0.1292,1,2,0,0.0000,36.8327,46.4483,3.16,40.56,166.73,-0.0633
2.354,0.0884,0.0598,0.1170,1,3,0,0.0000,35.3544,44.8881,2.68,40.94,166.74,-0.0626
2.385,0.1115,0.0917,0.1313,1,4,0,0.0000,49.2162,42.7413,1.71,41.25,166.89,-0.0625
2.417,0.2821,0.2148,0.3494,0,0,1,0.4138,49.8055,44.9794,0.24,44.03,165.05,-0.0632
2.447,0.3341,0.2819,0.3863,0,0,1,0.4087,50.2993,46.3817,-1.38,43.80,164.16,-0.0629
2.477,0.3461,0.2982,0.3940,0,0,1,0.4037,49.2366,47.0703,-1.87,43.71,164.05,-0.0629
2.510,0.3506,0.3160,0.3852,0,0,1,0.3984,49.3657,48.1353,-1.75,43.96,163.79,-0.0629
2.539,0.3614,0.3239,0.3988,0,0,1,0.3938,49.3043,46.6604,-1.77,44.77,163.34,-0.0627
2.569,0.3681,0.3284,0.4079,0,0,1,0.3892,49.8614,46.1689,-1.24,45.04,163.92,-0.0625
2.585,0.3644,0.3233,0.4055,0,0,1,0.3868,48.2940,45.4808,-0.65,45.09,165.07,-0.0624
2.600,0.3562,0.3145,0.3979,0,0,1,0.3846,48.8113,45.5238,-0.76,45.01,165.60,-0.0628
2.632,0.3685,0.3243,0.4126,0,0,1,0.3799,48.0264,47.1198,-0.35,44.97,166.08,-0.0626
2.665,0.3579,0.3209,0.3949,0,0,1,0.3752,47.9583,47.3509,-0.71,45.33,166.15,-0.0630
2.695,0.3622,0.3254,0.3990,0,0,1,0.3711,46.5687,47.9267,-0.78,45.65,166.40,-0.0631
2.726,0.3538,0.3158,0.3919,0,0,1,0.3668,46.1251,46.6021,-1.55,46.09,166.22,-0.0636
2.755,0.3568,0.3146,0.3990,0,0,1,0.3630,48.3698,45.7805,-2.42,46.25,166.19,-0.0635
2.771,0.3541,0.3144,0.3938,0,0,1,0.3609,49.7410,46.1768,-2.65,46.71,165.96,-0.0630
2.787,0.3535,0.3249,0.3822,0,0,1,0.3588,51.2577,45.8189,-4.00,46.95,165.30,-0.0618
2.819,0.3514,0.3239,0.3790,0,0,1,0.3547,52.7841,46.2336,-4.01,47.30,165.28,-0.0613
2.850,0.3507,0.3175,0.3839,0,0,1,0.3509,52.4800,45.6561,-4.47,47.69,164.67,-0.0611
2.881,0.3605,0.3200,0.4010,0,0,1,0.3471,51.3899,47.0614,-4.24,47.44,164.48,-0.0615
2.912,0.3589,0.3179,0.4000,0,0,1,0.3434,50.8382,47.1446,-4.18,48.08,164.13,-0.0605
2.927,0.3681,0.3124,0.4239,0,0,1,0.3417,50.9792,46.3064,-5.08,48.73,163.61,-0.0603
2.943,0.3719,0.3126,0.4313,0,0,1,0.3397,50.7530,46.3633,-5.57,49.50,163.38,-0.0598
2.959,0.3567,0.3050,0.4085,0,0,1,0.3379,49.5232,49.1407,-4.55,49.00,162.78,-0.0604
2.975,0.3587,0.3099,0.4075,0,0,1,0.3361,50.5777,46.4147,-4.68,49.95,162.29,-0.0586
2.991,0.3578,0.3113,0.4044,0,0,1,0.3343,51.0406,45.3864,-5.92,50.55,161.51,-0.0590
3.023,0.3537,0.3076,0.3999,0,0,1,0.3308,50.3794,45.8205,-6.65,51.38,160.57,-0.0577
3.039,0.3757,0.3181,0.4334,0,0,1,0.3291,50.0547,46.3048,-6.90,51.66,160.02,-0.0569
3.071,0.3673,0.3151,0.4196,0,0,1,0.3257,49.9289,46.2939,-7.49,52.03,159.21,-0.0570
3.101,0.3773,0.3150,0.4397,0,0,1,0.3225,50.1036,46.2962,-7.00,51.99,159.17,-0.0568
3.133,0.3736,0.3187,0.4285,0,0,1,0.3192,49.6777,45.9989,-7.85,52.52,158.39,-0.0573
3.150,0.3657,0.3197,0.4117,0,0,1,0.3175,49.2129,44.7987,-7.98,52.96,157.44,-0.0572
3.189,0.3606,0.3273,0.3940,0,0,1,0.3136,48.8702,44.5746,-8.71,52.71,156.77,-0.0569
3.216,0.3769,0.3279,0.4258,0,0,1,0.3109,51.3713,43.0629,-8.99,52.73,156.69,-0.0565
3.245,0.3759,0.3366,0.4153,0,0,1,0.3081,49.8453,43.7674,-8.41,52.07,157.04,-0.0573
3.286,0.3747,0.3218,0.4276,0,0,1,0.3044,49.5131,45.1378,-7.57,51.97,157.00,-0.0576
3.302,0.3710,0.3146,0.4274,0,0,1,0.3028,49.2851,45.9702,-5.94,50.72,158.69,-0.0589
3.334,0.3628,0.3123,0.4132,0,0,1,0.2999,49.1910,45.8573,-5.27,49.71,159.32,-0.0598
3.350,0.3593,0.3074,0.4112,0,0,1,0.2985,48.5645,44.2378,-5.32,49.51,160.16,-0.0601
3.370,0.3590,0.3070,0.4110,0,0,1,0.2967,48.4049,45.2626,-4.97,48.87,160.75,-0.0607
3.407,0.3499,0.3059,0.3939,0,0,1,0.2935,48.6095,45.1850,-5.37,48.65,160.83,-0.0616
3.438,0.3334,0.3046,0.3622,0,0,1,0.2908,49.5457,45.0637,-6.02,48.55,160.33,-0.0619
3.458,0.3253,0.3048,0.3457,0,0,1,0.2892,50.3455,44.2327,-4.97,47.85,160.70,-0.0616
3.489,0.3272,0.2954,0.3589,0,0,1,0.2866,49.8135,45.9271,-5.20,47.16,160.56,-0.0622
3.508,0.3289,0.2858,0.3719,0,0,1,0.2851,49.7153,48.4348,-5.83,46.66,160.18,-0.0626
3.539,0.3062,0.2586,0.3538,0,0,1,0.2825,48.0231,46.9000,-3.91,46.10,161.30,-0.0626
3.571,0.2538,0.2047,0.3030,0,0,1,0.2800,48.8438,46.3569,-3.65,45.18,161.60,-0.0629
3.602,0.1730,0.1632,0.1827,1,1,1,0.2776,45.2896,42.0660,-3.60,44.04,162.21,-0.0631
3.634,0.2155,0.1738,0.2571,1,2,1,0.2752,46.2792,38.5019,-3.11,43.00,162.01,-0.0632
3.665,0.2622,0.2188,0.3056,0,0,1,0.2728,46.8731,39.8938,-3.16,43.87,161.57,-0.0638
3.712,0.3085,0.2537,0.3633,0,0,1,0.2694,47.5303,40.6761,-3.45,44.00,161.57,-0.0643
3.729,0.3135,0.2716,0.3555,0,0,1,0.2681,46.9767,40.9307,-1.30,43.11,162.42,-0.0646
3.769,0.3178,0.2824,0.3532,0,0,1,0.2653,47.0587,41.7091,-1.32,43.15,162.30,-0.0644
3.790,0.3278,0.2856,0.3700,0,0,1,0.2639,47.6972,44.0750,0.09,42.05,162.88,-0.0641
3.809,0.3295,0.2774,0.3816,0,0,1,0.2625,48.1254,45.4711,0.50,41.00,162.95,-0.0645
3.838,0.3021,0.2787,0.3255,0,0,1,0.2605,50.0633,44.3652,-0.30,41.11,162.64,-0.0648
3.842,0.3118,0.2794,0.3441,0,0,1,0.2603,51.0097,49.3616,-1.81,41.14,162.50,-0.0646
3.857,0.3255,0.2952,0.3559,0,0,1,0.2593,49.3762,46.9833,-1.53,40.85,162.73,-0.0652
3.873,0.3132,0.3019,0.3246,0,0,1,0.2582,50.5725,50.1867,-3.40,40.89,162.13,-0.0647
3.890,0.3326,0.2900,0.3753,0,0,1,0.2571,50.8278,47.1718,-2.52,40.35,162.48,-0.0651
3.904,0.3016,0.2923,0.3108,0,0,1,0.2561,51.3359,46.8385,-2.40,40.58,162.25,-0.0652
3.925,0.3051,0.2934,0.3167,0,0,1,0.2548,50.5717,46.6245,-2.61,40.63,162.19,-0.0651
3.937,0.3223,0.2980,0.3466,0,0,1,0.2540,50.6105,47.1688,-2.05,40.32,162.41,-0.0650
3.952,0.3220,0.2960,0.3479,0,0,1,0.2531,50.9943,47.6304,-1.17,39.87,162.63,-0.0653
3.980,0.3183,0.2971,0.3394,0,0,1,0.2513,51.2735,48.4850,-0.32,39.19,163.19,-0.0658
3.996,0.3188,0.2936,0.3440,0,0,1,0.2503,51.4139,48.7243,0.38,38.87,163.64,-0.0661
4.027,0.3288,0.2986,0.3590,0,0,1,0.2483,51.5315,48.1774,-0.12,39.47,163.62,-0.0659
4.059,0.3354,0.2893,0.3815,0,0,1,0.2463,50.6691,51.0278,0.84,38.79,163.99,-0.0665
4.090,0.3337,0.2884,0.3789,0,0,1,0.2445,51.6325,50.5458,0.65,38.82,163.97,-0.0665
