timestamp_sec,avg_ear,left_ear,right_ear,is_blinking_frame,closed_frame_counter,blink_count_total,blink_rate_bps,left_pupil_diameter,right_pupil_diameter,head_pitch,head_yaw,head_roll,nose_z
0.047,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000
0.067,0.3084,0.2926,0.3243,0,0,0,0.0000,43.5165,37.4756,4.81,39.45,171.41,-0.0512
0.094,0.3100,0.2996,0.3204,0,0,0,0.0000,43.4178,37.5139,5.57,38.19,172.06,-0.0525
0.128,0.3232,0.3158,0.3305,0,0,0,0.0000,44.3171,37.2128,3.27,40.02,171.60,-0.0516
0.159,0.3166,0.2972,0.3361,0,0,0,0.0000,44.9581,36.0198,2.79,39.72,171.77,-0.0518
0.187,0.3127,0.2980,0.3275,0,0,0,0.0000,45.4864,36.2679,1.83,39.82,171.59,-0.0517
0.218,0.3074,0.3029,0.3120,0,0,0,0.0000,45.4428,36.0608,1.32,39.94,171.60,-0.0513
0.235,0.2929,0.2826,0.3032,0,0,0,0.0000,43.5044,36.0911,0.79,39.12,171.27,-0.0510
0.268,0.2290,0.1829,0.2751,0,0,0,0.0000,39.9065,33.7186,0.85,37.15,171.54,-0.0519
0.297,0.1926,0.1153,0.2699,1,1,0,0.0000,39.9215,33.5216,0.50,35.60,171.38,-0.0513
0.328,0.2172,0.1607,0.2737,1,2,0,0.0000,40.0760,32.2404,0.09,36.28,171.04,-0.0504
0.361,0.2076,0.1370,0.2782,1,3,0,0.0000,39.5396,31.7336,0.22,35.89,171.26,-0.0507
0.391,0.1835,0.1211,0.2458,1,4,0,0.0000,36.5871,32.0407,0.17,35.43,171.65,-0.0512
0.424,0.1836,0.1227,0.2444,1,5,0,0.0000,37.4471,33.0573,-0.02,34.20,171.63,-0.0511
0.451,0.1570,0.0832,0.2308,1,6,0,0.0000,32.9852,29.4493,-0.43,35.27,171.83,-0.0512
0.483,0.1759,0.0987,0.2530,1,7,0,0.0000,36.8522,31.0982,-0.10,33.49,171.90,-0.0512
0.514,0.1614,0.0849,0.2379,1,8,0,0.0000,35.2720,29.9569,-1.11,35.57,171.66,-0.0514
0.547,0.1845,0.1172,0.2518,1,9,0,0.0000,34.8572,30.5210,0.55,33.14,172.13,-0.0516
0.579,0.1787,0.1094,0.2480,1,10,0,0.0000,38.1115,29.5581,0.64,33.96,172.35,-0.0527
0.608,0.1685,0.0985,0.2385,1,11,0,0.0000,36.2692,29.2959,2.44,32.34,172.60,-0.0527
0.641,0.1788,0.1229,0.2346,1,12,0,0.0000,36.8538,30.1140,1.67,32.87,172.51,-0.0528
0.671,0.1773,0.1102,0.2443,1,13,0,0.0000,36.2890,29.5882,3.74,32.52,172.92,-0.0525
0.702,0.1710,0.0932,0.2487,1,14,0,0.0000,36.1625,29.9166,3.42,32.46,172.99,-0.0520
0.731,0.1754,0.0939,0.2570,1,15,0,0.0000,37.6947,30.2520,3.47,32.31,173.13,-0.0516
0.747,0.1887,0.1042,0.2732,1,16,0,0.0000,36.6225,30.4361,3.77,33.57,173.10,-0.0517
0.778,0.1815,0.0944,0.2685,1,17,0,0.0000,32.6186,31.9043,4.93,32.64,173.09,-0.0518
0.811,0.1962,0.1121,0.2802,1,18,0,0.0000,33.9089,31.2342,5.42,32.55,173.31,-0.0518
0.841,0.2027,0.1087,0.2967,1,19,0,0.0000,34.0394,30.6620,5.41,33.41,173.16,-0.0512
0.872,0.2119,0.1285,0.2953,1,20,0,0.0000,35.3475,30.7872,4.91,34.21,173.08,-0.0507
0.902,0.2059,0.1072,0.3046,1,21,0,0.0000,34.3198,30.8057,5.16,33.83,172.85,-0.0513
0.932,0.2114,0.1360,0.2867,1,22,0,0.0000,36.2536,29.5961,5.76,35.06,173.29,-0.0511
0.964,0.2008,0.1443,0.2574,1,23,0,0.0000,35.0657,30.2189,5.89,34.40,173.24,-0.0508
0.995,0.1852,0.1331,0.2374,1,24,0,0.0000,34.1651,29.0285,6.55,35.66,173.44,-0.0504
1.025,0.1727,0.0926,0.2527,1,25,0,0.0000,35.8936,29.2110,5.72,34.43,173.18,-0.0504
1.057,0.1986,0.1185,0.2787,1,26,0,0.0000,38.0217,29.1513,5.81,35.27,173.26,-0.0507
1.088,0.1943,0.0958,0.2928,1,27,0,0.0000,35.7289,29.2096,5.39,36.00,173.35,-0.0500
1.120,0.1842,0.0870,0.2813,1,28,0,0.0000,38.3049,31.7351,4.54,36.21,172.75,-0.0502
1.150,0.1818,0.0910,0.2727,1,29,0,0.0000,38.1603,32.4188,5.42,35.58,173.49,-0.0503
1.182,0.1962,0.1102,0.2822,1,30,0,0.0000,42.6206,33.3184,5.74,35.95,173.61,-0.0502
1.215,0.1819,0.1105,0.2532,1,31,0,0.0000,39.0187,31.9672,6.74,35.90,173.54,-0.0507
1.247,0.1798,0.1127,0.2469,1,32,0,0.0000,39.4464,32.7849,6.33,36.32,173.71,-0.0502
1.277,0.1815,0.1166,0.2464,1,33,0,0.0000,38.1772,32.2745,6.05,36.62,173.37,-0.0505
1.305,0.1705,0.1044,0.2365,1,34,0,0.0000,39.4838,33.3771,6.07,36.54,173.61,-0.0509
1.322,0.1840,0.1394,0.2286,1,35,0,0.0000,37.8761,32.8979,6.76,36.96,173.38,-0.0511
1.353,0.1880,0.1397,0.2363,1,36,0,0.0000,37.3977,32.6180,6.71,37.13,173.26,-0.0511
1.387,0.1884,0.1414,0.2353,1,37,0,0.0000,37.7171,33.3858,6.69,36.98,173.17,-0.0511
1.415,0.1787,0.1330,0.2244,1,38,0,0.0000,37.4193,33.4175,6.68,36.26,173.32,-0.0514
1.446,0.1811,0.1259,0.2363,1,39,0,0.0000,39.3288,33.8511,6.85,36.08,173.34,-0.0513
1.463,0.1673,0.1199,0.2147,1,40,0,0.0000,39.0493,34.4222,6.54,36.00,173.37,-0.0520
1.493,0.1780,0.1356,0.2204,1,41,0,0.0000,38.1895,31.8011,5.98,36.44,173.13,-0.0517
1.525,0.1970,0.1418,0.2522,1,42,0,0.0000,35.8407,32.9247,6.75,36.29,173.39,-0.0520
1.556,0.2029,0.1430,0.2628,1,43,0,0.0000,35.9835,32.7192,6.34,36.75,173.37,-0.0521
1.585,0.1981,0.1118,0.2843,1,44,0,0.0000,36.2084,32.0912,6.15,36.70,173.14,-0.0520
