timestamp_sec,avg_ear,left_ear,right_ear,is_blinking_frame,closed_frame_counter,blink_count_total,blink_rate_bps,left_pupil_diameter,right_pupil_diameter,head_pitch,head_yaw,head_roll,nose_z
0.046,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000
0.076,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000
0.104,0.3353,0.2858,0.3847,0,0,0,0.0000,26.2448,14.2235,-1.39,28.37,-24.68,-0.0245
0.130,0.3496,0.3037,0.3955,0,0,0,0.0000,24.2877,12.9755,-2.07,29.65,-24.53,-0.0241
0.142,0.3540,0.3049,0.4032,0,0,0,0.0000,25.8802,12.9654,-2.97,30.17,-24.61,-0.0241
0.172,0.3450,0.2956,0.3943,0,0,0,0.0000,24.1565,12.9823,-2.45,29.93,-24.81,-0.0242
0.203,0.3343,0.2918,0.3768,0,0,0,0.0000,24.1006,13.3077,-1.32,29.98,-24.62,-0.0246
0.235,0.3340,0.2727,0.3953,0,0,0,0.0000,23.7785,12.7105,-1.24,30.28,-24.47,-0.0246
0.267,0.3331,0.2688,0.3973,0,0,0,0.0000,22.1810,12.8169,-0.88,30.51,-24.36,-0.0246
0.298,0.3133,0.2580,0.3686,0,0,0,0.0000,18.6456,12.5708,0.73,30.09,-23.59,-0.0245
0.319,0.3339,0.2646,0.4031,0,0,0,0.0000,19.2775,13.2452,2.24,30.42,-22.26,-0.0246
0.330,0.3095,0.2510,0.3681,0,0,0,0.0000,23.5724,12.8651,-7.82,56.60,151.92,-0.0248
0.375,0.3108,0.2480,0.3735,0,0,0,0.0000,21.8841,13.3251,2.29,28.48,-22.08,-0.0253
0.380,0.3027,0.2490,0.3564,0,0,0,0.0000,24.0193,14.0898,2.62,27.87,-22.11,-0.0246
0.399,0.3076,0.2600,0.3551,0,0,0,0.0000,23.2863,13.2567,2.45,28.67,-21.79,-0.0252
0.412,0.3043,0.2521,0.3566,0,0,0,0.0000,23.7213,14.3942,2.94,27.79,-21.84,-0.0248
0.428,0.2984,0.2515,0.3453,0,0,0,0.0000,24.1351,13.4241,2.21,28.80,-21.43,-0.0255
0.444,0.2930,0.2521,0.3340,0,0,0,0.0000,24.3553,13.3488,1.90,27.65,-21.30,-0.0256
0.464,0.2802,0.2531,0.3074,0,0,0,0.0000,25.3711,12.7486,1.44,27.29,-21.98,-0.0251
0.488,0.2831,0.2637,0.3024,0,0,0,0.0000,23.1210,13.5862,1.67,25.56,-21.80,-0.0254
0.491,0.2676,0.2502,0.2849,0,0,0,0.0000,23.7580,13.2697,-0.29,23.92,-21.26,-0.0259
0.536,0.2555,0.2680,0.2430,0,0,0,0.0000,23.3909,13.5832,-0.38,24.57,-20.85,-0.0250
0.558,0.2407,0.2681,0.2133,0,0,0,0.0000,22.8061,12.8947,-0.03,24.87,-20.55,-0.0248
0.590,0.2089,0.2664,0.1515,1,1,0,0.0000,21.9982,12.9669,-0.01,24.24,-19.77,-0.0246
0.609,0.2160,0.2548,0.1773,1,2,0,0.0000,22.4178,12.9957,0.20,25.19,-19.28,-0.0233
0.629,0.1952,0.2090,0.1815,1,3,0,0.0000,21.0891,13.7526,0.28,22.62,-19.30,-0.0236
0.648,0.1872,0.2133,0.1610,1,4,0,0.0000,21.8487,13.0601,2.02,22.77,-19.32,-0.0230
0.666,0.2214,0.1978,0.2450,0,0,1,0.0000,19.6915,12.9134,0.87,25.70,-18.78,-0.0228
0.689,0.2498,0.2309,0.2688,0,0,1,0.0000,20.9185,13.3040,2.41,26.02,-18.56,-0.0231
0.707,0.2489,0.1800,0.3178,0,0,1,0.0000,21.1667,12.4089,2.35,28.01,-18.69,-0.0228
0.727,0.2642,0.2197,0.3087,0,0,1,0.0000,22.0974,12.6187,1.96,28.89,-19.31,-0.0230
0.749,0.2568,0.1749,0.3388,0,0,1,0.0000,22.3230,13.7347,2.24,28.86,-19.37,-0.0231
0.769,0.2656,0.1953,0.3359,0,0,1,0.0000,23.4419,14.4572,-5.77,54.93,155.17,-0.0231
0.788,0.2319,0.2170,0.2468,0,0,1,0.0000,22.2486,11.1838,2.92,27.55,-19.47,-0.0237
0.809,0.2230,0.2416,0.2043,0,0,1,0.0000,22.6120,11.4510,1.38,26.75,-19.21,-0.0243
0.829,0.1908,0.2253,0.1563,1,1,1,0.0000,22.1450,13.2979,2.56,23.95,-19.27,-0.0241
0.849,0.1693,0.2367,0.1018,1,2,1,0.0000,21.6480,13.4543,2.48,20.94,-19.31,-0.0245
0.867,0.1543,0.2261,0.0826,1,3,1,0.0000,19.8325,17.8496,1.65,12.64,-20.07,-0.0251
0.889,0.1480,0.2480,0.0479,1,4,1,0.0000,18.3242,15.9240,1.90,7.19,-18.79,-0.0241
0.919,0.1547,0.2070,0.1024,1,5,1,0.0000,16.7465,17.9269,5.41,-24.97,-20.27,-0.0259
0.935,0.1796,0.2528,0.1065,1,6,1,0.0000,13.6888,19.0483,4.24,-38.15,-19.52,-0.0260
0.966,0.2701,0.2375,0.3027,0,0,2,0.0000,15.3857,22.4526,-2.26,-41.77,-15.83,-0.0283
0.997,0.2195,0.2003,0.2386,1,1,2,0.0000,15.3385,22.0031,1.71,-43.46,-17.02,-0.0272
1.028,0.2332,0.2386,0.2279,0,0,2,1.9461,13.2729,18.0140,1.08,-47.11,-15.16,-0.0266
1.043,0.2845,0.3004,0.2686,0,0,2,1.9168,11.9347,15.8347,-5.54,-28.60,166.65,-0.0254
1.076,0.3378,0.4133,0.2623,0,0,2,1.8586,9.5484,16.3749,-5.90,-32.65,168.22,-0.0233
1.106,0.4051,0.5741,0.2361,0,0,2,1.8089,7.9711,23.3542,-14.49,-36.34,173.62,-0.0217
1.135,0.0000,0.0000,0.0000,0,0,2,1.7613,0.0000,0.0000,0.00,0.00,0.00,0.0000
1.154,0.4036,0.3230,0.4842,0,0,2,1.7331,36.4055,31.0846,14.73,55.61,-170.03,-0.0453
1.184,0.3866,0.3359,0.4373,0,0,2,1.6888,35.5529,35.6310,16.26,54.38,-168.93,-0.0471
1.215,0.3698,0.3136,0.4260,0,0,2,1.6460,41.2099,32.0973,17.81,50.75,-168.70,-0.0485
1.246,0.3614,0.3191,0.4037,0,0,2,1.6051,41.2942,33.9599,17.49,50.58,-168.60,-0.0476
1.275,0.3219,0.3014,0.3425,0,0,2,1.5685,42.2462,29.7007,17.61,50.02,-168.41,-0.0463
1.307,0.2964,0.3367,0.2561,0,0,2,1.5308,39.5478,27.6814,19.05,46.98,-168.45,-0.0514
1.338,0.3000,0.3093,0.2907,0,0,2,1.4951,42.4673,29.2344,18.41,47.95,-169.65,-0.0489
1.369,0.2892,0.3114,0.2669,0,0,2,1.4614,43.4499,18.5577,19.14,48.48,-168.05,-0.0481
1.398,0.3148,0.3148,0.3148,0,0,2,1.4308,44.7973,20.6302,19.75,45.72,-167.93,-0.0495
1.414,0.3312,0.3299,0.3325,0,0,2,1.4141,40.7040,17.5143,21.06,47.46,-166.66,-0.0494
1.445,0.3297,0.3081,0.3512,0,0,2,1.3840,46.8119,15.8922,19.79,48.25,-166.53,-0.0483
1.475,0.3031,0.3044,0.3018,0,0,2,1.3563,45.3497,20.3273,18.06,50.03,-165.69,-0.0469
1.506,0.3437,0.3331,0.3543,0,0,2,1.3282,42.9717,26.2065,16.36,53.11,-165.51,-0.0456
1.539,0.3618,0.3211,0.4025,0,0,2,1.2997,43.4504,29.9130,15.74,53.18,-166.65,-0.0465
1.569,0.3625,0.3220,0.4031,0,0,2,1.2751,44.3422,29.6773,12.87,53.42,-168.90,-0.0460
1.599,0.3226,0.3220,0.3232,0,0,2,1.2506,45.1781,28.9137,12.59,52.33,-168.67,-0.0462
1.630,0.3478,0.3365,0.3592,0,0,2,1.2273,43.3875,33.7153,12.49,51.65,-168.69,-0.0477
1.646,0.3256,0.3269,0.3242,0,0,2,1.2153,42.7753,30.2347,12.98,52.57,-168.27,-0.0473
1.678,0.3638,0.3364,0.3912,0,0,2,1.1922,44.2958,32.1485,13.60,52.85,-168.36,-0.0464
1.709,0.3155,0.3213,0.3097,0,0,2,1.1705,43.7406,32.2636,15.33,51.19,-167.47,-0.0472
1.739,0.3662,0.3369,0.3955,0,0,2,1.1504,42.4134,32.4803,13.27,52.22,-167.06,-0.0492
1.756,0.3370,0.3376,0.3364,0,0,2,1.1393,41.6097,34.3421,14.40,50.84,-167.97,-0.0480
1.787,0.3345,0.3294,0.3396,0,0,2,1.1194,43.6875,35.2299,14.48,50.76,-167.80,-0.0490
1.818,0.3320,0.3296,0.3343,0,0,2,1.1001,43.9060,33.2302,14.62,51.32,-167.47,-0.0481
