timestamp_sec,avg_ear,left_ear,right_ear,is_blinking_frame,closed_frame_counter,blink_count_total,blink_rate_bps,left_pupil_diameter,right_pupil_diameter,head_pitch,head_yaw,head_roll,nose_z
0.041,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000
0.067,0.1650,0.0934,0.2365,1,1,0,0.0000,32.3370,49.9876,40.69,36.04,-177.69,-0.0544
0.087,0.1474,0.0974,0.1974,1,2,0,0.0000,44.7491,40.6250,29.48,25.01,0.67,-0.0530
0.106,0.1366,0.1029,0.1702,1,3,0,0.0000,38.2836,35.9582,28.68,24.62,1.23,-0.0543
0.125,0.1372,0.1019,0.1725,1,4,0,0.0000,49.2541,36.3201,29.16,25.51,0.92,-0.0540
0.145,0.1383,0.1094,0.1673,1,5,0,0.0000,40.7020,33.9278,27.73,26.57,-0.11,-0.0541
0.163,0.1378,0.1000,0.1757,1,6,0,0.0000,47.8369,31.5233,27.90,26.89,0.28,-0.0533
0.180,0.1387,0.0996,0.1779,1,7,0,0.0000,40.1367,32.9844,28.07,26.90,0.17,-0.0540
0.202,0.1424,0.1023,0.1826,1,8,0,0.0000,35.1913,34.2500,35.36,39.17,-176.03,-0.0533
0.214,0.1429,0.0959,0.1900,1,9,0,0.0000,43.1225,35.0677,34.36,39.48,-175.33,-0.0544
0.239,0.1470,0.0996,0.1945,1,10,0,0.0000,42.6304,30.3857,27.67,28.59,0.24,-0.0538
0.255,0.1564,0.1009,0.2120,1,11,0,0.0000,39.5889,38.5652,26.45,28.06,0.20,-0.0545
0.271,0.1535,0.1008,0.2061,1,12,0,0.0000,34.7916,41.5189,26.69,29.21,-0.03,-0.0538
0.291,0.1597,0.0916,0.2278,1,13,0,0.0000,33.3196,41.0529,27.36,29.17,0.07,-0.0519
0.303,0.1564,0.0944,0.2185,1,14,0,0.0000,32.1515,43.7353,27.73,30.13,0.12,-0.0513
0.319,0.1664,0.0983,0.2346,1,15,0,0.0000,36.2223,43.0974,27.33,31.27,-0.17,-0.0497
0.341,0.1712,0.0987,0.2437,1,16,0,0.0000,38.6410,40.9351,25.50,31.82,-0.84,-0.0523
0.350,0.1704,0.0939,0.2469,1,17,0,0.0000,35.1476,45.3894,26.25,33.44,-0.96,-0.0499
0.366,0.1973,0.0893,0.3053,1,18,0,0.0000,36.5797,39.1942,32.08,45.35,-174.96,-0.0510
0.391,0.1917,0.1009,0.2825,1,19,0,0.0000,30.6352,32.8828,33.85,46.28,-174.89,-0.0487
0.409,0.1957,0.0974,0.2940,1,20,0,0.0000,39.1294,34.9464,33.43,45.03,-174.89,-0.0498
0.421,0.1860,0.0938,0.2781,1,21,0,0.0000,32.7658,39.0450,26.39,34.58,0.51,-0.0481
0.445,0.1968,0.0919,0.3017,1,22,0,0.0000,35.2364,35.2107,33.61,46.04,-174.81,-0.0477
0.461,0.1829,0.0932,0.2726,1,23,0,0.0000,40.0582,33.7200,33.36,44.74,-173.01,-0.0474
