timestamp_sec,avg_ear,left_ear,right_ear,is_blinking_frame,closed_frame_counter,blink_count_total,blink_rate_bps,left_pupil_diameter,right_pupil_diameter,head_pitch,head_yaw,head_roll,nose_z
1.325,0.2502,0.2391,0.2612,0,0,0,0.0000,16.3999,14.6763,1.11,-0.99,1.27,-0.0635
1.400,0.2822,0.2765,0.2879,0,0,0,0.0000,16.3235,15.6515,-14.57,-5.62,1.22,-0.0642
1.446,0.2793,0.2748,0.2839,0,0,0,0.0000,15.6368,15.3718,-12.15,-7.45,0.60,-0.0630
1.493,0.2895,0.2725,0.3066,0,0,0,0.0000,15.7277,15.4626,-13.65,-7.08,0.51,-0.0627
1.540,0.2407,0.2394,0.2419,0,0,0,0.0000,17.7119,14.6579,-17.04,-7.58,0.21,-0.0597
1.585,0.2674,0.2651,0.2697,0,0,0,0.0000,13.9411,14.6967,-14.43,-8.29,-0.08,-0.0594
1.632,0.2819,0.2617,0.3021,0,0,0,0.0000,15.0058,14.9099,-15.81,-9.37,0.45,-0.0600
1.677,0.2723,0.2476,0.2970,0,0,0,0.0000,15.8365,15.0071,-16.14,-10.76,0.53,-0.0592
1.724,0.2849,0.2621,0.3077,0,0,0,0.0000,14.5576,15.1090,-17.12,-11.31,0.52,-0.0596
1.771,0.2789,0.2504,0.3074,0,0,0,0.0000,14.3252,14.9438,-18.25,-11.63,0.81,-0.0593
1.817,0.2880,0.2739,0.3021,0,0,0,0.0000,14.7057,14.7079,-18.62,-12.45,1.17,-0.0580
1.863,0.2888,0.2729,0.3046,0,0,0,0.0000,14.4894,14.6734,-19.45,-12.50,1.52,-0.0569
1.908,0.2854,0.2542,0.3166,0,0,0,0.0000,15.2131,14.7217,-23.28,-12.02,2.38,-0.0547
1.959,0.2753,0.2455,0.3051,0,0,0,0.0000,13.8322,14.5070,-24.59,-14.41,3.00,-0.0531
2.004,0.2598,0.2327,0.2870,0,0,0,0.0000,13.4729,14.3092,-25.26,-13.38,3.09,-0.0530
2.050,0.2662,0.2466,0.2858,0,0,0,0.0000,14.4775,14.1911,-25.81,-13.27,3.31,-0.0533
2.096,0.2578,0.2346,0.2810,0,0,0,0.0000,14.2465,14.1068,-26.24,-13.85,3.30,-0.0534
2.141,0.2610,0.2380,0.2839,0,0,0,0.0000,13.5433,13.8719,-26.79,-13.87,3.61,-0.0530
2.189,0.2557,0.2366,0.2748,0,0,0,0.0000,14.0475,13.5768,-27.78,-14.29,3.71,-0.0534
2.235,0.2626,0.2258,0.2993,0,0,0,0.0000,12.9100,14.8522,-28.10,-15.73,3.09,-0.0523
2.282,0.2644,0.2303,0.2985,0,0,0,0.0000,14.0503,15.2053,-28.44,-15.38,3.57,-0.0525
2.329,0.2609,0.2315,0.2903,0,0,0,0.0000,13.6889,14.4250,-28.52,-15.44,3.41,-0.0531
2.375,0.2524,0.2202,0.2846,0,0,0,0.0000,12.8341,14.8824,-28.06,-16.15,3.27,-0.0531
2.422,0.2540,0.2218,0.2862,0,0,0,0.0000,13.4583,14.4575,-28.18,-16.24,3.56,-0.0527
2.469,0.2573,0.2329,0.2818,0,0,0,0.0000,13.9064,14.8064,-28.60,-16.41,3.58,-0.0528
2.515,0.2560,0.2394,0.2727,0,0,0,0.0000,13.6631,15.1122,-27.66,-16.76,3.56,-0.0527
2.561,0.2576,0.2377,0.2776,0,0,0,0.0000,14.5196,15.0782,-27.56,-16.97,3.66,-0.0529
2.608,0.2642,0.2445,0.2839,0,0,0,0.0000,14.6515,15.1115,-27.87,-17.59,3.80,-0.0529
2.656,0.2593,0.2442,0.2745,0,0,0,0.0000,14.3303,14.9076,-27.23,-17.75,3.42,-0.0529
2.701,0.2630,0.2457,0.2803,0,0,0,0.0000,14.1463,14.9044,-26.88,-17.77,3.69,-0.0529
2.748,0.2601,0.2480,0.2722,0,0,0,0.0000,14.4309,14.9933,-27.25,-17.04,3.40,-0.0538
2.792,0.2668,0.2433,0.2903,0,0,0,0.0000,12.1111,14.8725,-26.67,-17.06,3.72,-0.0526
2.839,0.2504,0.2232,0.2775,0,0,0,0.0000,11.4677,15.0108,-26.91,-18.43,3.46,-0.0526
2.886,0.2459,0.2165,0.2754,0,0,0,0.0000,11.8164,15.0616,-27.31,-18.35,3.47,-0.0528
2.933,0.2483,0.2260,0.2706,0,0,0,0.0000,12.3535,14.8907,-27.39,-17.80,3.41,-0.0526
2.980,0.2533,0.2230,0.2836,0,0,0,0.0000,12.1357,15.2974,-27.54,-18.25,3.37,-0.0522
3.024,0.2464,0.2159,0.2770,0,0,0,0.0000,12.1532,15.0129,-27.35,-18.30,3.31,-0.0522
3.060,0.2546,0.2313,0.2778,0,0,0,0.0000,12.5716,15.0941,-27.31,-18.16,3.43,-0.0524
3.103,0.2436,0.2144,0.2728,0,0,0,0.0000,12.3626,15.0384,-27.48,-18.39,3.31,-0.0528
